Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
CXCL2,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Chemokine signaling pathway, NOD-like receptor signaling pathway, Kaposi sarcoma-associated herpesvirus infection, Amoebiasis, Epithelial cell signaling in Helicobacter pylori infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 1.025246807187547e-09, 5.6616998361679246e-08, 7.626980793425789e-06, 5.084464667897712e-05, 6.289942382925588e-05",3.01027327604049,8.05717044930861,UpRegulated
TNFSF14,"Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, NF-kappa B signaling pathway","1.860485947890529e-17, 3.083583547860433e-16, 1.1577523254277826e-14",2.95100104834556,7.73285439565647,UpRegulated
CXCL3,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Chemokine signaling pathway, NOD-like receptor signaling pathway, Kaposi sarcoma-associated herpesvirus infection, Amoebiasis, Epithelial cell signaling in Helicobacter pylori infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 1.025246807187547e-09, 5.6616998361679246e-08, 7.626980793425789e-06, 5.084464667897712e-05, 6.289942382925588e-05",2.94988269379775,7.72686233109902,UpRegulated
CXCL5,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, Chemokine signaling pathway, Pertussis","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.025246807187547e-09, 3.4970369992610075e-08",2.91962297098245,7.56648351631896,UpRegulated
CSF1,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, Hematopoietic cell lineage, MAPK signaling pathway, Osteoclast differentiation","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 0.00039989308344330783, 0.0009896944238172317, 0.0011834271272442",2.82996705515294,7.11057907294105,UpRegulated
CXCL11,"Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, Chemokine signaling pathway, Toll-like receptor signaling pathway","1.860485947890529e-17, 3.083583547860433e-16, 1.025246807187547e-09, 3.4970369992610075e-08",2.82128417103167,7.06791245807213,UpRegulated
CXCL1,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Chemokine signaling pathway, NOD-like receptor signaling pathway, Kaposi sarcoma-associated herpesvirus infection, Amoebiasis, Epithelial cell signaling in Helicobacter pylori infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 1.025246807187547e-09, 5.6616998361679246e-08, 7.626980793425789e-06, 5.084464667897712e-05, 6.289942382925588e-05",2.80678584844439,6.99723938210739,UpRegulated
HSPA6,"Lipid and atherosclerosis, Legionellosis, Measles, Toxoplasmosis, MAPK signaling pathway, Antigen processing and presentation, Prion disease, Longevity regulating pathway, Protein processing in endoplasmic reticulum, Estrogen signaling pathway","2.728048793894201e-12, 1.0442350416972395e-10, 4.797011860180082e-06, 0.0006805696653135726, 0.0009896944238172317, 0.0078396225074666, 0.0101190634448794, 0.016316894024873, 0.0191474188605767, 0.0395081312266154",-2.72298202801727,6.60236102046475,DownRegulated
CCL2,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, Lipid and atherosclerosis, Chemokine signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Malaria, Coronavirus disease, AGE-RAGE signaling pathway in diabetic complications, Yersinia infection, Fluid shear stress and atherosclerosis, Human cytomegalovirus infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 2.728048793894201e-12, 1.025246807187547e-09, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 4.927953737571013e-07, 5.441862351602041e-06, 4.692268850982209e-05, 0.0003156562641710188, 0.0003311594767681358, 0.0008781287132390562",2.54628042579618,5.84126333572391,UpRegulated
BIRC3,"TNF signaling pathway, NF-kappa B signaling pathway, NOD-like receptor signaling pathway, Necroptosis, Toxoplasmosis, Transcriptional misregulation in cancer, Salmonella infection, Apoptosis","7.381870203598573e-21, 1.1577523254277826e-14, 5.6616998361679246e-08, 0.0006582734394430797, 0.0006805696653135726, 0.0017127695399908, 0.0214982249147524, 0.0437468186456016",2.51056629770384,5.69843713762084,UpRegulated
CCL22,"Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, Chemokine signaling pathway, C-type lectin receptor signaling pathway","1.860485947890529e-17, 3.083583547860433e-16, 1.025246807187547e-09, 0.0004860933150124579",2.50832489515489,5.6895907948465,UpRegulated
TNFAIP3,"TNF signaling pathway, IL-17 signaling pathway, NF-kappa B signaling pathway, NOD-like receptor signaling pathway, Measles, Necroptosis, Epstein-Barr virus infection","7.381870203598573e-21, 2.8667185795181054e-15, 1.1577523254277826e-14, 5.6616998361679246e-08, 4.797011860180082e-06, 0.0006582734394430797, 0.0349785878612361",2.31160510592693,4.96435093940054,UpRegulated
NFKBIZ,Transcriptional misregulation in cancer,0.0017127695399908,2.28377693282185,4.86951110049655,UpRegulated
RGS2,Oxytocin signaling pathway,0.0136392601375747,-2.11944264440574,4.3452604236889,DownRegulated
RCAN1,"Kaposi sarcoma-associated herpesvirus infection, Oxytocin signaling pathway","7.626980793425789e-06, 0.0136392601375747",2.10011035709735,4.2874217984055,UpRegulated
INHBC,"Cytokine-cytokine receptor interaction, TGF-beta signaling pathway","1.860485947890529e-17, 0.0135372165200134",1.93999965119143,3.83705554959424,UpRegulated
FOS,"TNF signaling pathway, Rheumatoid arthritis, IL-17 signaling pathway, Lipid and atherosclerosis, Pertussis, Toll-like receptor signaling pathway, Chagas disease, Measles, Coronavirus disease, Kaposi sarcoma-associated herpesvirus infection, Yersinia infection, Fluid shear stress and atherosclerosis, Leishmaniasis, MAPK signaling pathway, Osteoclast differentiation, Human T-cell leukemia virus 1 infection, Th17 cell differentiation, Hepatitis B, Oxytocin signaling pathway, Non-alcoholic fatty liver disease, T cell receptor signaling pathway, Salmonella infection, Pathogenic Escherichia coli infection, Prolactin signaling pathway, Estrogen signaling pathway, Apoptosis","7.381870203598573e-21, 5.0193100412991314e-18, 2.8667185795181054e-15, 2.728048793894201e-12, 3.4970369992610075e-08, 3.4970369992610075e-08, 3.793396317367466e-07, 4.797011860180082e-06, 5.441862351602041e-06, 7.626980793425789e-06, 0.0003156562641710188, 0.0003311594767681358, 0.000969576020914642, 0.0009896944238172317, 0.0011834271272442, 0.0036356612242499, 0.0037963885346754, 0.0038285491876088, 0.0136392601375747, 0.0137318067579092, 0.0171354500913545, 0.0214982249147524, 0.0328091672181147, 0.0343308278359417, 0.0395081312266154, 0.0437468186456016",-1.84272770160375,3.58687557757967,DownRegulated
STAT5A,"Measles, AGE-RAGE signaling pathway in diabetic complications, Necroptosis, Human T-cell leukemia virus 1 infection, Th17 cell differentiation, Hepatitis B, JAK-STAT signaling pathway, Prolactin signaling pathway","4.797011860180082e-06, 4.692268850982209e-05, 0.0006582734394430797, 0.0036356612242499, 0.0037963885346754, 0.0038285491876088, 0.0162059085937925, 0.0343308278359417",1.82304952145319,3.53828319313219,UpRegulated
THBS1,"Malaria, TGF-beta signaling pathway","4.927953737571013e-07, 0.0135372165200134",1.7764927668638,3.42592309653274,UpRegulated
IL1B,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Pertussis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Malaria, Measles, Coronavirus disease, AGE-RAGE signaling pathway in diabetic complications, Amoebiasis, Yersinia infection, Fluid shear stress and atherosclerosis, Hematopoietic cell lineage, Cytosolic DNA-sensing pathway, C-type lectin receptor signaling pathway, Necroptosis, Human cytomegalovirus infection, Leishmaniasis, MAPK signaling pathway, Osteoclast differentiation, Th17 cell differentiation, Inflammatory bowel disease, Shigellosis, African trypanosomiasis, Prion disease, Graft-versus-host disease, Type I diabetes mellitus, Non-alcoholic fatty liver disease, Salmonella infection, Pathogenic Escherichia coli infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 3.4970369992610075e-08, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 4.927953737571013e-07, 4.797011860180082e-06, 5.441862351602041e-06, 4.692268850982209e-05, 5.084464667897712e-05, 0.0003156562641710188, 0.0003311594767681358, 0.00039989308344330783, 0.000446870364326348, 0.0004860933150124579, 0.0006582734394430797, 0.0008781287132390562, 0.000969576020914642, 0.0009896944238172317, 0.0011834271272442, 0.0037963885346754, 0.004352001251164, 0.006209960659943, 0.0078396225074666, 0.0101190634448794, 0.0105275552690754, 0.0110106831065822, 0.0137318067579092, 0.0214982249147524, 0.0328091672181147",1.74670715733247,3.35591728489506,UpRegulated
IRF1,"TNF signaling pathway, Pertussis, C-type lectin receptor signaling pathway, Prolactin signaling pathway","7.381870203598573e-21, 3.4970369992610075e-08, 0.0004860933150124579, 0.0343308278359417",1.7410915722007,3.34288001161916,UpRegulated
CCL20,"TNF signaling pathway, Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Viral protein interaction with cytokine and cytokine receptor, IL-17 signaling pathway, Chemokine signaling pathway","7.381870203598573e-21, 5.0193100412991314e-18, 1.860485947890529e-17, 3.083583547860433e-16, 2.8667185795181054e-15, 1.025246807187547e-09",1.73411669246489,3.32675746757163,UpRegulated
ID1,TGF-beta signaling pathway,0.0135372165200134,-1.69131120700481,3.22950086581108,DownRegulated
IL1A,"Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Pertussis, Influenza A, Measles, AGE-RAGE signaling pathway in diabetic complications, Fluid shear stress and atherosclerosis, Hematopoietic cell lineage, Necroptosis, Leishmaniasis, MAPK signaling pathway, Osteoclast differentiation, Inflammatory bowel disease, Prion disease, Graft-versus-host disease, Type I diabetes mellitus, Non-alcoholic fatty liver disease","5.0193100412991314e-18, 1.860485947890529e-17, 3.4970369992610075e-08, 3.439446871080842e-07, 4.797011860180082e-06, 4.692268850982209e-05, 0.0003311594767681358, 0.00039989308344330783, 0.0006582734394430797, 0.000969576020914642, 0.0009896944238172317, 0.0011834271272442, 0.004352001251164, 0.0101190634448794, 0.0105275552690754, 0.0110106831065822, 0.0137318067579092",1.6784696096585,3.20088225851045,UpRegulated
ICAM1,"TNF signaling pathway, Rheumatoid arthritis, NF-kappa B signaling pathway, Lipid and atherosclerosis, Influenza A, Malaria, Kaposi sarcoma-associated herpesvirus infection, AGE-RAGE signaling pathway in diabetic complications, Fluid shear stress and atherosclerosis, Human T-cell leukemia virus 1 infection, African trypanosomiasis, Staphylococcus aureus infection, Epstein-Barr virus infection","7.381870203598573e-21, 5.0193100412991314e-18, 1.1577523254277826e-14, 2.728048793894201e-12, 3.439446871080842e-07, 4.927953737571013e-07, 7.626980793425789e-06, 4.692268850982209e-05, 0.0003311594767681358, 0.0036356612242499, 0.0078396225074666, 0.0136392601375747, 0.0349785878612361",1.66923465166507,3.18045825734968,UpRegulated
CAMK1G,Oxytocin signaling pathway,0.0136392601375747,1.62005463372036,3.07386676527565,UpRegulated
ETS1,Human T-cell leukemia virus 1 infection,0.0036356612242499,1.50201262659304,2.83237566551989,UpRegulated
SOD2,"Lipid and atherosclerosis, Longevity regulating pathway","2.728048793894201e-12, 0.016316894024873",1.41248730567937,2.66195707169751,UpRegulated
CYP1A1,Lipid and atherosclerosis,2.728048793894201e-12,1.3635432835192,2.57316377471471,UpRegulated
DNAJB1,"Influenza A, Protein processing in endoplasmic reticulum","3.439446871080842e-07, 0.0191474188605767",-1.3473069409665,2.54436728344308,DownRegulated
BDKRB2,"Chagas disease, Complement and coagulation cascades","3.793396317367466e-07, 0.0101190634448794",1.28447768542196,2.43593845839139,UpRegulated
DUSP2,MAPK signaling pathway,0.0009896944238172317,-1.28342949247757,2.43416926525455,DownRegulated
NR4A3,Transcriptional misregulation in cancer,0.0017127695399908,1.27072646315457,2.41283032032081,UpRegulated
NFKBIA,"TNF signaling pathway, IL-17 signaling pathway, NF-kappa B signaling pathway, Lipid and atherosclerosis, Legionellosis, Chemokine signaling pathway, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Measles, Coronavirus disease, Kaposi sarcoma-associated herpesvirus infection, Epithelial cell signaling in Helicobacter pylori infection, Yersinia infection, Cytosolic DNA-sensing pathway, C-type lectin receptor signaling pathway, Toxoplasmosis, Human cytomegalovirus infection, Leishmaniasis, Osteoclast differentiation, Human T-cell leukemia virus 1 infection, Th17 cell differentiation, Hepatitis B, RIG-I-like receptor signaling pathway, Shigellosis, T cell receptor signaling pathway, Salmonella infection, Pathogenic Escherichia coli infection, Epstein-Barr virus infection, Apoptosis","7.381870203598573e-21, 2.8667185795181054e-15, 1.1577523254277826e-14, 2.728048793894201e-12, 1.0442350416972395e-10, 1.025246807187547e-09, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 4.797011860180082e-06, 5.441862351602041e-06, 7.626980793425789e-06, 6.289942382925588e-05, 0.0003156562641710188, 0.000446870364326348, 0.0004860933150124579, 0.0006805696653135726, 0.0008781287132390562, 0.000969576020914642, 0.0011834271272442, 0.0036356612242499, 0.0037963885346754, 0.0038285491876088, 0.0055894278140253, 0.006209960659943, 0.0171354500913545, 0.0214982249147524, 0.0328091672181147, 0.0349785878612361, 0.0437468186456016",1.19305978331471,2.28637141297789,UpRegulated
HSPH1,Protein processing in endoplasmic reticulum,0.0191474188605767,-1.19016528371576,2.28178883204879,DownRegulated
MASP2,"Coronavirus disease, Complement and coagulation cascades, Staphylococcus aureus infection","5.441862351602041e-06, 0.0101190634448794, 0.0136392601375747",1.1892265524211,2.28030460301764,UpRegulated
HSPA1A,"Lipid and atherosclerosis, Legionellosis, Measles, Toxoplasmosis, MAPK signaling pathway, Antigen processing and presentation, Prion disease, Longevity regulating pathway, Protein processing in endoplasmic reticulum, Estrogen signaling pathway","2.728048793894201e-12, 1.0442350416972395e-10, 4.797011860180082e-06, 0.0006805696653135726, 0.0009896944238172317, 0.0078396225074666, 0.0101190634448794, 0.016316894024873, 0.0191474188605767, 0.0395081312266154",-1.18157099573581,2.26823637978504,DownRegulated
CFB,"Coronavirus disease, Complement and coagulation cascades, Staphylococcus aureus infection","5.441862351602041e-06, 0.0101190634448794, 0.0136392601375747",1.17808937867985,2.26276910573341,UpRegulated
HSPA1B,"Lipid and atherosclerosis, Legionellosis, Measles, Toxoplasmosis, MAPK signaling pathway, Antigen processing and presentation, Prion disease, Longevity regulating pathway, Protein processing in endoplasmic reticulum, Estrogen signaling pathway","2.728048793894201e-12, 1.0442350416972395e-10, 4.797011860180082e-06, 0.0006805696653135726, 0.0009896944238172317, 0.0078396225074666, 0.0101190634448794, 0.016316894024873, 0.0191474188605767, 0.0395081312266154",-1.16389266336956,2.24061172048945,DownRegulated
SDC4,Fluid shear stress and atherosclerosis,0.0003311594767681358,1.14132435045503,2.20583419178054,UpRegulated
TICAM1,"NF-kappa B signaling pathway, Lipid and atherosclerosis, Pertussis, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, Influenza A, Chagas disease, Kaposi sarcoma-associated herpesvirus infection, Yersinia infection, Necroptosis, Hepatitis B","1.1577523254277826e-14, 2.728048793894201e-12, 3.4970369992610075e-08, 3.4970369992610075e-08, 5.6616998361679246e-08, 3.439446871080842e-07, 3.793396317367466e-07, 7.626980793425789e-06, 0.0003156562641710188, 0.0006582734394430797, 0.0038285491876088",1.12153591819263,2.17578487081678,UpRegulated
IL23A,"Rheumatoid arthritis, Cytokine-cytokine receptor interaction, Pertussis, C-type lectin receptor signaling pathway, Th17 cell differentiation, Inflammatory bowel disease, JAK-STAT signaling pathway","5.0193100412991314e-18, 1.860485947890529e-17, 3.4970369992610075e-08, 0.0004860933150124579, 0.0037963885346754, 0.004352001251164, 0.0162059085937925",1.11927796209597,2.17238222226156,UpRegulated
LIF,"TNF signaling pathway, Cytokine-cytokine receptor interaction, JAK-STAT signaling pathway","7.381870203598573e-21, 1.860485947890529e-17, 0.0162059085937925",1.11082896010896,2.1596970598353,UpRegulated
OXTR,Oxytocin signaling pathway,0.0136392601375747,1.07849535280287,2.11183241353212,UpRegulated
PTAFR,Staphylococcus aureus infection,0.0136392601375747,1.07278441451032,2.10348920532435,UpRegulated
H3C4,"Transcriptional misregulation in cancer, Shigellosis","0.0017127695399908, 0.006209960659943",-1.0642991677858,2.09115379238333,DownRegulated
