Genes,Term,Adjusted P-value,Log2FoldChange,FoldChange,Regulation
CXCL1,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0005411429302178764, 0.0019385653266643",2.80678584844439,6.99723938210739,UpRegulated
HSPA6,"Immune System R-HSA-168256, Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Innate Immune System R-HSA-168249, Cellular Response To Heat Stress R-HSA-3371556, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","2.5204745254745263e-08, 6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0005411429302178764, 0.0012201865879424, 0.0075268124946861, 0.0086876797492417",-2.72298202801727,6.60236102046475,DownRegulated
CYP1B1,"Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670, Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816","0.017431172759934, 0.020717356578163",2.60648585086941,6.09018414597829,UpRegulated
CCL2,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Signaling By GPCR R-HSA-372790, Signal Transduction R-HSA-162582, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 1.2940927033034562e-07, 3.1369963248127004e-05, 0.0019385653266643, 0.0075268124946861, 0.0086876797492417",2.54628042579618,5.84126333572391,UpRegulated
BIRC3,"Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582, TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594, Regulated Necrosis R-HSA-5218859, TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956, Regulation Of TNFR1 Signaling R-HSA-5357905, TNF Signaling R-HSA-75893","1.5246001717197807e-10, 2.5204745254745263e-08, 0.0005411429302178764, 0.0019385653266643, 0.0035573400734017, 0.0097507101727207, 0.0104015318617856, 0.0215797228462281, 0.0385776671983742",2.51056629770384,5.69843713762084,UpRegulated
CCL22,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Signaling By GPCR R-HSA-372790, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 1.2940927033034562e-07, 3.1369963248127004e-05, 0.0005411429302178764, 0.0019385653266643",2.50832489515489,5.6895907948465,UpRegulated
TNFAIP3,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582, TNFR1-induced NFkappaB Signaling Pathway R-HSA-5357956, Regulation Of TNFR1 Signaling R-HSA-5357905, TNF Signaling R-HSA-75893, TNFR1-induced Proapoptotic Signaling R-HSA-5357786","2.5204745254745263e-08, 0.0005411429302178764, 0.0019385653266643, 0.0104015318617856, 0.0215797228462281, 0.0385776671983742, 0.0385776671983742",2.31160510592693,4.96435093940054,UpRegulated
NANOS3,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","2.5204745254745263e-08, 0.0005411429302178764, 0.0019385653266643",2.27422901178562,4.83739052431291,UpRegulated
RCAN1,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",2.10011035709735,4.2874217984055,UpRegulated
FOS,"Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07, 0.0005411429302178764, 0.0019385653266643, 0.0075268124946861, 0.0086876797492417",-1.84272770160375,3.58687557757967,DownRegulated
STAT5A,"Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Signal Transduction R-HSA-162582","6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 0.0019385653266643",1.82304952145319,3.53828319313219,UpRegulated
THBS1,Signal Transduction R-HSA-162582,0.0019385653266643,1.7764927668638,3.42592309653274,UpRegulated
IL1B,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Innate Immune System R-HSA-168249, Regulated Necrosis R-HSA-5218859, Pyroptosis R-HSA-5620971, Interleukin-1 Processing R-HSA-448706","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07, 0.0005411429302178764, 0.0097507101727207, 0.0104015318617856, 0.020717356578163",1.74670715733247,3.35591728489506,UpRegulated
IRF1,"Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Regulated Necrosis R-HSA-5218859, Pyroptosis R-HSA-5620971","1.5246001717197807e-10, 2.5204745254745263e-08, 0.0097507101727207, 0.0104015318617856",1.7410915722007,3.34288001161916,UpRegulated
CCL20,"Interleukin-10 Signaling R-HSA-6783783, Chemokine Receptors Bind Chemokines R-HSA-380108, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Peptide Ligand-Binding Receptors R-HSA-375276, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.813945571151312e-25, 1.072468051402429e-14, 6.431408209755029e-11, 1.5246001717197807e-10, 4.193112216165385e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",1.73411669246489,3.32675746757163,UpRegulated
ID1,"Signal Transduction R-HSA-162582, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","0.0019385653266643, 0.0075268124946861, 0.0086876797492417",-1.69131120700481,3.22950086581108,DownRegulated
IL1A,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897, Regulated Necrosis R-HSA-5218859, Pyroptosis R-HSA-5620971, Interleukin-1 Processing R-HSA-448706","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07, 0.0075268124946861, 0.0086876797492417, 0.0097507101727207, 0.0104015318617856, 0.020717356578163",1.6784696096585,3.20088225851045,UpRegulated
ICAM1,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07",1.66923465166507,3.18045825734968,UpRegulated
ETS1,"Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","0.0075268124946861, 0.0086876797492417",1.50201262659304,2.83237566551989,UpRegulated
ADM,"GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.1015715042414979e-07, 3.1369963248127004e-05, 0.00012836507456535792, 0.0019385653266643",-1.50043028357346,2.82927082851096,DownRegulated
SERPINA3,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",1.47104432115442,2.77222493574562,UpRegulated
DKK1,Signal Transduction R-HSA-162582,0.0019385653266643,-1.39555452271792,2.63089655290664,DownRegulated
RND1,Signal Transduction R-HSA-162582,0.0019385653266643,1.38354321351154,2.60908367581689,UpRegulated
NANOS1,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",-1.36438253994499,2.57466109218448,DownRegulated
CYP1A1,"Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670, Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816","0.017431172759934, 0.020717356578163",1.3635432835192,2.57316377471471,UpRegulated
DNAJB1,"Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Cellular Response To Heat Stress R-HSA-3371556, Signal Transduction R-HSA-162582, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897, HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497","6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0012201865879424, 0.0019385653266643, 0.0075268124946861, 0.0086876797492417, 0.0264881503768748",-1.3473069409665,2.54436728344308,DownRegulated
BDKRB2,"Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, G Alpha (I) Signaling Events R-HSA-418594, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 4.188970452278493e-05, 0.00012836507456535792, 0.0019385653266643",1.28447768542196,2.43593845839139,UpRegulated
DUSP2,Signal Transduction R-HSA-162582,0.0019385653266643,-1.28342949247757,2.43416926525455,DownRegulated
NFKBIA,"Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 0.0005411429302178764, 0.0019385653266643",1.19305978331471,2.28637141297789,UpRegulated
HSPH1,"Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Cellular Response To Heat Stress R-HSA-3371556, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0012201865879424, 0.0075268124946861, 0.0086876797492417",-1.19016528371576,2.28178883204879,DownRegulated
MASP2,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",1.1892265524211,2.28030460301764,UpRegulated
SCTR,"GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","1.1015715042414979e-07, 3.1369963248127004e-05, 0.00012836507456535792, 0.0019385653266643",1.1883932750488,2.27898791616538,UpRegulated
HSPA1A,"Immune System R-HSA-168256, Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Innate Immune System R-HSA-168249, Cellular Response To Heat Stress R-HSA-3371556, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897, HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497","2.5204745254745263e-08, 6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0005411429302178764, 0.0012201865879424, 0.0075268124946861, 0.0086876797492417, 0.0264881503768748",-1.18157099573581,2.26823637978504,DownRegulated
CFB,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",1.17808937867985,2.26276910573341,UpRegulated
HSPA1B,"Immune System R-HSA-168256, Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Innate Immune System R-HSA-168249, Cellular Response To Heat Stress R-HSA-3371556, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897, HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497","2.5204745254745263e-08, 6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0005411429302178764, 0.0012201865879424, 0.0075268124946861, 0.0086876797492417, 0.0264881503768748",-1.16389266336956,2.24061172048945,DownRegulated
POTEF,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","2.5204745254745263e-08, 0.0005411429302178764, 0.0019385653266643",1.15913675461693,2.23323760493036,UpRegulated
TICAM1,"Immune System R-HSA-168256, Innate Immune System R-HSA-168249","2.5204745254745263e-08, 0.0005411429302178764",1.12153591819263,2.17578487081678,UpRegulated
IL23A,"Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807","6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07",1.11927796209597,2.17238222226156,UpRegulated
LIF,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 1.2940927033034562e-07",1.11082896010896,2.1596970598353,UpRegulated
CITED2,"Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","0.0075268124946861, 0.0086876797492417",-1.09633104883452,2.13810254704773,DownRegulated
OXTR,"Peptide Ligand-Binding Receptors R-HSA-375276, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, GPCR Downstream Signaling R-HSA-388396, Signal Transduction R-HSA-162582","4.193112216165385e-10, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 0.00012836507456535792, 0.0019385653266643",1.07849535280287,2.11183241353212,UpRegulated
CHAC1,"Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","0.0075268124946861, 0.0086876797492417",-1.07364294554551,2.1047413398078,DownRegulated
PTAFR,"Interleukin-10 Signaling R-HSA-6783783, Signaling By Interleukins R-HSA-449147, Cytokine Signaling In Immune System R-HSA-1280215, Immune System R-HSA-168256, Class A/1 (Rhodopsin-like Receptors) R-HSA-373076, GPCR Ligand Binding R-HSA-500792, Signaling By GPCR R-HSA-372790, GPCR Downstream Signaling R-HSA-388396, Innate Immune System R-HSA-168249, Signal Transduction R-HSA-162582","1.813945571151312e-25, 6.431408209755029e-11, 1.5246001717197807e-10, 2.5204745254745263e-08, 4.5781557156996955e-08, 1.1015715042414979e-07, 3.1369963248127004e-05, 0.00012836507456535792, 0.0005411429302178764, 0.0019385653266643",1.07278441451032,2.10348920532435,UpRegulated
DEDD2,"Attenuation Phase R-HSA-3371568, HSF1 Activation R-HSA-3371511, HSF1-dependent Transactivation R-HSA-3371571, Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453, Cellular Response To Heat Stress R-HSA-3371556, Cellular Responses To Stress R-HSA-2262752, Cellular Responses To Stimuli R-HSA-8953897","6.794398147903675e-07, 1.2531048524993638e-06, 4.528470542665159e-06, 0.00043969253673174975, 0.0012201865879424, 0.0075268124946861, 0.0086876797492417",-1.0388395588949,2.0545743782748,DownRegulated
