Official symbol for Interactor A,Official symbol for Interactor B,Organism ID for Interactor A,Organism ID for Interactor B,Interaction Throughput,Quantitative Score,Genes,Log2FoldChange,FoldChange,Regulation
TNF,GK,Homo sapiens,Homo sapiens,High Throughput,0.961262842,TNF,3.88465045591814,14.7705378510313,UpRegulated
POU2F1,TNF,Homo sapiens,Homo sapiens,High Throughput,2.41,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,LNPEP,Homo sapiens,Homo sapiens,High Throughput,0.925953617,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,RHEB,Homo sapiens,Homo sapiens,High Throughput,0.930997463,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,B4GALT5,Homo sapiens,Homo sapiens,High Throughput,0.958184069,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,B4GALT5,Homo sapiens,Homo sapiens,High Throughput,0.941915508,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,SFXN5,Homo sapiens,Homo sapiens,High Throughput,0.974090509,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,GUF1,Homo sapiens,Homo sapiens,High Throughput,0.900815077,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,MTX3,Homo sapiens,Homo sapiens,High Throughput,0.955400541,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,HSPA12A,Homo sapiens,Homo sapiens,High Throughput,0.956488665,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,NEK7,Homo sapiens,Homo sapiens,High Throughput,0.973352473,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNFRSF1A,TNF,Homo sapiens,Homo sapiens,High Throughput,0.999996794,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,CAPNS1,Homo sapiens,Homo sapiens,High Throughput,0.960139914,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,PLXNA2,Homo sapiens,Homo sapiens,High Throughput,0.911185007,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,GK,Homo sapiens,Homo sapiens,High Throughput,0.959429037,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,HSPA13,Homo sapiens,Homo sapiens,High Throughput,0.986544671,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,NEO1,Homo sapiens,Homo sapiens,High Throughput,0.977823323,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,ITIH2,Homo sapiens,Homo sapiens,High Throughput,0.967917901,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,SFXN5,Homo sapiens,Homo sapiens,High Throughput,0.951433516,TNF,3.88465045591814,14.7705378510313,UpRegulated
TNF,DDX19B,Homo sapiens,Homo sapiens,High Throughput,0.914317184,TNF,3.88465045591814,14.7705378510313,UpRegulated
C10orf55,ERCC4,Homo sapiens,Homo sapiens,High Throughput,0.983274791,C10orf55,3.60666663189092,12.1818946834171,UpRegulated
C10orf55,ERCC4,Homo sapiens,Homo sapiens,High Throughput,0.991521587,C10orf55,3.60666663189092,12.1818946834171,UpRegulated
SERPINE2,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.999978219,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAU,SERPINE2,Homo sapiens,Homo sapiens,High Throughput,0.999940035,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAU,MOCOS,Homo sapiens,Homo sapiens,High Throughput,0.961648173,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAUR,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.999999839,PLAU,3.36540331374543,10.3059337168001,UpRegulated
SLURP1,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.995497736,PLAU,3.36540331374543,10.3059337168001,UpRegulated
KLK1,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.996100405,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAU,MOCOS,Homo sapiens,Homo sapiens,High Throughput,0.976869943,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAU,SERPINE2,Homo sapiens,Homo sapiens,High Throughput,0.999903013,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PDGFRA,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.994494962,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PTCH1,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.985900425,PLAU,3.36540331374543,10.3059337168001,UpRegulated
PLAU,SERPINE1,Homo sapiens,Homo sapiens,High Throughput,0.999999999,PLAU,3.36540331374543,10.3059337168001,UpRegulated
FIBIN,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.995155023,PLAU,3.36540331374543,10.3059337168001,UpRegulated
CFC1,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.956142504,PLAU,3.36540331374543,10.3059337168001,UpRegulated
FSTL4,PLAU,Homo sapiens,Homo sapiens,High Throughput,0.982351282,PLAU,3.36540331374543,10.3059337168001,UpRegulated
CX3CL1,NUS1,Homo sapiens,Homo sapiens,High Throughput,0.935992319,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,CERK,Homo sapiens,Homo sapiens,High Throughput,0.950880706,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SLC9A1,Homo sapiens,Homo sapiens,High Throughput,0.999360773,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,PKN3,Homo sapiens,Homo sapiens,High Throughput,0.944503908,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,GOSR2,Homo sapiens,Homo sapiens,High Throughput,0.989456366,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,BMPR1A,Homo sapiens,Homo sapiens,High Throughput,0.976899371,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,TMEM11,Homo sapiens,Homo sapiens,High Throughput,0.941541616,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,FTSJ1,Homo sapiens,Homo sapiens,High Throughput,0.925141902,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ERBB2,Homo sapiens,Homo sapiens,High Throughput,0.919289997,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ATP7A,Homo sapiens,Homo sapiens,High Throughput,0.978719187,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SLC35F5,Homo sapiens,Homo sapiens,High Throughput,0.97052324,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,TENM3,Homo sapiens,Homo sapiens,High Throughput,0.975186502,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,WDR20,Homo sapiens,Homo sapiens,High Throughput,0.967186474,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ATP8B2,Homo sapiens,Homo sapiens,High Throughput,0.986299958,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,WDR44,Homo sapiens,Homo sapiens,High Throughput,0.977280624,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,FAT4,Homo sapiens,Homo sapiens,High Throughput,0.989075694,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ORC5,Homo sapiens,Homo sapiens,High Throughput,0.981370949,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SBF1,Homo sapiens,Homo sapiens,High Throughput,0.980416096,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,DENND6A,Homo sapiens,Homo sapiens,High Throughput,0.988012576,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,C1GALT1,Homo sapiens,Homo sapiens,High Throughput,0.999895423,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,UGCG,Homo sapiens,Homo sapiens,High Throughput,0.967865265,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,CLTCL1,Homo sapiens,Homo sapiens,High Throughput,0.985371333,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ATP12A,Homo sapiens,Homo sapiens,High Throughput,0.926588738,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,RHBDF2,Homo sapiens,Homo sapiens,High Throughput,0.999985356,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,STX7,Homo sapiens,Homo sapiens,High Throughput,0.996798592,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SLC4A7,Homo sapiens,Homo sapiens,High Throughput,0.999991207,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SLC30A5,Homo sapiens,Homo sapiens,High Throughput,0.907611436,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,FGFR4,Homo sapiens,Homo sapiens,High Throughput,0.999835025,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,MOSPD2,Homo sapiens,Homo sapiens,High Throughput,0.996544957,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,STX5,Homo sapiens,Homo sapiens,High Throughput,0.992851957,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,NOP9,Homo sapiens,Homo sapiens,High Throughput,0.969715881,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,PLEKHH3,Homo sapiens,Homo sapiens,High Throughput,0.959136171,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,CSGALNACT2,Homo sapiens,Homo sapiens,High Throughput,0.95372176,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,NR2F2,Homo sapiens,Homo sapiens,High Throughput,0.912811454,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,USP32,Homo sapiens,Homo sapiens,High Throughput,0.99999982,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,RHOBTB3,Homo sapiens,Homo sapiens,High Throughput,0.94743151,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,SLC29A1,Homo sapiens,Homo sapiens,High Throughput,0.96553679,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,LAPTM4B,Homo sapiens,Homo sapiens,High Throughput,0.99983394,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,STX8,Homo sapiens,Homo sapiens,High Throughput,0.963671968,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,ADCY6,Homo sapiens,Homo sapiens,High Throughput,0.929263607,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CX3CL1,FLT4,Homo sapiens,Homo sapiens,High Throughput,0.998521491,CX3CL1,3.03074080887836,8.17229231543399,UpRegulated
CXCL2,CXCL3,Homo sapiens,Homo sapiens,High Throughput,1.0,CXCL2,3.01027327604049,8.05717044930861,UpRegulated
COA3,CXCL2,Homo sapiens,Homo sapiens,High Throughput,0.992293547,CXCL2,3.01027327604049,8.05717044930861,UpRegulated
CXCL2,CXCL1,Homo sapiens,Homo sapiens,High Throughput,0.999386065,CXCL2,3.01027327604049,8.05717044930861,UpRegulated
TNFSF14,CLGN,Homo sapiens,Homo sapiens,High Throughput,0.912128194,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,FASTKD1,Homo sapiens,Homo sapiens,High Throughput,0.99613212,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,MYLPF,Homo sapiens,Homo sapiens,High Throughput,0.999968252,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,TAMM41,Homo sapiens,Homo sapiens,High Throughput,0.987311818,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,DNAJC16,Homo sapiens,Homo sapiens,High Throughput,0.958397122,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
NUDT1,TNFSF14,Homo sapiens,Homo sapiens,High Throughput,0.980740575,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,EIF2B3,Homo sapiens,Homo sapiens,High Throughput,0.99459949,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,EIF2B5,Homo sapiens,Homo sapiens,High Throughput,0.990924809,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,CCPG1,Homo sapiens,Homo sapiens,High Throughput,0.908652157,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,YTHDF1,Homo sapiens,Homo sapiens,High Throughput,0.952260956,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,MYL1,Homo sapiens,Homo sapiens,High Throughput,0.987947851,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,DNAJA3,Homo sapiens,Homo sapiens,High Throughput,0.938007591,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,TUBB8,Homo sapiens,Homo sapiens,High Throughput,0.948251291,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,MFF,Homo sapiens,Homo sapiens,High Throughput,0.99962181,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,DNAJB9,Homo sapiens,Homo sapiens,High Throughput,0.990117498,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
GP9,TNFSF14,Homo sapiens,Homo sapiens,High Throughput,0.995808795,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,KCTD2,Homo sapiens,Homo sapiens,High Throughput,0.984532411,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,FANCD2,Homo sapiens,Homo sapiens,High Throughput,0.967001574,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,KIAA0368,Homo sapiens,Homo sapiens,High Throughput,0.943387151,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
TNFSF14,RSAD1,Homo sapiens,Homo sapiens,High Throughput,0.978615285,TNFSF14,2.95100104834556,7.73285439565647,UpRegulated
CXCL3,IFI30,Homo sapiens,Homo sapiens,High Throughput,0.98301867,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL2,CXCL3,Homo sapiens,Homo sapiens,High Throughput,1.0,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL3,BIRC6,Homo sapiens,Homo sapiens,High Throughput,0.942658716,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL3,BIRC2,Homo sapiens,Homo sapiens,High Throughput,0.999969252,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL3,TRAF2,Homo sapiens,Homo sapiens,High Throughput,0.994483048,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL3,CXCL1,Homo sapiens,Homo sapiens,High Throughput,0.999431924,CXCL3,2.94988269379775,7.72686233109902,UpRegulated
CXCL5,VWDE,Homo sapiens,Homo sapiens,High Throughput,0.994286003,CXCL5,2.91962297098245,7.56648351631896,UpRegulated
CXCL5,FBLN2,Homo sapiens,Homo sapiens,High Throughput,0.99997633,CXCL5,2.91962297098245,7.56648351631896,UpRegulated
CXCL5,LAMA3,Homo sapiens,Homo sapiens,High Throughput,0.934984954,CXCL5,2.91962297098245,7.56648351631896,UpRegulated
CXCL5,OLFM2,Homo sapiens,Homo sapiens,High Throughput,0.999681526,CXCL5,2.91962297098245,7.56648351631896,UpRegulated
CXCL1,BIRC6,Homo sapiens,Homo sapiens,High Throughput,0.999989057,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL2,CXCL1,Homo sapiens,Homo sapiens,High Throughput,0.999386065,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL1,SEH1L,Homo sapiens,Homo sapiens,High Throughput,0.937944033,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL3,CXCL1,Homo sapiens,Homo sapiens,High Throughput,0.999431924,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL1,TRAF2,Homo sapiens,Homo sapiens,High Throughput,0.999400611,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL1,DIABLO,Homo sapiens,Homo sapiens,High Throughput,0.999760785,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
CXCL1,BIRC2,Homo sapiens,Homo sapiens,High Throughput,0.999996203,CXCL1,2.80678584844439,6.99723938210739,UpRegulated
HSPA6,HSPA4,Homo sapiens,Homo sapiens,High Throughput,5.3,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG4,Homo sapiens,Homo sapiens,High Throughput,405.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,CLTA,Homo sapiens,Homo sapiens,High Throughput,234.5,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,CLTC,Homo sapiens,Homo sapiens,High Throughput,7.83,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,DNAJC13,Homo sapiens,Homo sapiens,High Throughput,4.64,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,SUPT6H,Homo sapiens,Homo sapiens,High Throughput,120.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,DNAJC7,Homo sapiens,Homo sapiens,High Throughput,70.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG4,Homo sapiens,Homo sapiens,High Throughput,64.75,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG5,Homo sapiens,Homo sapiens,High Throughput,168.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG3,Homo sapiens,Homo sapiens,High Throughput,11.26,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,SUPT6H,Homo sapiens,Homo sapiens,High Throughput,75.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
DNAJB11,HSPA6,Homo sapiens,Homo sapiens,High Throughput,15.8,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
DNAJB2,HSPA6,Homo sapiens,Homo sapiens,High Throughput,27.21,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG1,Homo sapiens,Homo sapiens,High Throughput,115.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
DNAJB3,HSPA6,Homo sapiens,Homo sapiens,High Throughput,23.83,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,ALDH3A2,Homo sapiens,Homo sapiens,High Throughput,19.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
PRODH,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.954077385,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
ODF3L1,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.912172093,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,HSPBP1,Homo sapiens,Homo sapiens,High Throughput,20.8,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
DNAJB1,HSPA6,Homo sapiens,Homo sapiens,High Throughput,14.03,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA6,BAG3,Homo sapiens,Homo sapiens,High Throughput,565.0,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
HSPA1A,HSPA6,Homo sapiens,Homo sapiens,High Throughput,26.11,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
NDRG2,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.969530011,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
LIME1,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.910657841,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
CDK9,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.998691,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
NR1I3,HSPA6,Homo sapiens,Homo sapiens,High Throughput,0.906624026,HSPA6,-2.72298202801727,6.60236102046475,DownRegulated
DIABLO,BIRC3,Homo sapiens,Homo sapiens,High Throughput,0.999999995,BIRC3,2.51056629770384,5.69843713762084,UpRegulated
CCL22,LONRF2,Homo sapiens,Homo sapiens,High Throughput,0.921476491,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,PRUNE,Homo sapiens,Homo sapiens,High Throughput,0.99975395,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,RAD51D,Homo sapiens,Homo sapiens,High Throughput,0.991850529,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,FAM118B,Homo sapiens,Homo sapiens,High Throughput,0.991765831,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,CBWD1,Homo sapiens,Homo sapiens,High Throughput,0.958075322,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,RAD51D,Homo sapiens,Homo sapiens,High Throughput,0.987301684,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,DDX19B,Homo sapiens,Homo sapiens,High Throughput,0.990246092,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,TUBB3,Homo sapiens,Homo sapiens,High Throughput,0.925592681,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,DPP8,Homo sapiens,Homo sapiens,High Throughput,0.999711658,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,KDM4A,Homo sapiens,Homo sapiens,High Throughput,0.999999887,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,CD109,Homo sapiens,Homo sapiens,High Throughput,0.91978567,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,PITRM1,Homo sapiens,Homo sapiens,High Throughput,0.95811078,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,SEPHS2,Homo sapiens,Homo sapiens,High Throughput,0.999997706,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,TUBB3,Homo sapiens,Homo sapiens,High Throughput,0.923323401,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,LNPEP,Homo sapiens,Homo sapiens,High Throughput,0.918166793,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,PDIA5,Homo sapiens,Homo sapiens,High Throughput,0.989696761,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,ITGA8,Homo sapiens,Homo sapiens,High Throughput,0.965841951,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,ITPA,Homo sapiens,Homo sapiens,High Throughput,0.98866779,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,PRUNE,Homo sapiens,Homo sapiens,High Throughput,0.999817199,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,CBWD1,Homo sapiens,Homo sapiens,High Throughput,0.924526033,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,CHD1L,Homo sapiens,Homo sapiens,High Throughput,0.973909595,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,KDM4A,Homo sapiens,Homo sapiens,High Throughput,0.99999937,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,PITRM1,Homo sapiens,Homo sapiens,High Throughput,0.965154978,CCL22,2.50832489515489,5.6895907948465,UpRegulated
CCL22,GLS,Homo sapiens,Homo sapiens,High Throughput,0.995906026,CCL22,2.50832489515489,5.6895907948465,UpRegulated
