Gene,DisGeNET_Term_categories,GeDiPNet_Term_categories,Orphanet_Term_categories
DNAJB1,"Viral Diseases, Other Diseases, Neurological Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",No information,No information
DNAJB4,"Viral Diseases, Other Diseases, Cancer",Other Diseases,No information
DUSP2,"Neurological Diseases, Other Diseases, Associated with Dysbiosis, Cancer",Other Diseases,Other Diseases
EGOT,Cancer,No information,No information
ETS1,"Rare Diseases, Other Diseases, Associated with Dysbiosis, Cancer","Other Diseases, Associated with Dysbiosis, Pathogenic Bacteria","Other Diseases, Pathogenic Bacteria"
FKBPL,"Cancer, Other Diseases","Other Diseases, Cancer",No information
FOS,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",Other Diseases
FOXJ1,"Rare Diseases, Other Diseases, Cancer",No information,No information
FSCN2,"Cancer, Other Diseases, Associated with Dysbiosis",No information,No information
GAPDHS,"Neurological Diseases, Other Diseases",Other Diseases,No information
GPM6B,"Other Diseases, Cancer",No information,No information
HAP1,"Neurological Diseases, Other Diseases, Associated with Dysbiosis, Cancer",No information,No information
HLA-L,"Other Diseases, Associated with Dysbiosis, Cancer",Cancer,No information
HS3ST3B1,"Viral Diseases, Other Diseases, Cancer",No information,No information
HSPA1A,"Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",Other Diseases,No information
HSPA1B,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",No information
HSPA6,"Other Diseases, Cancer",Other Diseases,Other Diseases
HSPH1,"Neurological Diseases, Cancer, Other Diseases, Rare Diseases",No information,No information
ICAM1,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Associated with Dysbiosis, Cancer","Rare Diseases, Other Diseases, Associated with Dysbiosis, Cancer"
ID1,"Other Diseases, Associated with Dysbiosis, Cancer","Other Diseases, Cancer",No information
IL1A,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Other Diseases, Cancer"
IL1B,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases, Cancer","Cancer, Other Diseases"
IL23A,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
INHBC,"Cancer, Other Diseases",No information,No information
IRF1,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis"
L3MBTL1,"Cancer, Other Diseases",No information,No information
LIF,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",Other Diseases,"Rare Diseases, Other Diseases"
LTB,"Viral Diseases, Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",No information,"Rare Diseases, Cancer, Other Diseases"
MAFB,"Cancer, Other Diseases, Associated with Dysbiosis",Other Diseases,No information
MASP2,"Viral Diseases, Neurological Diseases, Other Diseases, Pathogenic Bacteria, Cancer",Other Diseases,No information
MIR17HG,"Rare Diseases, Cancer, Other Diseases, Associated with Dysbiosis",No information,No information
MIR22HG,"Other Diseases, Cancer","Other Diseases, Cancer",No information
MIR3142HG,Other Diseases,No information,No information
MIR3189,Other Diseases,No information,No information
MIR4492,"Viral Diseases, Other Diseases",No information,No information
MIR616,"Neurological Diseases, Cancer",No information,No information
NANOS1,"Neurological Diseases, Cancer, Other Diseases",Other Diseases,No information
NANOS3,"Neurological Diseases, Other Diseases, Cancer",No information,No information
NCOA7,"Cancer, Other Diseases",No information,No information
NFKBIA,"Viral Diseases, Other Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Rare Diseases, Other Diseases, Cancer"
NFKBIZ,"Other Diseases, Cancer",No information,"Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis"
NPTX1,"Neurological Diseases, Cancer, Rare Diseases",No information,No information
NR4A3,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
NUAK2,"Viral Diseases, Cancer, Other Diseases",No information,No information
OXTR,"Viral Diseases, Neurological Diseases, Other Diseases, Cancer, Associated with Dysbiosis",No information,No information
PLAU,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases, Associated with Dysbiosis, Cancer","Other Diseases, Cancer"
PLK2,"Neurological Diseases, Other Diseases, Associated with Dysbiosis, Cancer","Other Diseases, Cancer",Rare Diseases
POTEF,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",No information,No information
PTAFR,"Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",No information,Other Diseases
RASL11B,"Other Diseases, Cancer",No information,No information
RCAN1,"Neurological Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer",No information
RGS2,"Neurological Diseases, Other Diseases, Associated with Dysbiosis, Cancer","Other Diseases, Cancer",No information
RND1,"Neurological Diseases, Cancer",No information,No information
S100A3,Cancer,No information,"Rare Diseases, Other Diseases"
SCTR,"Cancer, Other Diseases",No information,No information
SDC4,"Other Diseases, Cancer, Pathogenic Bacteria",No information,"Rare Diseases, Other Diseases, Cancer"
SERPINA3,"Viral Diseases, Neurological Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",No information,Other Diseases
SNORD14C,"Cancer, Other Diseases",No information,No information
SNORD14D,"Cancer, Other Diseases",No information,No information
SOD2,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Neurological Diseases, Other Diseases, Cancer",No information
SPG7,"Viral Diseases, Neurological Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",Other Diseases,No information
STAT5A,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Rare Diseases, Other Diseases, Cancer"
STX11,"Cancer, Other Diseases",No information,"Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis"
THBS1,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer","Other Diseases, Cancer"
TICAM1,"Viral Diseases, Other Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis",Cancer,"Rare Diseases, Other Diseases"
TMEM88,Cancer,No information,No information
TNF,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis","Rare Diseases, Other Diseases, Associated with Dysbiosis, Cancer","Rare Diseases, Other Diseases, Cancer"
TNFAIP2,"Other Diseases, Cancer",Other Diseases,"Rare Diseases, Other Diseases, Cancer"
TNFAIP3,"Viral Diseases, Other Diseases, Rare Diseases, Cancer, Associated with Dysbiosis","Other Diseases, Cancer, Pathogenic Bacteria","Other Diseases, Rare Diseases, Pathogenic Bacteria, Cancer, Associated with Dysbiosis"
TNFSF14,"Viral Diseases, Other Diseases, Neurological Diseases, Rare Diseases, Cancer, Associated with Dysbiosis",Other Diseases,Other Diseases
TOR4A,Other Diseases,No information,No information
UNC13A,"Neurological Diseases, Other Diseases, Associated with Dysbiosis","Neurological Diseases, Other Diseases",No information
WAKMAR2,No information,Other Diseases,No information
