Gene,Disease
CFB,"leukemia, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, Acute lymphocytic leukemia, Adenocarcinoma of lung (disorder), Pancreatic Ductal Adenocarcinoma, Malignant neoplasm of gastrointestinal tract, Lung Cancer"
CHAC1,"Ovarian Carcinoma, Malignant neoplasm of ovary, Mammary Neoplasms, Malignant neoplasm of breast, Breast Carcinoma, Squamous cell carcinoma of the head and neck"
CITED2,"Ovarian Carcinoma, Neoplasm Metastasis, Leukemia, Mammary Neoplasms, Malignant neoplasm of breast, Colonic Neoplasms, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Malignant tumor of colon, Myeloid Leukemia, Neoplasms, Secondary malignant neoplasm of lymph node, Malignant Neoplasms, Benign Neoplasm, Adrenocortical carcinoma, Malignant Neoplasm"
CSF1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Carcinoma of lung, Colon Carcinoma, Primary malignant neoplasm of lung, Breast Carcinoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Small cell carcinoma of lung, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Colorectal Neoplasms, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Endometrial adenocarcinoma, Pancreatic Neoplasm, precancerous lesions, Solid Neoplasm, Endometrial Carcinoma, Acute myelomonocytic leukemia, Colorectal Carcinoma, Uterine Cervical Neoplasm, Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Invasive carcinoma of breast, Monocytic leukemia, Precursor Cell Lymphoblastic Leukemia Lymphoma, Stage IV Ovarian Carcinoma, Malignant neoplasm of thyroid, Secondary malignant neoplasm of liver, Kidney Neoplasm, Papillary thyroid carcinoma, gliosarcoma, Stromal Neoplasm, Invasive Carcinoma, Giant Cell Tumors, Mammary Tumorigenesis, Squamous cell carcinoma of lung, Breast Cancer"
CSF2,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Tumor Angiogenesis, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Kaposi Sarcoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Adult T-Cell Lymphoma/Leukemia, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Malignant neoplasm of vulva, Carcinoma of lung, B-Cell Lymphomas, Colon Carcinoma, Fibrosarcoma, Osteosarcoma of bone, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Small cell carcinoma of lung, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Colorectal Neoplasms, Acute monocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Tumor Immunity, Malignant Head and Neck Neoplasm, Hematologic Neoplasms, Hematopoietic Neoplasms, Carcinoma, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Acute myelomonocytic leukemia, Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Neoplasms, Precursor B-cell lymphoblastic leukemia, Sarcoma, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Secondary malignant neoplasm of lung, Urothelial Carcinoma, Monocytic leukemia, Primary malignant neoplasm, Carcinoma breast stage IV, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Stage IV Ovarian Carcinoma, Secondary malignant neoplasm of liver, Carcinoma of larynx, Chronic Neutrophilic Leukemia, Malignant neoplasm of larynx, Kidney Neoplasm, Skin carcinoma, Disseminated Malignant Neoplasm, Thyroid Neoplasm, Myeloid neoplasm, Renal carcinoma, Reticulosarcoma, Ki-1+ Anaplastic Large Cell Lymphoma, Promyelocytic leukemia, Undifferentiated carcinoma, Anaplastic thyroid carcinoma, Carcinomatosis, Juvenile Myelomonocytic Leukemia, Peripheral T-Cell Lymphoma, Acute leukemia, Low Grade Lymphoma (neoplasm), Melanoma, Esophageal carcinoma, Anaplastic carcinoma, Adenocarcinoma of prostate, Conventional (Clear Cell) Renal Cell Carcinoma, Pseudotumor Cerebri, Preleukemia, Metastatic malignant neoplasm to brain, Childhood Leukemia, T-Cell Lymphoma, Burkitt Lymphoma, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Malignant neoplasm of kidney, Adenocarcinoma of colon, Diffuse Mixed-Cell Lymphoma, Philadelphia chromosome-positive acute lymphoblastic leukemia, Squamous cell carcinoma of lung, Cutaneous Melanoma, Neoplasm, Thyroid Carcinoma, Breast Cancer, Anaplastic Carcinoma"
CSF3,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Liver neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Osteosarcoma of bone, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Small cell carcinoma of lung, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Prostate carcinoma, Malignant tumor of colon, Myeloid Leukemia, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, precancerous lesions, Carcinoma of bladder, Malignant Head and Neck Neoplasm, Hematologic Neoplasms, Malignant neoplasm of liver, Acute myelomonocytic leukemia, Carcinoma, Esophageal Neoplasms, Precursor B-cell lymphoblastic leukemia, Nodular Lymphocyte Predominant Hodgkin Lymphoma, Skin Neoplasms, Squamous cell carcinoma of the head and neck, Carcinoma breast stage IV, Precursor Cell Lymphoblastic Leukemia Lymphoma, Chronic Neutrophilic Leukemia, Skin carcinoma, Disseminated Malignant Neoplasm, Adult Hodgkin Lymphoma, Myeloid neoplasm, Malignant neoplasm of esophagus, Head and Neck Neoplasms, Reticulosarcoma, Childhood Acute Lymphoblastic Leukemia, Choriocarcinoma, Promyelocytic leukemia, Undifferentiated carcinoma, Carcinomatosis, Acute leukemia, Low Grade Lymphoma (neoplasm), Anaplastic carcinoma, Clear Cell Sarcoma of Soft Tissue, Hemangiosarcoma, Hodgkin lymphoma, Mixed Cellularity Hodgkin Lymphoma, Lymphoid leukemia, Lymphocyte Rich Classical Hodgkin Lymphoma, Malignant neoplasm of skin, Head and Neck Carcinoma, Diffuse Mixed-Cell Lymphoma, Uterine Neoplasms, T-Cell Large Granular Lymphocyte Leukemia, Childhood Burkitt Lymphoma, Neoplasm, Myelomonocytic leukemia, Soft Tissue Neoplasms, Breast Cancer, B-Cell Lymphoma, Hodgkin Lymphoma, Urinary Bladder Cancer, Anaplastic Carcinoma, Skin Cancer"
CX3CL1,"Lymphoma, Neoplasm Metastasis, Mammary Neoplasms, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of breast, Breast Carcinoma, M5b Acute differentiated monocytic leukemia, Acute monocytic leukemia, Prostate carcinoma, Prostatic Neoplasms, Malignant neoplasm of prostate, Pancreatic Ductal Adenocarcinoma, Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node"
CXCL1,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Tumor Angiogenesis, Neoplasm Metastasis, Leukemia, Kaposi Sarcoma, Mammary Neoplasms, Epithelial ovarian cancer, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Thyroid carcinoma, Prostate carcinoma, Malignant tumor of colon, ovarian neoplasm, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Endometrial adenocarcinoma, Malignant Head and Neck Neoplasm, Endometrial Carcinoma, Colorectal Carcinoma, Esophageal Neoplasms, Colorectal Cancer, Carcinoma breast stage IV, Secondary malignant neoplasm of liver, Precancerous Conditions, Malignant neoplasm of esophagus, Carcinoma, Esophageal carcinoma"
CXCL10,"Lymphoma, Non-Small Cell Lung Carcinoma, cervical cancer, Tumor Angiogenesis, Neoplasm Metastasis, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Endometrial Neoplasms, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, melanoma, Breast Carcinoma, Thyroid carcinoma, Acute lymphocytic leukemia, Colorectal Neoplasms, Malignant tumor of colon, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Hematologic Neoplasms, Renal Cell Carcinoma, Colorectal Carcinoma, Uterine Cervical Neoplasm, Pancreatic Ductal Adenocarcinoma, Esophageal Neoplasms, Neoplasms, Colorectal Cancer, Precursor Cell Lymphoblastic Leukemia Lymphoma, tumor vasculature, Thyroid Neoplasm, Papillary thyroid carcinoma, Malignant neoplasm of esophagus, Promyelocytic leukemia, Squamous cell carcinoma of esophagus, Adrenocortical carcinoma, Esophageal carcinoma, Hemangiosarcoma, Malignant neoplasm of skin, Thyroid Carcinoma"
CXCL11,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, Liver carcinoma, Fibrosarcoma, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant Head and Neck Neoplasm, Malignant neoplasm of liver, Renal Cell Carcinoma, Endometrial Carcinoma, Liver and Intrahepatic Biliary Tract Carcinoma, Mast-Cell Sarcoma"
CXCL2,"Tumor Angiogenesis, Neoplasm Metastasis, Mammary Neoplasms, Malignant neoplasm of breast, Colon Carcinoma, Stomach Neoplasms, melanoma, Breast Carcinoma, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Endometrial Carcinoma, Carcinoma, Esophageal Neoplasms, Urothelial Carcinoma, Malignant neoplasm of esophagus, Esophageal carcinoma, Breast Cancer"
CXCL3,"Neoplasm Metastasis, Mammary Neoplasms, Malignant neoplasm of breast, Colon Carcinoma, Breast Carcinoma, Squamous cell carcinoma, Breast Cancer"
CXCL5,"Non-Small Cell Lung Carcinoma, Tumor Angiogenesis, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Mammary Neoplasms, Pancreatic carcinoma, Malignant neoplasm of pancreas, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Colorectal Carcinoma, Neoplasms, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Metastatic Neoplasm, androgen independent prostate cancer, Recurrent tumor, Triple Negative Breast Neoplasms, Cholangiocarcinoma"
CXCL8,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Small cell carcinoma of lung, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Colorectal Neoplasms, Acute monocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Mouth Neoplasms, precancerous lesions, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Malignant Head and Neck Neoplasm, Carcinoma, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Myeloid Leukemia, Neoplasms, Chondrosarcoma, Precursor B-cell lymphoblastic leukemia, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Skin Neoplasms, Squamous cell carcinoma of the head and neck, Secondary malignant neoplasm of lung, Invasive carcinoma of breast, Urothelial Carcinoma, Primary malignant neoplasm, Carcinoma breast stage IV, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Malignant neoplasm of thyroid, Secondary malignant neoplasm of liver, Carcinoma of larynx, Adenocarcinoma Of Esophagus, Malignant neoplasm of larynx, Metastatic Neoplasm, Disseminated Malignant Neoplasm, Thyroid Neoplasm, Papillary thyroid carcinoma, Hairy Cell Leukemia, androgen independent prostate cancer, Childhood Acute Lymphoblastic Leukemia, Liver and Intrahepatic Biliary Tract Carcinoma, Follicular thyroid carcinoma, Choriocarcinoma, Hereditary Diffuse Gastric Cancer, Promyelocytic leukemia, Uveal melanoma, Anaplastic thyroid carcinoma, Stromal Neoplasm, Squamous cell carcinoma of esophagus, Adrenocortical carcinoma, Recurrent tumor, Childhood Osteosarcoma, Lymphoid leukemia, Conventional (Clear Cell) Renal Cell Carcinoma, Metastatic malignant neoplasm to brain, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Mammary Tumorigenesis, Oropharyngeal Carcinoma, Malignant neoplasm of gastrointestinal tract, Adenocarcinoma of colon, Superficial spreading malignant melanoma of skin, Triple Negative Breast Neoplasms, Cholangiocarcinoma, Gastric Adenocarcinoma, Adenocarcinoma of large intestine, Cutaneous Melanoma, Rhabdomyosarcoma, Squamous cell carcinoma of tongue, Ductal Carcinoma, Thyroid Carcinoma, Breast Cancer, Pancreatic Cancer, Gastric Cancer, Urinary Bladder Cancer, Nasopharyngeal carcinoma ORPHA:150"
