Gene,Disease,Category
CCL5,Autoimmune Diseases,Rare Diseases
CCL5,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL5,Glomerulonephritis,Rare Diseases
CCL5,Alzheimer's Disease,Neurological Diseases
CCL5,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL5,Autoimmune,Rare Diseases
CCL5,Parkinson Disease,Neurological Diseases
CCL5,IGA Glomerulonephritis,Rare Diseases
CCL5,Glomerulonephritis,Rare Diseases
CD83,Autoimmune Diseases,Rare Diseases
CD83,Alzheimer's Disease,Neurological Diseases
CD83,Chronic Infantile Neurological,Neurological Diseases
CD83,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CD83,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CFB,Autoimmune Diseases,Rare Diseases
CFB,Alzheimer's Disease,Neurological Diseases
CFB,Parkinson Disease,Neurological Diseases
CFB,Amyloidosis,Rare Diseases
CFB,Autoimmune thyroid disease,Rare Diseases
CFB,Glomerulonephritis,Rare Diseases
CFB,Glomerulonephritis,Rare Diseases
CSF1,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CSF1,Alzheimer's Disease,Neurological Diseases
CSF2,Autoimmune Diseases,Rare Diseases
CSF2,Alzheimer's Disease,Neurological Diseases
CSF2,Acquired Immunodeficiency Syndrome,Rare Diseases
CSF2,Familial Alzheimer Disease (FAD),Neurological Diseases
CSF2,Parkinson Disease,Neurological Diseases
CSF2,Familial lichen amyloidosis,Rare Diseases
CSF2,Alzheimer Disease,Neurological Diseases
CSF2,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
CSF2,Amyloidosis,Rare Diseases
CSF2,Severe Combined Immunodeficiency,Rare Diseases
CSF2,Amyotrophic Lateral Sclerosis,Neurological Diseases
CSF2,Alzheimer Disease,Neurological Diseases
CSF2,Asymptomatic human immunodeficiency virus infection,Rare Diseases
CSF2,Bipolar Disorder,Neurological Diseases
CSF2,Schizophrenia,Neurological Diseases
CSF2,PARKINSON DISEASE 2,Neurological Diseases
CSF2,Autism Spectrum Disorders,Neurological Diseases
CSF3,Autoimmune Diseases,Rare Diseases
CSF3,Alzheimer's Disease,Neurological Diseases
CSF3,Acquired Immunodeficiency Syndrome,Rare Diseases
CSF3,Severe Combined Immunodeficiency,Rare Diseases
CSF3,Amyotrophic Lateral Sclerosis,Neurological Diseases
CSF3,Asymptomatic human immunodeficiency virus infection,Rare Diseases
CX3CL1,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CX3CL1,Glomerulonephritis,Rare Diseases
CX3CL1,Alzheimer's Disease,Neurological Diseases
CX3CL1,Parkinson Disease,Neurological Diseases
CX3CL1,PARKINSON DISEASE 2,Neurological Diseases
CXCL1,Autoimmune Diseases,Rare Diseases
CXCL1,Alzheimer's Disease,Neurological Diseases
CXCL1,Autoimmune,Rare Diseases
CXCL1,Amyloidosis,Rare Diseases
CXCL10,Autoimmune Diseases,Rare Diseases
CXCL10,Glomerulonephritis,Rare Diseases
CXCL10,Acquired Immunodeficiency Syndrome,Rare Diseases
CXCL10,Autoimmune,Rare Diseases
CXCL10,Autoimmune thyroiditis,Rare Diseases
CXCL10,Amyotrophic Lateral Sclerosis,Neurological Diseases
CXCL10,Autoimmune thyroid disease,Rare Diseases
CXCL10,Asymptomatic human immunodeficiency virus infection,Rare Diseases
CXCL10,Polyglandular Type I Autoimmune Syndrome,Rare Diseases
CXCL10,Membranous glomerulonephritis,Rare Diseases
CXCL10,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CXCL10,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CXCL11,Acquired Immunodeficiency Syndrome,Rare Diseases
CXCL2,Glycogen Storage Disease,Rare Diseases
CXCL5,Autoimmune Diseases,Rare Diseases
CXCL8,Autoimmune Diseases,Rare Diseases
CXCL8,Glomerulonephritis,Rare Diseases
CXCL8,Alzheimer's Disease,Neurological Diseases
CXCL8,Parkinson Disease,Neurological Diseases
CXCL8,IGA Glomerulonephritis,Rare Diseases
CXCL8,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
CXCL8,Amyloidosis,Rare Diseases
CXCL8,Nephrotic Syndrome,Rare Diseases
CXCL8,Bipolar Disorder,Neurological Diseases
CXCL8,Schizophrenia,Neurological Diseases
CXCL8,Steroid-sensitive nephrotic syndrome,Rare Diseases
CXCL8,Glycogen Storage Disease,Rare Diseases
CXCL8,Glomerulonephritis,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CXCL8,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CYP1B1,Familial lichen amyloidosis,Rare Diseases
CYP1B1,Autism Spectrum Disorders,Neurological Diseases
DKK1,Alzheimer's Disease,Neurological Diseases
DKK1,Amyloidosis,Rare Diseases
DKK1,Alzheimer Disease,Neurological Diseases
DKK1,Schizophrenia,Neurological Diseases
DKK1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
ETS1,Autoimmune Diseases,Rare Diseases
FOS,Glomerulonephritis,Rare Diseases
FOS,Alzheimer's Disease,Neurological Diseases
FOS,Familial Alzheimer Disease (FAD),Neurological Diseases
FOS,Idiopathic crescentic glomerulonephritis,Rare Diseases
FOS,AMYOTROPHIC LATERAL SCLEROSIS 1,Neurological Diseases
FOS,Amyotrophic Lateral Sclerosis,Neurological Diseases
FOS,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
FOS,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
FOXJ1,Autoimmune Diseases,Rare Diseases
HSPA1A,Autoimmune Diseases,Rare Diseases
HSPA1A,Alzheimer's Disease,Neurological Diseases
HSPA1A,Parkinson Disease,Neurological Diseases
HSPA1A,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
HSPA1A,Amyloidosis,Rare Diseases
HSPA1A,Paranoid Schizophrenia,Neurological Diseases
HSPA1A,Autoimmune thyroid disease,Rare Diseases
HSPA1A,Schizophrenia,Neurological Diseases
HSPA1B,Autoimmune Diseases,Rare Diseases
HSPA1B,Alzheimer's Disease,Neurological Diseases
HSPA1B,Parkinson Disease,Neurological Diseases
HSPA1B,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
HSPA1B,Paranoid Schizophrenia,Neurological Diseases
HSPA1B,Autoimmune thyroid disease,Rare Diseases
HSPA1B,Schizophrenia,Neurological Diseases
HSPH1,Alzheimer's Disease,Neurological Diseases
HSPH1,Amyloidosis,Rare Diseases
ICAM1,Autoimmune Diseases,Rare Diseases
ICAM1,Glomerulonephritis,Rare Diseases
ICAM1,Alzheimer's Disease,Neurological Diseases
ICAM1,Acquired Immunodeficiency Syndrome,Rare Diseases
ICAM1,Parkinson Disease,Neurological Diseases
ICAM1,Autoimmune thyroiditis,Rare Diseases
ICAM1,IGA Glomerulonephritis,Rare Diseases
ICAM1,Familial lichen amyloidosis,Rare Diseases
ICAM1,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
ICAM1,Amyloidosis,Rare Diseases
ICAM1,Autoimmune,Rare Diseases
ICAM1,Epilepsy,Neurological Diseases
ICAM1,Polyglandular Type I Autoimmune Syndrome,Rare Diseases
ICAM1,Schizophrenia,Neurological Diseases
ICAM1,Autoimmune liver disease,Rare Diseases
ICAM1,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
ICAM1,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
ICAM1,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
IL1A,Autoimmune Diseases,Rare Diseases
IL1A,Glomerulonephritis,Rare Diseases
IL1A,Alzheimer's Disease,Neurological Diseases
IL1A,Acquired Immunodeficiency Syndrome,Rare Diseases
IL1A,Familial Alzheimer Disease (FAD),Neurological Diseases
IL1A,Idiopathic crescentic glomerulonephritis,Rare Diseases
IL1A,Autoimmune,Rare Diseases
IL1A,Parkinson Disease,Neurological Diseases
IL1A,Autoimmune thyroiditis,Rare Diseases
IL1A,IGA Glomerulonephritis,Rare Diseases
IL1A,Alzheimer Disease,Neurological Diseases
IL1A,Amyloidosis,Rare Diseases
IL1A,Autoimmune,Rare Diseases
IL1A,Epilepsy,Neurological Diseases
IL1A,AA amyloidosis,Rare Diseases
IL1A,Chronic Infantile Neurological,Neurological Diseases
IL1A,Nephrotic Syndrome,Rare Diseases
IL1A,Bipolar Disorder,Neurological Diseases
IL1A,Schizophrenia,Neurological Diseases
IL1A,Reactive systemic amyloidosis,Rare Diseases
IL1A,Autism Spectrum Disorders,Neurological Diseases
IL1B,Autoimmune Diseases,Rare Diseases
IL1B,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
IL1B,Glomerulonephritis,Rare Diseases
IL1B,Alzheimer's Disease,Neurological Diseases
IL1B,Acquired Immunodeficiency Syndrome,Rare Diseases
IL1B,Familial Alzheimer Disease (FAD),Neurological Diseases
IL1B,Idiopathic crescentic glomerulonephritis,Rare Diseases
IL1B,Autoimmune,Rare Diseases
IL1B,Parkinson Disease,Neurological Diseases
IL1B,Autoimmune thyroiditis,Rare Diseases
IL1B,IGA Glomerulonephritis,Rare Diseases
IL1B,Alzheimer Disease,Neurological Diseases
IL1B,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
IL1B,Amyloidosis,Rare Diseases
IL1B,Autoimmune,Rare Diseases
IL1B,Amyotrophic Lateral Sclerosis,Neurological Diseases
IL1B,Epilepsy,Neurological Diseases
IL1B,Alzheimer's Disease,Neurological Diseases
IL1B,Idiopathic Nephrotic Syndrome,Rare Diseases
IL1B,Alzheimer Disease,Neurological Diseases
IL1B,AA amyloidosis,Rare Diseases
IL1B,Chronic Infantile Neurological,Neurological Diseases
IL1B,Nephrotic Syndrome,Rare Diseases
IL1B,Bipolar Disorder,Neurological Diseases
IL1B,Glomerulonephritis,Rare Diseases
IL1B,Nephrotic Syndrome,Rare Diseases
IL1B,Schizophrenia,Neurological Diseases
IL1B,Membranous glomerulonephritis,Rare Diseases
IL1B,PARKINSON DISEASE 2,Neurological Diseases
IL1B,Mesangial proliferative glomerulonephritis,Rare Diseases
IL1B,Autoimmune arthritis,Rare Diseases
IL1B,Reactive systemic amyloidosis,Rare Diseases
IL1B,Autism Spectrum Disorders,Neurological Diseases
IL1B,Glomerulonephritis,Rare Diseases
IL23A,Autoimmune Diseases,Rare Diseases
IL23A,Parkinson Disease,Neurological Diseases
IL23A,Severe Combined Immunodeficiency,Rare Diseases
IL23A,Amyotrophic Lateral Sclerosis,Neurological Diseases
IL23A,Autoimmune thrombocytopenia,Rare Diseases
IRF1,Autoimmune Diseases,Rare Diseases
IRF1,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
IRF1,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
IRF1,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
LIF,Autoimmune Diseases,Rare Diseases
LIF,Alzheimer's Disease,Neurological Diseases
LIF,Parkinson Disease,Neurological Diseases
LIF,Amyotrophic Lateral Sclerosis,Neurological Diseases
LIF,Schizophrenia,Neurological Diseases
LIF,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
LTB,Autoimmune Diseases,Rare Diseases
LTB,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
LTB,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
MIR17HG,Autoimmune Diseases,Rare Diseases
MIR17HG,Severe Combined Immunodeficiency,Rare Diseases
NFKBIA,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
NFKBIA,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
NFKBIA,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
NFKBIA,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
NFKBIZ,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
NFKBIZ,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
NFKBIZ,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
NPTX1,Alzheimer's Disease,Neurological Diseases
NPTX1,Amyloidosis,Rare Diseases
NPTX1,Bipolar Disorder,Neurological Diseases
NPTX1,Schizophrenia,Neurological Diseases
NR4A3,Autoimmune Diseases,Rare Diseases
NR4A3,Alzheimer's Disease,Neurological Diseases
NR4A3,Autoimmune,Rare Diseases
NR4A3,Bipolar Disorder,Neurological Diseases
NR4A3,Schizophrenia,Neurological Diseases
NR4A3,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
NR4A3,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
PLAU,Alzheimer's Disease,Neurological Diseases
PLAU,Familial Alzheimer Disease (FAD),Neurological Diseases
PLAU,IGA Glomerulonephritis,Rare Diseases
PLAU,Alzheimer Disease,Neurological Diseases
PLAU,Amyloidosis,Rare Diseases
PLAU,Severe Combined Immunodeficiency,Rare Diseases
PLAU,Alzheimer's Disease,Neurological Diseases
PLAU,Alzheimer Disease,Neurological Diseases
PLAU,Glomerulonephritis,Rare Diseases
PLK2,Alzheimer's Disease,Neurological Diseases
PLK2,Parkinson Disease,Neurological Diseases
PLK2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
POTEF,Autoimmune Diseases,Rare Diseases
POTEF,Alzheimer's Disease,Neurological Diseases
POTEF,Parkinson Disease,Neurological Diseases
POTEF,Severe Combined Immunodeficiency,Rare Diseases
POTEF,Schizophrenia,Neurological Diseases
PTAFR,Glomerulonephritis,Rare Diseases
RCAN1,Alzheimer's Disease,Neurological Diseases
RCAN1,Amyloidosis,Rare Diseases
S100A3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
SDC4,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
SERPINA3,Alzheimer's Disease,Neurological Diseases
SERPINA3,Familial Alzheimer Disease (FAD),Neurological Diseases
SERPINA3,Parkinson Disease,Neurological Diseases
SERPINA3,Familial lichen amyloidosis,Rare Diseases
SERPINA3,Amyloidosis,Rare Diseases
SERPINA3,Alzheimer Disease,Neurological Diseases
SERPINA3,AMYOTROPHIC LATERAL SCLEROSIS 1,Neurological Diseases
SERPINA3,Amyotrophic Lateral Sclerosis,Neurological Diseases
SERPINA3,Schizophrenia,Neurological Diseases
SOD2,Autoimmune Diseases,Rare Diseases
SOD2,Alzheimer's Disease,Neurological Diseases
SOD2,Familial Alzheimer Disease (FAD),Neurological Diseases
SOD2,Parkinson Disease,Neurological Diseases
SOD2,Familial lichen amyloidosis,Rare Diseases
SOD2,Alzheimer Disease,Neurological Diseases
SOD2,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
SOD2,Amyloidosis,Rare Diseases
SOD2,Amyotrophic Lateral Sclerosis,Neurological Diseases
SOD2,Alzheimer's Disease,Neurological Diseases
SOD2,Idiopathic Nephrotic Syndrome,Rare Diseases
SOD2,Alzheimer Disease,Neurological Diseases
SOD2,AMYOTROPHIC LATERAL SCLEROSIS 1,Neurological Diseases
SOD2,Amyotrophic Lateral Sclerosis With Dementia,Neurological Diseases
SOD2,Nephrotic Syndrome,Rare Diseases
SOD2,Amyotrophic Lateral Sclerosis,Neurological Diseases
SOD2,Bipolar Disorder,Neurological Diseases
SOD2,Amyotrophic Lateral Sclerosis,Neurological Diseases
SOD2,Nephrotic Syndrome,Rare Diseases
SOD2,Schizophrenia,Neurological Diseases
SOD2,PARKINSON DISEASE 2,Neurological Diseases
SOD2,AMYOTROPHIC LATERAL SCLEROSIS 1,Neurological Diseases
SOD2,Autism Spectrum Disorders,Neurological Diseases
SOD2,Amyotrophic Lateral Sclerosis With Dementia,Neurological Diseases
SPG7,Alzheimer's Disease,Neurological Diseases
SPG7,IGA Glomerulonephritis,Rare Diseases
SPG7,Schizophrenia,Neurological Diseases
SPG7,Mesangial proliferative glomerulonephritis,Rare Diseases
STAT5A,Autoimmune Diseases,Rare Diseases
STAT5A,Severe Combined Immunodeficiency,Rare Diseases
STAT5A,Amyotrophic Lateral Sclerosis,Neurological Diseases
STAT5A,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
STX11,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
STX11,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
STX11,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
STX11,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
STX11,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
THBS1,Acquired Immunodeficiency Syndrome,Rare Diseases
THBS1,Parkinson Disease,Neurological Diseases
THBS1,Schizophrenia,Neurological Diseases
TICAM1,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
TNF,Autoimmune Diseases,Rare Diseases
TNF,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
TNF,Glomerulonephritis,Rare Diseases
TNF,Alzheimer's Disease,Neurological Diseases
TNF,Acquired Immunodeficiency Syndrome,Rare Diseases
TNF,Familial Alzheimer Disease (FAD),Neurological Diseases
TNF,Idiopathic crescentic glomerulonephritis,Rare Diseases
TNF,Autoimmune,Rare Diseases
TNF,Parkinson Disease,Neurological Diseases
TNF,Autoimmune thyroiditis,Rare Diseases
TNF,IGA Glomerulonephritis,Rare Diseases
TNF,Familial lichen amyloidosis,Rare Diseases
TNF,Alzheimer Disease,Neurological Diseases
TNF,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding),Rare Diseases
TNF,Amyloidosis,Rare Diseases
TNF,Paranoid Schizophrenia,Neurological Diseases
TNF,Autoimmune,Rare Diseases
TNF,Severe Combined Immunodeficiency,Rare Diseases
TNF,Amyotrophic Lateral Sclerosis,Neurological Diseases
TNF,Epilepsy,Neurological Diseases
TNF,Alzheimer's Disease,Neurological Diseases
TNF,Autoimmune thyroid disease,Rare Diseases
TNF,Idiopathic Nephrotic Syndrome,Rare Diseases
TNF,Alzheimer Disease,Neurological Diseases
TNF,AMYOTROPHIC LATERAL SCLEROSIS 1,Neurological Diseases
TNF,AA amyloidosis,Rare Diseases
TNF,Nephrotic Syndrome,Rare Diseases
TNF,Bipolar Disorder,Neurological Diseases
TNF,Amyotrophic Lateral Sclerosis,Neurological Diseases
TNF,Polyglandular Type I Autoimmune Syndrome,Rare Diseases
TNF,Nephrotic Syndrome,Rare Diseases
TNF,Schizophrenia,Neurological Diseases
TNF,Membranous glomerulonephritis,Rare Diseases
TNF,Steroid-sensitive nephrotic syndrome,Rare Diseases
TNF,Autoimmune arthritis,Rare Diseases
TNF,Autoimmune liver disease,Rare Diseases
TNF,Chronic glomerulonephritis,Rare Diseases
TNF,Autoimmune thrombocytopenia,Rare Diseases
TNF,Autism Spectrum Disorders,Neurological Diseases
TNF,Glomerulonephritis,Rare Diseases
TNF,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
TNF,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
TNF,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
TNFAIP2,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
TNFAIP3,Autoimmune Diseases,Rare Diseases
TNFAIP3,Autoimmune,Rare Diseases
TNFAIP3,Autoimmune thyroid disease,Rare Diseases
TNFAIP3,Autoimmune thrombocytopenia,Rare Diseases
TNFAIP3,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
TNFAIP3,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
TNFAIP3,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
TNFAIP3,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
TNFAIP3,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
TNFSF14,Autoimmune Diseases,Rare Diseases
TNFSF14,Amyotrophic Lateral Sclerosis,Neurological Diseases
TNFSF14,Autoimmune arthritis,Rare Diseases
ADM,Autoimmune Diseases,Rare Diseases
ADM,Glomerulonephritis,Rare Diseases
ADM,Alzheimer's Disease,Neurological Diseases
ADM,IGA Glomerulonephritis,Rare Diseases
ADM,Bipolar Disorder,Neurological Diseases
ADM,Schizophrenia,Neurological Diseases
ADM,Glomerulonephritis,Rare Diseases
BDKRB2,Alzheimer's Disease,Neurological Diseases
BDKRB2,Epilepsy,Neurological Diseases
BDKRB2,Bipolar Disorder,Neurological Diseases
BIRC3,Autoimmune Diseases,Rare Diseases
BIRC3,Alzheimer's Disease,Neurological Diseases
BIRC3,STAT3-related early-onset multisystem autoimmune disease ORPHA:438159,Rare Diseases
BIRC3,Immunodeficiency by defective expression of MHC class I ORPHA:34592,Rare Diseases
CAMK1G,Amyotrophic Lateral Sclerosis,Neurological Diseases
CAMK1G,Amyotrophic Lateral Sclerosis With Dementia,Neurological Diseases
CAMK1G,Amyotrophic Lateral Sclerosis,Neurological Diseases
CAMK1G,Amyotrophic Lateral Sclerosis With Dementia,Neurological Diseases
CCL2,Autoimmune Diseases,Rare Diseases
CCL2,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL2,Alzheimer's Disease,Neurological Diseases
CCL2,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL2,Familial Alzheimer Disease (FAD),Neurological Diseases
CCL2,Idiopathic crescentic glomerulonephritis,Rare Diseases
CCL2,Autoimmune,Rare Diseases
CCL2,Parkinson Disease,Neurological Diseases
CCL2,Autoimmune thyroiditis,Rare Diseases
CCL2,IGA Glomerulonephritis,Rare Diseases
CCL2,Familial lichen amyloidosis,Rare Diseases
CCL2,Amyloidosis,Rare Diseases
CCL2,Paranoid Schizophrenia,Neurological Diseases
CCL2,Amyotrophic Lateral Sclerosis,Neurological Diseases
CCL2,Nephrotic Syndrome,Rare Diseases
CCL2,Bipolar Disorder,Neurological Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL2,Schizophrenia,Neurological Diseases
CCL2,Membranous glomerulonephritis,Rare Diseases
CCL2,Chronic glomerulonephritis,Rare Diseases
CCL2,Autism Spectrum Disorders,Neurological Diseases
CCL2,Glomerulonephritis,Rare Diseases
CCL4,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL4,Glomerulonephritis,Rare Diseases
CCL4,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL4,Epilepsy,Neurological Diseases
CCL4,Glomerulonephritis,Rare Diseases
CCL4,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CCL4,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CCL4,Hypohidrotic ectodermal dysplasia with immunodeficiency ORPHA:98813,Rare Diseases
CCL5,Autoimmune Diseases,Rare Diseases
CCL5,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CCL5,Glomerulonephritis,Rare Diseases
CCL5,Alzheimer's Disease,Neurological Diseases
CCL5,Acquired Immunodeficiency Syndrome,Rare Diseases
CCL5,Autoimmune,Rare Diseases
CCL5,Parkinson Disease,Neurological Diseases
CCL5,IGA Glomerulonephritis,Rare Diseases
CCL5,Glomerulonephritis,Rare Diseases
CD83,Autoimmune Diseases,Rare Diseases
CD83,Alzheimer's Disease,Neurological Diseases
CD83,Chronic Infantile Neurological,Neurological Diseases
CD83,Charcot-Marie-Tooth disease type 1D ORPHA:101084,Rare Diseases
CD83,Charcot-Marie-Tooth disease type 4E ORPHA:99951,Rare Diseases
CFB,Autoimmune Diseases,Rare Diseases
CFB,Alzheimer's Disease,Neurological Diseases
CFB,Parkinson Disease,Neurological Diseases
CFB,Amyloidosis,Rare Diseases
CFB,Autoimmune thyroid disease,Rare Diseases
CFB,Glomerulonephritis,Rare Diseases
CFB,Glomerulonephritis,Rare Diseases
CSF1,Anti-Basement Membrane Glomerulonephritis,Rare Diseases
CSF1,Alzheimer's Disease,Neurological Diseases
CSF2,Autoimmune Diseases,Rare Diseases
CSF2,Alzheimer's Disease,Neurological Diseases
