Gene,Disease
CYP1A1,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Anxiety"
CYP1B1,"Obesity, Diabetes Mellitus"
DKK1,Diabetes Mellitus
DNAJB1,Obesity
DUSP2,"Stress, Post-Traumatic Stress Disorder"
ETS1,"Inflammatory Bowel Diseases, Diabetes Mellitus, Diabetes, Celiac Disease, Inflammatory Bowel Disease"
FOS,"Infection caused by Helicobacter pylori, Obesity, Diabetes Mellitus, Non-alcoholic Fatty Liver Disease, Anxiety neurosis (finding), Anxiety Disorders"
FSCN2,Obesity
HAP1,Respiratory Distress Syndrome
HLA-L,Diabetes Mellitus
HSPA1A,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Prediabetes syndrome"
HSPA1B,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Anxiety Disorders, Prediabetes syndrome"
ICAM1,"Infection caused by Helicobacter pylori, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Celiac Disease, Post-Traumatic Stress Disorder, Inflammatory Bowel Disease, Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977"
ID1,"Diabetes Mellitus, Streptozotocin Diabetes, Alloxan Diabetes"
IL1A,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Stress, Celiac Disease, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, Non-alcoholic Fatty Liver Disease, Anxiety neurosis (finding), Anxiety state"
IL1B,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Stress, Celiac Disease, Post-Traumatic Stress Disorder, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, Necrotizing Enterocolitis, Gestational Diabetes, Non-alcoholic Fatty Liver Disease, Anxiety Disorders, Anxiety"
IL23A,"Infection caused by Helicobacter pylori, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Celiac Disease"
IRF1,"Inflammatory Bowel Diseases, Celiac Disease, Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977"
LIF,"Diabetes Mellitus, Diabetes, Non-alcoholic Fatty Liver Disease"
LTB,Inflammatory Bowel Diseases
MAFB,Diabetes Mellitus
MIR17HG,Diabetes Mellitus
NFKBIA,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Diabetes Mellitus, Stress, Irritable Bowel Syndrome"
NFKBIZ,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977
NR4A3,"Obesity, Diabetes Mellitus, Diabetes"
OXTR,"Obesity, Stress, Post-Traumatic Stress Disorder, psychosocial stressor, Social Anxiety, Anxiety Disorders, Anxiety"
PLAU,"Inflammatory Bowel Diseases, Diabetes Mellitus, Inflammatory Bowel Disease"
PLK2,Irritable Bowel Syndrome
POTEF,"Infection caused by Helicobacter pylori, Obesity, Diabetes Mellitus, Diabetes, Post-Traumatic Stress Disorder"
PTAFR,Necrotizing Enterocolitis
RCAN1,"Anxiety Disorders, Anxiety"
RGS2,"Obesity, Diabetes Mellitus, Social Anxiety, Anxiety Disorders, Anxiety"
SERPINA3,"Diabetes Mellitus, Diabetes"
SOD2,"Respiratory Distress Syndrome, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Necrotizing Enterocolitis, Gestational Diabetes, Non-alcoholic Fatty Liver Disease"
SPG7,Obesity
STAT5A,"Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
STX11,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977
THBS1,"Infection caused by Helicobacter pylori, Obesity, Diabetes Mellitus, Diabetes"
TICAM1,Celiac Disease
TNF,"Infection caused by Helicobacter pylori, Respiratory Distress Syndrome, Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes, Streptozotocin Diabetes, Alloxan Diabetes, Stress, Celiac Disease, Post-Traumatic Stress Disorder, Necrotizing enterocolitis in fetus OR newborn, Irritable Bowel Syndrome, Necrotizing Enterocolitis, Gestational Diabetes, Non-alcoholic Fatty Liver Disease, Anxiety neurosis (finding), Anxiety state, Anxiety Disorders, Anxiety, Prediabetes syndrome, Central Diabetes Insipidus, Inflammatory Bowel Disease"
TNFAIP3,"Diabetes Mellitus, Diabetes, Celiac Disease, Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome ORPHA:529977"
TNFSF14,"Inflammatory Bowel Diseases, Obesity, Diabetes Mellitus, Diabetes"
UNC13A,"Diabetes Mellitus, Diabetes, Anxiety"
