"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"8764",101,90,104,105,103,111
"100996583",3,4,2,4,14,16
"127281",323,290,331,343,314,296
"79258",51,65,72,65,59,63
"105378597",0,6,2,2,3,3
"100287898",4,5,4,6,5,17
"105378603",0,0,0,0,0,0
"105378602",0,0,0,0,0,0
"105378601",0,0,0,0,0,0
"112268220",0,0,0,0,0,0
"107985732",0,0,0,0,0,0
"105378600",0,0,0,0,0,0
"105378598",0,0,0,0,0,0
"107984904",0,0,0,0,0,0
"105378599",0,0,0,0,0,0
"140625",0,0,0,0,0,0
"440556",2,10,9,11,3,10
"63976",106,120,124,134,175,187
"100422968",0,0,0,0,0,0
"105378606",6,3,4,0,9,10
"107984909",13,7,14,18,13,14
"105378605",0,0,0,4,0,0
"105378604",29,25,30,71,62,130
"27237",1066,1129,1299,1080,1097,1229
"1953",296,259,340,279,316,366
"105378608",0,0,3,0,1,0
"693135",0,0,0,0,0,0
"105378607",0,0,4,1,0,0
"127262",1470,1319,1508,1043,874,1065
"49856",374,324,376,339,327,389
"7161",122,134,160,145,111,217
"105378610",1,2,5,0,5,3
"105378609",0,0,0,0,0,0
"57212",4,6,3,6,1,8
"148870",7,13,9,6,8,16
"388588",46,50,59,60,45,64
"57470",574,677,799,477,579,659
"9731",360,374,472,377,435,570
"1677",39,49,60,59,63,82
"107984910",7,3,5,14,12,10
"339448",445,541,560,416,494,466
"100133612",31,34,38,24,31,36
"728716",0,0,0,0,0,0
"105376672",0,0,0,1,1,2
"105376673",3,0,1,0,1,0
"284661",0,0,0,0,0,0
"105376674",0,0,0,0,0,0
"105376679",0,0,0,1,0,3
"107985376",0,0,0,0,0,0
"55966",0,1,1,1,3,0
"105376680",0,0,0,0,0,0
"102724429",0,0,0,0,0,0
"105376681",0,0,0,0,0,0
"105376682",0,0,0,0,0,0
"107984911",0,0,0,0,0,0
"105376686",0,0,1,0,0,0
"100616421",0,0,0,0,0,0
"261734",216,255,309,221,188,317
"8514",407,474,532,433,439,568
"26038",18,13,15,19,21,30
"105376687",1,0,0,0,0,0
"6146",22634,19588,20490,18464,18841,16568
"107985733",31,103,88,57,37,72
"102724450",2,5,9,11,5,10
"388591",181,182,242,162,105,317
"23463",934,925,1173,996,899,1154
"148645",42,38,28,36,36,53
"390992",2,2,0,0,1,2
"387509",106,89,111,59,53,72
"11332",2079,2087,2354,1735,1812,2002
"54626",54,46,42,35,40,52
"83715",555,533,539,553,477,596
"100422975",0,0,0,0,0,0
"8718",265,313,303,275,282,369
"57449",338,430,409,396,410,523
"79707",350,353,469,318,351,485
"80835",2,1,2,5,8,9
"107984912",0,0,2,0,1,0
"3104",193,191,208,145,198,183
"9903",440,478,670,401,427,504
"107984913",6,10,11,4,3,10
"148479",755,738,829,576,534,548
"90326",399,426,531,309,343,389
"55735",548,613,752,549,469,796
"100505887",0,0,0,0,2,0
"110841581",13,11,11,14,18,20
"23261",1081,899,864,809,979,853
"105376692",1,0,2,1,0,1
"102725193",0,0,0,0,0,0
"101928836",0,0,0,0,0,0
"105376691",0,1,0,0,0,0
"105376689",206,153,148,182,177,279
"9341",3170,2812,3264,2625,2681,2814
"8863",1776,1827,1995,1807,2026,2427
"10911",0,0,7,4,18,14
"3604",6,17,43,85,47,126
"11315",2428,2524,2898,2011,2070,2455
"54206",1716,1495,1890,1502,1873,2095
"107984915",1,0,3,2,1,0
"102724539",2,0,1,0,0,0
"105376695",1,0,1,0,10,0
"50651",5,1,4,5,5,5
"473",2193,2193,2625,1878,2271,2801
"102724552",2,5,7,6,3,6
"106632271",0,0,4,2,1,2
"2023",50178,46023,48090,43714,46703,49012
"102465436",53,7,4,31,6,85
"100505975",11,2,15,8,6,9
"112268261",7,2,4,3,4,2
"765",0,1,0,0,3,0
"155184",26,21,29,30,19,32
"6518",1832,1287,1396,1718,1674,1532
"80045",2043,1925,1802,2284,2380,2506
"106614088",119,132,120,129,186,211
"407040",1,1,1,0,0,1
"102724571",17,12,16,19,17,11
"9563",935,1016,972,1012,1011,1441
"80176",692,558,665,503,553,739
"100506022",3,0,4,1,5,6
"84275",645,573,733,471,515,535
"199953",257,275,283,231,246,294
"107985734",25,17,20,16,19,20
"105376712",0,0,0,0,0,0
"5293",137,104,122,106,120,125
"644997",0,2,0,0,0,0
"101929074",37,35,50,36,19,19
"22883",2368,2456,2826,2266,2585,3105
"56998",341,325,373,291,305,362
"105376717",23,22,21,12,13,16
"84328",984,885,916,787,952,975
"64802",131,144,128,169,141,162
"113391335",2,1,2,1,2,1
"100847055",0,1,0,0,0,0
"116362",34,37,52,22,36,38
"10277",1238,1132,1392,1091,1217,1507
"23095",1539,1633,2055,1502,1767,2381
"105376725",30,30,38,17,62,23
"5226",3632,3408,4316,2935,2984,3772
"100526739",112,92,99,82,57,96
"378708",114,97,95,78,56,91
"1325",16,16,17,22,13,23
"1676",2310,2471,2660,2027,1845,2735
"5195",291,345,379,245,304,304
"54897",303,267,296,328,296,379
"105376733",2,0,0,0,0,0
"105376735",1,1,0,0,0,1
"148345",1,0,1,1,2,4
"23435",4151,3598,4523,3571,3865,4395
"10747",30,50,60,71,108,125
"6723",434,533,657,314,344,410
"5394",1707,1794,2232,1478,1560,2049
"105376736",17,27,32,29,31,44
"2475",682,641,835,659,575,816
"100873935",7,13,6,11,8,11
"10218",1,2,0,0,2,4
"29914",439,449,643,311,299,403
"105376737",0,1,0,0,0,0
"105376739",0,0,0,1,0,0
"105376740",0,4,0,3,3,1
"57540",6,1,13,6,2,4
"112268221",0,0,1,0,0,0
"101929181",1,0,0,0,0,1
"26232",3867,3749,4064,3272,3327,3311
"93611",946,944,1051,841,1008,966
"26270",516,465,487,458,385,506
"10459",543,517,511,423,429,527
"374946",3,1,6,1,6,1
"57085",339,308,386,243,229,288
"284498",134,129,138,126,116,214
"102724659",2,1,4,4,7,15
"4524",721,709,793,593,530,853
"1185",853,756,920,748,840,1200
"100379251",132,136,158,118,141,220
"4878",26,42,52,37,42,69
"4879",27,63,109,59,60,69
"26829",0,6,1,1,0,3
"90231",2333,2112,2293,1956,2016,2306
"5351",2882,2655,2966,2519,2693,2998
"9927",2854,2834,3262,2800,2975,3448
"60672",559,634,708,453,597,556
"102466982",3,2,3,7,2,5
"943",1,0,3,5,2,4
"102465836",5,7,7,3,4,4
"7133",501,490,535,495,560,622
"100616438",0,0,2,0,0,0
"107984917",2,0,1,1,0,1
"55187",589,522,609,522,567,757
"677885",8,2,7,6,8,10
"105376744",9,7,3,7,5,3
"9249",1595,1433,1797,1510,1253,1534
"102466722",5,7,3,8,14,5
"343066",0,0,0,0,1,0
"126767",0,0,0,0,2,0
"93190",1,0,0,0,2,1
"390999",0,0,1,0,0,0
"65121",2,0,2,0,1,0
"105376745",0,0,0,0,0,0
"440560",0,0,0,1,0,0
"343069",0,0,3,0,0,0
"65122",0,0,0,0,0,1
"400735",2,7,0,2,4,3
"343071",57,61,42,46,40,70
"441871",7,11,12,5,11,9
"440561",0,0,0,0,0,0
"101929983",0,0,1,0,0,0
"649330",0,2,0,0,0,0
"441873",0,0,0,0,0,0
"649324",0,0,0,0,0,0
"440563",0,0,0,0,0,1
"645354",0,0,0,0,0,0
"645359",0,0,0,1,1,0
"101060301",0,0,0,0,0,0
"343070",0,0,0,0,0,0
"400736",0,0,0,0,0,0
"391003",0,0,0,0,1,0
"343068",0,0,0,0,1,0
"391002",6,12,13,7,6,7
"645382",12,24,15,13,9,16
"653619",0,0,0,2,0,0
"729528",0,0,0,0,3,0
"645414",0,0,0,0,0,0
"391004",0,2,5,0,2,0
"645425",0,0,0,1,4,0
"126755",0,0,0,0,0,0
"102724856",0,0,1,2,1,0
"107984918",0,0,0,0,0,0
"10630",0,0,0,0,0,0
"107984919",0,0,0,0,0,0
"105378612",2,0,0,0,0,4
"105376756",0,0,0,0,0,0
"7799",617,596,749,621,785,857
"23254",92,91,100,104,87,118
"107985467",0,0,0,0,0,0
"107985468",0,0,0,0,0,0
"105376762",0,0,1,0,0,2
"105376759",0,1,3,0,0,1
"107985469",1,0,0,0,0,0
"200197",54,65,54,80,65,95
"55092",495,508,664,477,563,699
"727684",7,8,10,6,11,9
"114827",0,2,5,3,2,2
"101927417",1,0,1,1,0,1
"101927441",4,7,10,4,6,4
"79180",676,693,788,663,552,838
"11330",0,0,2,4,1,3
"63036",0,3,6,2,4,0
"105376767",2,1,2,3,1,0
"51032",5,4,13,3,8,6
"842",235,191,258,190,214,236
"23341",598,507,586,511,471,653
"107397391",0,0,0,0,0,0
"79814",1237,1100,1333,924,867,1152
"84301",924,969,1147,864,935,1072
"6248",81,88,109,92,126,144
"23207",692,880,1036,597,778,776
"284723",15,19,20,13,17,37
"110806303",3,0,6,0,1,6
"388595",298,224,257,232,208,249
"54751",306,324,377,274,294,385
"440567",186,141,177,168,136,164
"729614",165,190,175,160,153,157
"23013",1632,1669,2044,1657,1560,2597
"7709",421,471,534,358,472,489
"149563",0,0,1,0,1,1
"27129",0,0,0,0,3,0
"1187",2,1,0,1,1,0
"1188",2,0,0,0,1,1
"348487",123,96,77,78,96,75
"1969",6094,5086,5358,6889,6714,8464
"101927479",186,233,189,186,282,280
"128272",145,174,157,131,135,175
"101927546",4,5,10,3,3,7
"79363",12,10,4,11,4,3
"54455",385,394,495,330,674,435
"26099",864,890,1017,791,886,1049
"374955",595,619,731,520,579,680
"55707",569,587,803,617,584,671
"107984921",19,23,23,18,26,32
"114819",24,40,45,39,58,101
"26871",4,2,4,1,8,2
"107985757",0,0,2,0,0,0
"100132147",0,0,0,0,0,0
"107985758",0,0,0,0,0,0
"7195",0,0,0,1,0,0
"55672",280,260,285,298,255,365
"105376794",358,480,522,455,573,797
"84809",279,362,328,252,326,441
"11209",1698,1893,1911,2007,2278,2426
"107985736",12,12,8,8,12,16
"26869",3,2,4,1,1,1
"107985759",0,0,0,0,0,0
"284729",8,3,6,6,4,13
"100189045",0,0,0,0,0,0
"6060",6,4,7,3,5,4
"11223",191,177,206,217,223,250
"100500876",0,0,0,0,0,0
"100189298",0,0,0,0,0,0
"112267871",0,0,2,0,0,0
"7193",0,0,0,0,0,0
"100189183",0,0,0,0,1,0
"105376805",109,85,91,103,71,77
"791226",2,0,0,0,0,1
"26870",6,5,6,3,5,2
"9696",177,193,196,158,157,182
"4237",141,101,103,127,96,125
"105376806",34,34,33,24,15,18
"23400",494,496,681,383,457,509
"6390",2168,1916,1911,1550,1587,1753
"11240",106,99,101,142,104,125
"105376808",0,0,0,0,0,0
"400743",0,0,0,0,2,0
"29943",10,13,14,8,11,19
"51702",2,2,0,1,6,2
"100616188",0,0,0,0,0,0
"23569",0,0,1,0,0,0
"353238",1,1,6,1,0,0
"55920",1140,1304,1697,1042,1153,1629
"55160",1046,1053,1117,912,890,1320
"107984028",0,0,0,0,1,1
"81569",1525,1447,1800,1168,877,1453
"105376809",0,0,0,0,1,0
"105376812",0,0,0,0,0,0
"101927876",0,0,0,0,0,0
"84966",0,0,0,0,0,0
"105376814",0,0,0,0,0,0
"127707",34,62,54,51,45,71
"5081",0,0,0,0,0,0
"80834",0,3,0,0,1,0
"8659",206,142,182,144,192,193
"100616120",0,0,0,0,0,0
"100302276",0,0,0,0,0,1
"126917",350,395,494,419,462,595
"105376815",0,1,1,2,10,0
"23352",2738,3178,4228,2732,3481,4202
"101927895",22,22,32,25,15,29
"23065",679,713,749,605,647,808
"51154",660,656,853,603,493,634
"246181",43,32,28,25,20,41
"22977",141,104,157,119,114,133
"100506730",69,80,93,72,124,109
"8574",749,609,683,565,533,614
"54896",446,448,576,321,324,412
"832",2343,2229,2747,1911,2128,2381
"105376819",0,0,0,3,2,0
"105376818",0,0,0,1,0,0
"105376817",0,0,0,1,1,0
"105378614",0,0,0,0,4,1
"440574",620,573,626,495,417,570
"100532736",538,511,623,485,423,516
"644068",247,244,237,275,305,304
"4681",353,305,381,301,290,313
"3362",5,7,4,10,15,13
"255104",354,393,406,352,350,404
"54546",131,130,184,105,159,110
"105376823",17,9,10,6,13,4
"23252",533,599,655,444,625,588
"30814",0,0,1,0,1,1
"5320",483,527,496,401,500,514
"5322",0,0,0,0,0,0
"26279",0,0,0,0,3,0
"64600",5,1,4,3,1,1
"391013",0,0,0,0,1,0
"127733",0,1,0,0,0,1
"101928017",0,0,0,0,0,0
"105376825",0,0,2,0,0,0
"105376826",0,0,1,0,4,0
"105376827",0,0,0,0,0,0
"105376828",0,0,0,0,0,0
"127731",1,0,1,0,0,0
"339505",2,2,2,2,4,4
"55450",3926,3742,4324,2700,3419,3243
"79594",254,230,319,225,260,226
"163933",5,3,9,5,4,2
"978",483,316,478,328,333,352
"65018",331,307,421,312,241,326
"102464833",15,20,25,22,17,17
"100861548",700,647,824,555,531,648
"1650",5348,5137,6241,4405,4331,5640
"57576",90,76,78,53,62,76
"400745",39,53,40,44,53,64
"112268222",880,907,1024,618,821,942
"50809",2760,2680,2948,2215,2474,3397
"8672",2006,1642,1686,1717,1467,2097
"105376830",31,22,18,20,24,44
"105376829",5,6,20,11,8,16
"100302155",2,1,0,0,0,1
"1889",2344,2376,2838,2321,2307,3204
"100506801",13,9,12,15,13,20
"105376832",0,0,0,0,0,0
"84224",134,144,180,148,169,170
"249",3,8,6,2,11,8
"105376834",1,0,0,0,0,0
"5909",444,410,581,459,593,594
"84196",1339,1335,1259,1256,1552,1728
"401944",437,508,556,358,526,450
"3339",1774,2018,2435,2079,2362,2813
"23436",0,1,1,0,0,2
"10136",0,2,1,1,2,2
"101928043",5,2,8,5,2,6
"29092",231,170,153,154,113,150
"112268223",6,5,2,4,6,3
"998",7278,6140,7417,5309,5135,6090
"54361",12,15,10,6,11,7
"105376845",3,7,5,1,6,6
"105376850",6,6,0,5,2,4
"107985377",0,0,3,0,0,0
"100616433",0,0,0,0,0,0
"105376856",0,1,0,0,0,1
"9923",488,609,653,497,508,729
"2046",11,11,10,6,12,9
"102466615",0,0,0,0,0,0
"712",0,3,1,0,0,4
"714",0,0,0,1,3,0
"713",0,0,0,0,0,0
"2048",478,497,583,492,387,686
"100616391",0,0,2,0,0,1
"100422914",9,9,10,9,8,7
"646262",0,0,2,0,2,1
"729059",1,1,3,3,0,3
"23028",1690,1677,1844,1409,1644,2135
"100422866",0,0,1,0,0,0
"7798",925,908,1036,832,941,985
"3352",74,65,89,56,53,45
"100996511",27,49,48,60,96,125
"10236",2993,3102,3337,2567,2719,3252
"80818",158,129,177,151,181,180
"148898",31,77,63,66,67,43
"6920",448,455,501,540,440,647
"55616",227,255,257,221,235,305
"1870",214,191,194,161,138,162
"101928163",4,1,4,2,2,4
"105376859",6,7,0,12,4,4
"3399",269,369,301,224,181,241
"107984928",3,0,4,2,4,0
"259283",0,2,1,0,0,3
"6135",38976,33319,35615,29553,32197,25731
"6924",483,556,667,334,631,443
"100506963",73,59,75,47,76,71
"57095",761,692,868,547,633,652
"105376860",68,69,84,52,76,62
"11313",813,832,917,608,785,781
"2582",1245,1166,1338,1071,991,1132
"3155",802,703,809,686,670,775
"105376861",9,2,6,2,2,4
"2517",944,754,851,689,709,748
"1269",3,2,4,5,7,7
"107984929",0,3,1,0,1,2
"100616492",2,0,0,0,2,0
"55629",5715,4262,4565,4183,3940,4305
"10772",3743,3230,3579,2905,3525,3807
"105378615",0,0,0,0,0,0
"105376863",144,118,99,89,79,123
"107984931",8,6,5,3,4,5
"127294",40,26,29,31,22,37
"107985737",0,0,0,0,1,0
"105376864",1,3,0,0,0,2
"58985",781,679,804,664,682,889
"163702",644,636,701,701,692,971
"284632",0,0,2,0,1,1
"105376871",3,0,2,2,2,2
"57822",7,7,10,10,6,14
"90529",168,132,159,152,144,190
"57185",371,312,387,327,352,474
"100750325",11,6,6,8,9,11
"11123",548,446,671,612,629,718
"100506985",28,26,37,34,43,43
"400746",109,90,101,97,95,113
"10250",3069,2972,3680,2312,3047,3282
"25932",2195,2012,2611,1993,1699,2694
"105376876",1,1,0,0,3,5
"864",131,172,138,109,127,114
"102465437",0,1,0,0,0,0
"107984932",2,3,1,1,2,4
"105376878",1,2,0,4,1,4
"100616365",0,0,0,0,0,0
"105376879",0,0,1,0,0,0
"25949",1583,1310,1713,1200,1444,1105
"57035",2434,2020,2351,1580,1604,1496
"105376882",0,0,0,0,0,0
"6007",4,1,0,1,1,1
"23585",784,813,960,696,751,823
"6006",501,457,607,390,441,460
"55219",768,640,897,660,670,690
"26119",226,258,320,210,222,257
"57134",30,29,32,25,20,24
"57190",1072,876,1034,939,877,1144
"56181",306,278,299,303,280,336
"646471",94,78,71,80,57,107
"79000",179,194,204,118,148,170
"164091",675,628,748,533,717,774
"3925",2133,1965,2242,1457,1378,1824
"100500808",75,63,62,49,49,59
"105376885",1,0,0,0,0,0
"5051",394,269,304,359,250,352
"101928216",3,1,8,2,4,3
"2134",6,4,3,8,7,5
"7780",60,49,56,63,36,36
"105376910",7,12,10,8,12,14
"84676",4,0,6,4,4,3
"149420",112,121,84,88,132,100
"105376886",0,0,2,0,1,2
"79927",3,2,0,1,0,2
"110806296",0,0,0,0,1,0
"51042",385,425,413,279,282,315
"10256",538,686,748,679,745,902
"378807",0,1,5,6,7,2
"101928303",0,5,1,0,0,6
"64793",454,499,538,439,488,533
"83442",1467,1239,1520,1021,1234,1073
"91544",230,238,252,193,148,282
"1043",5,7,13,7,13,12
"55057",2175,1885,2191,2146,2114,2698
"257101",0,4,0,0,0,0
"79727",1,1,2,0,3,3
"79947",299,296,396,253,277,407
"101928324",2,1,6,5,6,7
"3151",3130,3267,3945,3036,2934,3594
"6195",1024,946,1083,942,992,1126
"100302190",1,1,1,2,1,0
"105376888",13,22,22,15,25,34
"101928728",12,16,20,21,21,37
"8289",1733,1618,1888,1579,1542,2330
"55650",275,277,266,217,248,292
"84243",414,433,555,356,377,415
"2810",1205,1152,1277,781,916,714
"54707",395,407,564,303,415,450
"63906",215,252,321,147,189,208
"10726",1052,1274,1623,857,772,1154
"8431",28,40,28,22,12,25
"126695",278,303,273,230,287,251
"388610",822,725,915,545,507,629
"115572",348,348,417,257,332,267
"101928391",1,1,0,3,3,4
"6548",981,855,1275,754,789,986
"102723760",1,0,2,0,0,0
"105376890",0,0,0,1,9,1
"23038",431,385,483,400,437,494
"84065",288,335,413,235,358,336
"644961",12,12,12,12,27,26
"84958",139,134,204,179,152,207
"9064",347,364,347,320,338,294
"8547",0,1,0,1,0,2
"388611",0,0,0,0,0,0
"2827",77,60,63,71,93,80
"10163",3307,3437,4490,2562,3886,3517
"105376892",26,24,12,14,20,22
"27245",342,403,418,380,599,511
"2268",8,4,6,8,8,7
"111216282",0,0,0,0,0,0
"2537",62,204,212,91,97,159
"199870",114,165,172,96,144,136
"23673",715,676,706,665,616,761
"5511",517,536,559,426,455,479
"677774",0,0,1,2,0,0
"9473",2,8,3,0,0,1
"6118",542,520,597,472,440,544
"27293",160,193,213,134,104,192
"55113",178,161,147,108,124,165
"2140",213,221,256,176,219,278
"5724",27,44,41,70,73,80
"22826",1086,936,1032,758,742,872
"93974",1259,1141,1224,1104,1024,1138
"83667",850,860,1220,534,688,709
"54797",113,140,156,88,128,97
"65979",592,600,775,438,451,742
"1104",810,924,1004,768,597,961
"8420",836,896,1002,688,1171,937
"6080",5,21,7,6,9,11
"26768",19,21,24,10,17,10
"54952",181,187,238,149,164,172
"85028",525,550,763,379,481,425
"692212",11,15,27,11,22,10
"677838",22,45,49,24,18,26
"677825",26,27,19,16,18,7
"692073",6,20,17,11,7,13
"115273",44,20,40,24,56,40
"6883",225,195,216,207,187,185
"105378616",1,1,2,0,2,4
"26824",0,0,0,0,0,1
"10691",115,99,133,101,117,154
"51441",823,777,1025,640,744,747
"4985",5,4,9,3,6,6
"2035",460,482,606,511,496,736
"399474",49,68,82,54,74,69
"6429",1541,1385,1503,968,1324,1406
"51102",82,104,100,96,102,118
"10076",826,830,1041,731,753,981
"101928460",0,1,0,0,0,1
"107984933",0,0,0,0,0,0
"107984934",0,0,0,0,0,0
"101929406",0,0,0,0,0,0
"105378617",0,0,0,0,0,0
"105378618",0,0,0,0,0,0
"4146",15,12,14,19,18,17
"100129196",50,47,54,56,63,68
"7805",144,119,140,130,168,124
"100616164",2,0,0,0,0,0
"105378620",1,0,2,4,3,2
"105378621",0,0,0,0,0,0
"105378622",0,0,0,0,1,0
"400748",0,0,0,1,0,0
"9672",22,50,36,22,25,26
"9698",1509,1315,1585,1035,1335,1414
"692234",4,6,12,3,6,10
"692235",3,5,5,2,6,11
"692200",0,2,1,0,2,2
"107984935",1,2,2,0,4,1
"79570",5,12,7,6,5,9
"9410",446,392,391,301,365,371
"51538",469,404,454,371,375,368
"2170",458,525,515,383,537,402
"105378623",1,1,6,2,0,1
"107985470",3,4,0,0,0,2
"347735",1088,1118,1325,916,1281,1121
"105378625",1,7,15,9,10,11
"105379772",1,0,2,0,1,0
"149086",3,1,4,8,3,9
"284551",7,0,2,3,1,7
"105378626",284,246,193,241,280,253
"64129",2434,2170,2573,1759,2399,2054
"3061",34,19,44,21,21,27
"553115",434,324,458,310,355,377
"107985471",7,11,7,9,9,6
"105378628",0,0,1,2,1,5
"1307",41,39,51,40,36,39
"101929444",0,2,0,0,0,0
"576",56,61,70,95,100,70
"100423028",0,0,0,0,0,0
"90853",44,36,42,48,47,59
"8073",3407,3198,3676,2546,3104,3341
"10657",3979,3557,4209,3062,3478,4149
"55116",133,125,168,81,112,134
"100847018",1,1,0,0,0,0
"23633",941,876,1041,735,921,1018
"200081",517,542,703,444,510,617
"79140",43,69,71,42,65,64
"56063",59,91,92,53,58,59
"55721",16,29,32,14,31,26
"149069",14,9,15,5,5,7
"8668",1616,1493,1778,1195,1207,1461
"339483",45,38,56,39,45,51
"84734",4,9,2,6,6,20
"3932",4,1,3,2,0,3
"3065",1641,1628,2056,1410,1642,1769
"65108",1607,1592,1848,1083,1248,1416
"105378629",3,6,0,2,3,2
"81629",77,69,81,110,119,136
"100128071",36,50,50,47,79,67
"55108",1025,904,1182,1018,1049,1222
"728116",1,4,3,2,5,0
"653121",214,254,201,171,147,177
"102723870",0,5,6,0,4,2
"339487",280,297,321,257,267,281
"5928",1138,1205,1323,1072,1029,1370
"81493",352,354,430,325,337,415
"57648",2234,2211,2607,1773,2302,2372
"8565",1076,1189,1700,899,978,1315
"64766",185,158,254,173,213,234
"252995",11,21,10,6,14,20
"105378631",0,0,5,2,0,0
"3208",9,12,10,13,17,11
"113452",367,340,400,315,291,361
"105378632",1,2,0,1,0,1
"127544",1000,797,974,519,692,711
"204",1743,1515,1679,1546,1695,1749
"105378635",0,1,2,0,0,1
"113451",34,36,31,29,28,34
"112268224",0,0,0,1,1,1
"55223",44,35,30,34,45,47
"149076",131,127,158,86,134,134
"127550",1,2,0,0,1,2
"1912",1192,1023,1269,831,873,939
"100500853",23,26,38,28,22,36
"101929464",1,0,1,4,0,3
"7579",21,32,33,36,36,29
"114784",0,5,1,2,2,3
"105378638",0,0,0,3,0,0
"127540",0,0,0,0,0,0
"402779",0,0,0,0,0,0
"84970",0,0,0,0,0,0
"105378639",0,0,0,0,1,0
"105378640",0,0,0,0,0,0
"105378641",21,9,25,13,19,19
"693137",0,0,0,0,0,0
