Interactor A Genes,Interactor B Genes,Host organism(s),Confidence value(s),Taxid interactor A,Taxid interactor B,Genes,Log2FoldChange,FoldChange,Regulation
FOS,ATF2,In vitro,0.94,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
ATF2,FOS,In vitro,0.94,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
FOS,JUN,In vitro,0.97,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
FOS,JUN,Chlorocebus aethiops,0.97,Homo sapiens,Homo sapiens,FOS,2.56773456616324,5.92877713448472,UpRegulated
SMAD4,SMAD1,In vitro,0.95,Homo sapiens,Homo sapiens,SMAD1,-2.55438208249893,5.87415804668111,DownRegulated
SMAD1,SMAD4,In vitro,0.95,Homo sapiens,Homo sapiens,SMAD1,-2.55438208249893,5.87415804668111,DownRegulated
KEAP1,NFE2L2,In vitro,0.98,Homo sapiens,Homo sapiens,KEAP1,-2.52447852917722,5.75365425111241,DownRegulated
NFE2L2,KEAP1,In vitro,0.98,Homo sapiens,Homo sapiens,KEAP1,-2.52447852917722,5.75365425111241,DownRegulated
KEAP1,Sqstm1,In vitro,0.97,Homo sapiens,Homo sapiens,KEAP1,-2.52447852917722,5.75365425111241,DownRegulated
Sqstm1,KEAP1,In vitro,0.97,Homo sapiens,Homo sapiens,KEAP1,-2.52447852917722,5.75365425111241,DownRegulated
BIK,BCL2L1,In vitro,0.91,Homo sapiens,Homo sapiens,BIK,2.27790505172059,4.84973208968471,UpRegulated
BIK,BCL2L2,In vitro,0.9,Homo sapiens,Homo sapiens,BIK,2.27790505172059,4.84973208968471,UpRegulated
BCL2L2,BIK,In vitro,0.9,Homo sapiens,Homo sapiens,BIK,2.27790505172059,4.84973208968471,UpRegulated
ERRFI1,EGFR,In vitro,0.9,Homo sapiens,Homo sapiens,ERRFI1,2.23191567425805,4.6975733029645,UpRegulated
EGFR,ERRFI1,In vitro,0.9,Homo sapiens,Homo sapiens,ERRFI1,2.23191567425805,4.6975733029645,UpRegulated
SMAD4,SKI,In vitro,0.94,Homo sapiens,Homo sapiens,SKI,2.06574959642336,4.18651442603965,UpRegulated
TNFSF10,TNFRSF10B,In vitro,0.95,Homo sapiens,Homo sapiens,TNFRSF10B,1.94007530917918,3.83725677820164,UpRegulated
TNFRSF10B,TNFSF10,In vitro,0.95,Homo sapiens,Homo sapiens,TNFRSF10B,1.94007530917918,3.83725677820164,UpRegulated
UNC119,ARL3,In vitro,0.94,Homo sapiens,Homo sapiens,UNC119,1.89497962703619,3.71916725000124,UpRegulated
MDM4,TP53,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
Sirt1,TP53,In vitro,0.96,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,TP53,Escherichia coli,0.98,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,EP300,In vitro,0.98,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,CREBBP,In vitro,0.96,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
USP7,TP53,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
,TP53,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,TP53,In vitro,0.98,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,TP53,Homo sapiens,0.98,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,,In vitro,0.93,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
SETD7,TP53,In vitro,0.92,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,TP53BP2,In vitro,0.9,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,SETD7,In vitro,0.92,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,MDM4,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,USP7,In vitro,0.97,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,MDM2,In vitro,0.99,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
TP53,Sirt1,In vitro,0.96,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
MDM2,TP53,In vitro,0.99,Homo sapiens,Homo sapiens,TP53,-1.88125009855354,3.68394136351864,DownRegulated
SUFU,GLI1,In vitro,0.97,Homo sapiens,Homo sapiens,SUFU,1.86932951366448,3.65362739861492,UpRegulated
GLI1,SUFU,In vitro,0.97,Homo sapiens,Homo sapiens,SUFU,1.86932951366448,3.65362739861492,UpRegulated
CDKN2D,Cdk6,In vitro,0.96,Homo sapiens,Homo sapiens,CDKN2D,1.85043752130348,3.60609529310035,UpRegulated
MYC,MAX,In vitro,0.98,Homo sapiens,Homo sapiens,MYC,-1.82900714019784,3.55292476748979,DownRegulated
SUFU,GLI1,In vitro,0.97,Homo sapiens,Homo sapiens,GLI1,1.81669345265006,3.52272889897749,UpRegulated
GLI1,SUFU,In vitro,0.97,Homo sapiens,Homo sapiens,GLI1,1.81669345265006,3.52272889897749,UpRegulated
BMP2,BMPR1A,In vitro,0.97,Homo sapiens,Homo sapiens,BMP2,1.75195297843883,3.36814203525426,UpRegulated
BMPR1A,BMP2,In vitro,0.97,Homo sapiens,Homo sapiens,BMP2,1.75195297843883,3.36814203525426,UpRegulated
JUND,FOS,In vitro,0.93,Homo sapiens,Homo sapiens,JUND,1.71034843400732,3.27239847555244,UpRegulated
RBX1,CUL1,In vitro,0.97,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,SKP1,In vitro,0.95,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
NEDD8,CUL1,In vitro,0.95,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,NEDD8,In vitro,0.95,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,RBX1,trini,0.97,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,CAND1,In vitro,0.96,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,RBX1,In vitro,0.97,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,RBX1,Escherichia coli,0.97,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
SKP1,CUL1,In vitro,0.95,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
CUL1,RBX1,spofr,0.97,Homo sapiens,Homo sapiens,CUL1,-1.69754336439087,3.24348184694288,DownRegulated
SCN5A,"CALM3,CALM2,CALM1",In vitro,0.93,Homo sapiens,Homo sapiens,SCN5A,-1.65064000637158,3.13972892487504,DownRegulated
SCN5A,"CALM3,CALM2,CALM1",ecoli,0.93,Homo sapiens,Homo sapiens,SCN5A,-1.65064000637158,3.13972892487504,DownRegulated
"CALM3,CALM2,CALM1",SCN5A,Escherichia coli,0.93,Homo sapiens,Homo sapiens,SCN5A,-1.65064000637158,3.13972892487504,DownRegulated
MDC1,NBN,In vitro,0.97,Homo sapiens,Homo sapiens,NBN,-1.6289463061767,3.09287023809376,DownRegulated
NBN,MDC1,In vitro,0.97,Homo sapiens,Homo sapiens,NBN,-1.6289463061767,3.09287023809376,DownRegulated
ATG4B,MAP1LC3B,In vitro,0.95,Homo sapiens,Homo sapiens,MAP1LC3B,1.62173273977841,3.07744428889934,UpRegulated
MAP1LC3B,Sqstm1,In vitro,0.98,Homo sapiens,Homo sapiens,MAP1LC3B,1.62173273977841,3.07744428889934,UpRegulated
Sqstm1,MAP1LC3B,In vitro,0.98,Homo sapiens,Homo sapiens,MAP1LC3B,1.62173273977841,3.07744428889934,UpRegulated
NFKB1,MAP3K8,In vitro,0.93,Homo sapiens,Homo sapiens,NFKB1,-1.60611874520426,3.04431732274354,DownRegulated
BCL2L1,BAK1,In vitro,0.94,Homo sapiens,Homo sapiens,BAK1,1.60546793460092,3.04294431797066,UpRegulated
BAK1,BCL2L1,Homo sapiens HeLa epitheloid cervical carcinoma cell,0.94,Homo sapiens,Homo sapiens,BAK1,1.60546793460092,3.04294431797066,UpRegulated
XRCC2,RAD51D,In vitro,0.98,Homo sapiens,Homo sapiens,RAD51D,-1.57643872812452,2.98232757095695,DownRegulated
RAD51D,XRCC2,In vitro,0.98,Homo sapiens,Homo sapiens,RAD51D,-1.57643872812452,2.98232757095695,DownRegulated
NCBP2,NCBP1,In vitro,0.96,Homo sapiens,Homo sapiens,NCBP2,-1.53846007142383,2.90484275837083,DownRegulated
NCBP1,NCBP2,In vitro,0.96,Homo sapiens,Homo sapiens,NCBP2,-1.53846007142383,2.90484275837083,DownRegulated
MAP2K2,ARAF,In vitro,0.91,Homo sapiens,Homo sapiens,ARAF,-1.51263952881294,2.85331599400655,DownRegulated
XRCC4,LIG4,In vitro,0.96,Homo sapiens,Homo sapiens,XRCC4,-1.49291545295196,2.81457180192393,DownRegulated
HEXIM1,CCNT1,In vitro,0.9,Homo sapiens,Homo sapiens,HEXIM1,1.48617316409231,2.80144887446771,UpRegulated
CCNT1,HEXIM1,In vitro,0.9,Homo sapiens,Homo sapiens,HEXIM1,1.48617316409231,2.80144887446771,UpRegulated
SNW1,PPIL1,In vitro,0.93,Homo sapiens,Homo sapiens,PPIL1,-1.46626891971607,2.76306388600283,DownRegulated
PPIL1,SNW1,In vitro,0.93,Homo sapiens,Homo sapiens,PPIL1,-1.46626891971607,2.76306388600283,DownRegulated
Cdk2,CCNA2,In vitro,0.98,Homo sapiens,Homo sapiens,CCNA2,-1.46336238506524,2.75750286559529,DownRegulated
Cdkn1b,CCNA2,In vitro,0.96,Homo sapiens,Homo sapiens,CCNA2,-1.46336238506524,2.75750286559529,DownRegulated
Cdk2,CCNA2,spofr,0.98,Homo sapiens,Homo sapiens,CCNA2,-1.46336238506524,2.75750286559529,DownRegulated
CCNA2,Cdkn1b,In vitro,0.96,Homo sapiens,Homo sapiens,CCNA2,-1.46336238506524,2.75750286559529,DownRegulated
CCNA2,Cdk2,In vitro,0.98,Homo sapiens,Homo sapiens,CCNA2,-1.46336238506524,2.75750286559529,DownRegulated
FOS,JUN,In vitro,0.97,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
FOS,JUN,Chlorocebus aethiops,0.97,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
JUN,FOS,In vitro,0.97,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
JUN,FOSL2,In vitro,0.9,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
JUN,ATF2,In vitro,0.95,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
ATF2,JUN,In vitro,0.95,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
FOSL2,JUN,In vitro,0.9,Homo sapiens,Homo sapiens,JUN,1.43188518829022,2.69799035025157,UpRegulated
KARS1,AIMP2,Escherichia coli,0.97,Homo sapiens,Homo sapiens,AIMP2,-1.39048452413402,2.621667137711,DownRegulated
KARS1,AIMP2,In vitro,0.97,Homo sapiens,Homo sapiens,AIMP2,-1.39048452413402,2.621667137711,DownRegulated
MAML1,NOTCH1,In vitro,0.95,Homo sapiens,Homo sapiens,NOTCH1,1.38761705101794,2.61646153715672,UpRegulated
S100A4,MYH9,In vitro,0.92,Homo sapiens,Homo sapiens,MYH9,1.35833669391962,2.56389413612056,UpRegulated
MYH9,S100A4,In vitro,0.92,Homo sapiens,Homo sapiens,MYH9,1.35833669391962,2.56389413612056,UpRegulated
PTPN1,INSR,In vitro,0.98,Homo sapiens,Homo sapiens,INSR,1.34082398798082,2.53295946187959,UpRegulated
INSR,PTPN1,In vitro,0.98,Homo sapiens,Homo sapiens,INSR,1.34082398798082,2.53295946187959,UpRegulated
MAD1L1,MAD2L1,In vitro,0.98,Homo sapiens,Homo sapiens,MAD1L1,1.3390944876364,2.52992477376724,UpRegulated
MAD2L1,MAD1L1,In vitro,0.98,Homo sapiens,Homo sapiens,MAD1L1,1.3390944876364,2.52992477376724,UpRegulated
CEP97,CCP110,In vitro,0.95,Homo sapiens,Homo sapiens,CCP110,1.32517587972466,2.50563432185078,UpRegulated
"CALM3,CALM2,CALM1",CCP110,In vitro,0.9,Homo sapiens,Homo sapiens,CCP110,1.32517587972466,2.50563432185078,UpRegulated
EIF4A3,CASC3,In vitro,0.98,Homo sapiens,Homo sapiens,EIF4A3,1.29092376673013,2.44684678531992,UpRegulated
BCL2L11,MCL1,In vitro,0.95,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BAX,BCL2L11,In vitro,0.94,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BCL2,BCL2L11,In vitro,0.93,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BCL2L11,BAX,In vitro,0.94,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BCL2L1,BCL2L11,In vitro,0.93,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BCL2L11,BCL2,In vitro,0.93,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
BCL2L11,BCL2L2,In vitro,0.9,Homo sapiens,Homo sapiens,BCL2L11,1.27274085725977,2.41620163985068,UpRegulated
RNF2,BMI1,In vitro,0.96,Homo sapiens,Homo sapiens,BMI1,-1.26470890021981,2.40278722776448,DownRegulated
CBX8,BMI1,In vitro,0.97,Homo sapiens,Homo sapiens,BMI1,-1.26470890021981,2.40278722776448,DownRegulated
BMI1,Cbx7,In vitro,0.94,Homo sapiens,Homo sapiens,BMI1,-1.26470890021981,2.40278722776448,DownRegulated
GEMIN6,GEMIN7,Escherichia coli,0.96,Homo sapiens,Homo sapiens,GEMIN6,-1.25419748061387,2.38534423570202,DownRegulated
rep,ISG15,In vitro,0.91,SARS-CoV-2,Homo sapiens,ISG15,1.24568447673011,2.37131032689844,UpRegulated
CBL,SH3KBP1,In vitro,0.97,Homo sapiens,Homo sapiens,CBL,1.24279741393413,2.36656970181475,UpRegulated
EGFR,CBL,In vitro,0.96,Homo sapiens,Homo sapiens,CBL,1.24279741393413,2.36656970181475,UpRegulated
SH3KBP1,CBL,In vitro,0.97,Homo sapiens,Homo sapiens,CBL,1.24279741393413,2.36656970181475,UpRegulated
CBL,EGFR,In vitro,0.96,Homo sapiens,Homo sapiens,CBL,1.24279741393413,2.36656970181475,UpRegulated
IRF3,CREBBP,Escherichia coli,0.93,Homo sapiens,Homo sapiens,CREBBP,-1.23798259193772,2.35868472363699,DownRegulated
IRF3,CREBBP,In vitro,0.93,Homo sapiens,Homo sapiens,CREBBP,-1.23798259193772,2.35868472363699,DownRegulated
TP53,CREBBP,In vitro,0.96,Homo sapiens,Homo sapiens,CREBBP,-1.23798259193772,2.35868472363699,DownRegulated
CUL1,RBX1,In vitro,0.97,Homo sapiens,Homo sapiens,RBX1,-1.22767263734311,2.34188890295493,DownRegulated
CUL1,RBX1,spofr,0.97,Homo sapiens,Homo sapiens,RBX1,-1.22767263734311,2.34188890295493,DownRegulated
CUL1,RBX1,trini,0.97,Homo sapiens,Homo sapiens,RBX1,-1.22767263734311,2.34188890295493,DownRegulated
RBX1,CUL1,In vitro,0.97,Homo sapiens,Homo sapiens,RBX1,-1.22767263734311,2.34188890295493,DownRegulated
CUL1,RBX1,Escherichia coli,0.97,Homo sapiens,Homo sapiens,RBX1,-1.22767263734311,2.34188890295493,DownRegulated
PDE6D,ARL2,In vitro,0.96,Homo sapiens,Homo sapiens,PDE6D,1.2075100768876,2.30938719385073,UpRegulated
PDE6D,ARL3,In vitro,0.92,Homo sapiens,Homo sapiens,PDE6D,1.2075100768876,2.30938719385073,UpRegulated
ARL2,PDE6D,In vitro,0.96,Homo sapiens,Homo sapiens,PDE6D,1.2075100768876,2.30938719385073,UpRegulated
Cdk2,CCNE1,spofr,0.97,Homo sapiens,Homo sapiens,CCNE1,1.20526077057299,2.30578943287821,UpRegulated
PDGFRB,PDGFB,Sus scrofa - procine aortic endothelial cells,0.9,Homo sapiens,Homo sapiens,PDGFB,1.19329800241512,2.28674897184889,UpRegulated
PDGFRB,PDGFB,In vitro,0.9,Homo sapiens,Homo sapiens,PDGFB,1.19329800241512,2.28674897184889,UpRegulated
PDGFB,PDGFRB,In vitro,0.9,Homo sapiens,Homo sapiens,PDGFB,1.19329800241512,2.28674897184889,UpRegulated
DDX20,GEMIN4,In vitro,0.91,Homo sapiens,Homo sapiens,GEMIN4,-1.1870934410416,2.27693552683258,DownRegulated
MDC1,H2AX,In vitro,0.97,Homo sapiens,Homo sapiens,MDC1,-1.17517775835736,2.25820703226677,DownRegulated
MDC1,NBN,In vitro,0.97,Homo sapiens,Homo sapiens,MDC1,-1.17517775835736,2.25820703226677,DownRegulated
NBN,MDC1,In vitro,0.97,Homo sapiens,Homo sapiens,MDC1,-1.17517775835736,2.25820703226677,DownRegulated
H2AX,MDC1,In vitro,0.97,Homo sapiens,Homo sapiens,MDC1,-1.17517775835736,2.25820703226677,DownRegulated
STIM1,Orai1,In vitro,0.96,Homo sapiens,Homo sapiens,STIM1,1.16783510645665,2.24674299878518,UpRegulated
Orai1,STIM1,In vitro,0.96,Homo sapiens,Homo sapiens,STIM1,1.16783510645665,2.24674299878518,UpRegulated
STIM1,STIM1,Escherichia coli,0.91,Homo sapiens,Homo sapiens,STIM1,1.16783510645665,2.24674299878518,UpRegulated
STIM1,STIM1,In vitro,0.91,Homo sapiens,Homo sapiens,STIM1,1.16783510645665,2.24674299878518,UpRegulated
LRP6,DKK1,In vitro,0.94,Homo sapiens,Homo sapiens,DKK1,-1.16300393768765,2.23923188905315,DownRegulated
LRP6,DKK1,In vitro,0.94,Homo sapiens,Homo sapiens,LRP6,1.1508249127019,2.22040817935494,UpRegulated
CCNB1,CDK1,spofr,0.98,Homo sapiens,Homo sapiens,CCNB1,-1.13976689955658,2.20345418447423,DownRegulated
CDK1,CCNB1,In vitro,0.98,Homo sapiens,Homo sapiens,CCNB1,-1.13976689955658,2.20345418447423,DownRegulated
CCNB1,CDK1,In vitro,0.98,Homo sapiens,Homo sapiens,CCNB1,-1.13976689955658,2.20345418447423,DownRegulated
BTRC,SKP1,In vitro,0.96,Homo sapiens,Homo sapiens,BTRC,1.1372245225476,2.19957458556364,UpRegulated
CUL1,CAND1,In vitro,0.96,Homo sapiens,Homo sapiens,CAND1,-1.13677413884806,2.19888802472075,DownRegulated
MAPK14,MAPKAPK2,In vitro,0.93,Homo sapiens,Homo sapiens,MAPKAPK2,1.13528567509928,2.19662054808768,UpRegulated
STAMBP,CHMP1B,In vitro,0.96,Homo sapiens,Homo sapiens,CHMP1B,1.0997946098435,2.14324177943319,UpRegulated
PDCD10,STK24,In vitro,0.95,Homo sapiens,Homo sapiens,STK24,1.0929441909738,2.13308904393,UpRegulated
EP300,HIF1A,In vitro,0.96,Homo sapiens,Homo sapiens,EP300,-1.08972050179082,2.12832799675337,DownRegulated
HIF1A,EP300,In vitro,0.96,Homo sapiens,Homo sapiens,EP300,-1.08972050179082,2.12832799675337,DownRegulated
TP53,EP300,In vitro,0.98,Homo sapiens,Homo sapiens,EP300,-1.08972050179082,2.12832799675337,DownRegulated
CASP8,FADD,Homo sapiens HEK293T embryonic kidney cell,0.98,Homo sapiens,Homo sapiens,CASP8,-1.08203870154369,2.11702558003284,DownRegulated
CASP8,FADD,In vitro,0.98,Homo sapiens,Homo sapiens,CASP8,-1.08203870154369,2.11702558003284,DownRegulated
PPP1R13L,Ppp1cb,Homo sapiens,0.9,Homo sapiens,Homo sapiens,PPP1R13L,1.07426389824029,2.10564743989977,UpRegulated
Aurkb,INCENP,yeasx,0.96,Homo sapiens,Homo sapiens,INCENP,-1.0702670489783,2.09982201724668,DownRegulated
BIRC5,INCENP,In vitro,0.92,Homo sapiens,Homo sapiens,INCENP,-1.0702670489783,2.09982201724668,DownRegulated
MYC,MAX,In vitro,0.98,Homo sapiens,Homo sapiens,MAX,1.05907242117719,2.08359144862908,UpRegulated
PTPN1,INSR,In vitro,0.98,Homo sapiens,Homo sapiens,PTPN1,1.05315323128104,2.07506025737549,UpRegulated
INSR,PTPN1,In vitro,0.98,Homo sapiens,Homo sapiens,PTPN1,1.05315323128104,2.07506025737549,UpRegulated
YWHAB,TSC2,In vitro,0.95,Homo sapiens,Homo sapiens,TSC2,1.04097859864964,2.05762289219499,UpRegulated
TSC2,YWHAZ,In vitro,0.94,Homo sapiens,Homo sapiens,TSC2,1.04097859864964,2.05762289219499,UpRegulated
YWHAZ,TSC2,In vitro,0.94,Homo sapiens,Homo sapiens,TSC2,1.04097859864964,2.05762289219499,UpRegulated
METTL14,METTL3,spofr,0.92,Homo sapiens,Homo sapiens,METTL3,-1.03847112219171,2.0540497462923,DownRegulated
METTL14,METTL3,In vitro,0.92,Homo sapiens,Homo sapiens,METTL3,-1.03847112219171,2.0540497462923,DownRegulated
METTL3,METTL14,In vitro,0.92,Homo sapiens,Homo sapiens,METTL3,-1.03847112219171,2.0540497462923,DownRegulated
TARBP2,DICER1,In vitro,0.96,Homo sapiens,Homo sapiens,TARBP2,-1.03028590421438,2.04242896701667,DownRegulated
Apaf1,CASP9,In vitro,0.96,Homo sapiens,Homo sapiens,CASP9,1.01937703522027,2.02704348046894,UpRegulated
CASP9,XIAP,In vitro,0.97,Homo sapiens,Homo sapiens,CASP9,1.01937703522027,2.02704348046894,UpRegulated
BIRC2,CASP9,In vitro,0.92,Homo sapiens,Homo sapiens,CASP9,1.01937703522027,2.02704348046894,UpRegulated
CASP9,Apaf1,In vitro,0.96,Homo sapiens,Homo sapiens,CASP9,1.01937703522027,2.02704348046894,UpRegulated
CASP9,BIRC2,In vitro,0.92,Homo sapiens,Homo sapiens,CASP9,1.01937703522027,2.02704348046894,UpRegulated
DFFA,DFFB,In vitro,0.91,Homo sapiens,Homo sapiens,DFFA,1.00462972287558,2.00642846793104,UpRegulated
PMS2,MLH1,In vitro,0.97,Homo sapiens,Homo sapiens,MLH1,-1.00407664718003,2.00565942519781,DownRegulated
BRIP1,MLH1,In vitro,0.92,Homo sapiens,Homo sapiens,MLH1,-1.00407664718003,2.00565942519781,DownRegulated
