"BioGRID Interaction ID","Entrez Gene ID for Interactor A","Entrez Gene ID for Interactor B","BioGRID ID for Interactor A","BioGRID ID for Interactor B","Systematic name for Interactor A","Systematic name for Interactor B","Official symbol for Interactor A","Official symbol for Interactor B","Synonyms/Aliases for Interactor A","Synonyms/Aliases for Interactor B","Experimental System Name","Experimental System Type","First author surname of the publication","Pubmed ID","Organism ID for Interactor A","Organism ID for Interactor B","Interaction Throughput","Quantitative Score","Post Translational Modification","Phenotypes","Qualifications","Tags","Source Database"
3329,10270,4171,115561,110339,"-","-","AKAP8","MCM2","AKAP 95|AKAP-8|AKAP-95|AKAP95","BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19","Two-hybrid","physical","Eide T (2003)",12740381,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
3532,9322,998,114733,107433,"-","RP1-224A6.5","TRIP10","CDC42","CIP4|HSTP|STOT|STP|TRIP-10","CDC42Hs|G25K","Two-hybrid","physical","Aspenstroem P (1997)",9210375,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
3948,3486,1277,109707,107674,"tcag7.703","-","IGFBP3","COL1A1","BP-53|IBP3","OI4","Two-hybrid","physical","Liu B (2003)",12735930,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
3956,7295,1277,113146,107674,"RP11-427L11.1","-","TXN","COL1A1","TRDX|TRX|TRX1","OI4","Two-hybrid","physical","Matsumoto K (2002)",12099690,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
4549,896,27335,107336,118148,"RP5-973N23.3","ARG134","CCND3","EIF3K","-","EIF3-p28|EIF3S12|HSPC029|M9|MSTP001|PLAC-24|PLAC24|PRO1474|PTD001","Two-hybrid","physical","Shen X (2004)",15327989,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
4608,10928,891,116131,107332,"-","-","RALBP1","CCNB1","RIP1|RLIP1|RLIP76","CCNB","Two-hybrid","physical","Rosse C (2003)",12775724,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
4826,1445,3643,107832,109854,"-","-","CSK","INSR","-","CD220|HHF5","Two-hybrid","physical","Arbet-Engels C (1999)",10026153,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
4995,1839,7704,108172,113498,"-","-","HBEGF","ZBTB16","DTR|DTS|DTSF|HEGFL","PLZF|ZNF145","Two-hybrid","physical","Nanba D (2003)",14597771,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
5021,5111,1647,111142,108014,"-","RP5-975D15.1","PCNA","GADD45A","ATLD2","DDIT1|GADD45","Two-hybrid","physical","Smith ML (1994)",7973727,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
5190,2316,1814,108605,108148,"XX-FW83128A1.1","-","FLNA","DRD3","ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD","D3DR|ETM1|FET1","Two-hybrid","physical","Li M (2002)",11911837,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
5248,27258,6635,118105,112519,"MDS017","-","LSM3","SNRPE","SMX4|USS2|YLR438C","B-raf|HYPT11|SME|Sm-E","Two-hybrid","physical","Lehner B (2004)",15231747,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
5253,25804,6635,117336,112519,"-","-","LSM4","SNRPE","GRP|YER112W","B-raf|HYPT11|SME|Sm-E","Two-hybrid","physical","Lehner B (2004)",15231747,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
5256,23658,6635,117180,112519,"-","-","LSM5","SNRPE","YER146W","B-raf|HYPT11|SME|Sm-E","Two-hybrid","physical","Lehner B (2004)",15231747,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
5262,2033,1958,108347,108278,"RP1-85F18.1","-","EP300","EGR1","KAT3B|RSTS2|p300","AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225","Two-hybrid","physical","Silverman ES (1998)",9806899,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
5271,1387,1958,107777,108278,"-","-","CREBBP","EGR1","CBP|KAT3A|RSTS","AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225","Two-hybrid","physical","Silverman ES (1998)",9806899,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
5719,133522,2099,126361,108403,"-","RP1-130E4.1","PPARGC1B","ESR1","ERRL1|PERC|PGC-1(beta)|PGC1B","ER|ESR|ESRA|ESTRR|Era|NR3A1","Two-hybrid","physical","Kressler D (2002)",11854298,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
6219,2316,3688,108605,109894,"XX-FW83128A1.1","RP11-479G22.2","FLNA","ITGB1","ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD","CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB","Two-hybrid","physical","van der Flier A (2002)",11807098,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
6764,3309,1801,109541,108135,"-","-","HSPA5","DPH1","BIP|GRP78|HEL-S-89n|MIF2","DPH2L|DPH2L1|OVCA1","Two-hybrid","physical","Salicioni AM (2000)",11013075,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
6786,6517,1616,112408,107985,"-","DADB-159G18.9","SLC2A4","DAXX","GLUT4","BING2|DAP6|EAP1","Two-hybrid","physical","Lalioti VS (2002)",11842083,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7317,10287,2771,115576,109033,"-","-","RGS19","GNAI2","GAIP|RGSGAIP","GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1","Two-hybrid","physical","De Vries L (1996)",8986788,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7551,3298,7329,109531,113177,"-","LA16c-358B7.1","HSF2","UBE2I","HSF 2|HSTF 2","C358B7.1|P18|UBC9","Two-hybrid","physical","Goodson ML (2001)",11278381,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7666,7916,8974,113646,114464,"DADB-70P7.5","UNQ290/PRO330","PRRC2A","P4HA2","BAT2|D6S51|D6S51E|G2","-","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7667,7916,2826,113646,109087,"DADB-70P7.5","-","PRRC2A","CCR10","BAT2|D6S51|D6S51E|G2","GPR2","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7671,3178,7916,109420,113646,"-","DADB-70P7.5","HNRNPA1","PRRC2A","ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1","BAT2|D6S51|D6S51E|G2","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7673,4670,7916,110751,113646,"-","DADB-70P7.5","HNRNPM","PRRC2A","CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M","BAT2|D6S51|D6S51E|G2","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
7677,9898,7916,115227,113646,"RP11-205M9.4","DADB-70P7.5","UBAP2L","PRRC2A","NICE-4","BAT2|D6S51|D6S51E|G2","Two-hybrid","physical","Lehner B (2004)",14667819,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8029,3064,23390,109314,116965,"-","HSPC294","HTT","ZDHHC17","HD|IT15","HIP14|HIP3|HYPH","Two-hybrid","physical","Faber PW (1998)",9700202,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8037,9322,3064,114733,109314,"-","-","TRIP10","HTT","CIP4|HSTP|STOT|STP|TRIP-10","HD|IT15","Two-hybrid","physical","Holbert S (2003)",12604778,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8485,3480,3667,109701,109874,"-","-","IGF1R","IRS1","CD221|IGFIR|IGFR|JTK13","HIRS-1","Two-hybrid","physical","Tartare-Deckert S (1995)",7559507,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8570,5747,3667,111719,109874,"-","-","PTK2","IRS1","FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK","HIRS-1","Two-hybrid","physical","Lebrun P (1998)",9822703,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8578,5599,3667,111585,109874,"-","-","MAPK8","IRS1","JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c","HIRS-1","Two-hybrid","physical","Aguirre V (2002)",11606564,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
8586,3643,3667,109854,109874,"-","-","INSR","IRS1","CD220|HHF5","HIRS-1","Two-hybrid","physical","Aguirre V (2002)",11606564,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9021,705,3856,107167,110054,"RP5-973N23.2","-","BYSL","KRT8","BYSTIN","CARD2|CK-8|CK8|CYK8|K2C8|K8|KO","Two-hybrid","physical","Suzuki N (1998)",9560222,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9045,3875,867,110073,107315,"PIG46","-","KRT18","CBL","CYK18|K18","C-CBL|CBL2|FRA11B|NSLL|RNF55","Two-hybrid","physical","Robertson H (1997)",9367879,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9277,4790,4066,110857,110244,"-","-","NFKB1","LYL1","EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50","bHLHa18","Two-hybrid","physical","Ferrier R (1999)",10023675,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9411,7409,2547,113252,108822,"-","CTA-216E10.7","VAV1","XRCC6","VAV","CTC75|CTCBF|G22P1|KU70|ML8|TLAA","Two-hybrid","physical","Romero F (1996)",8524317,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9498,4286,51176,110432,119354,"-","-","MITF","LEF1","CMM8|MI|WS2|WS2A|bHLHe32","LEF-1|TCF10|TCF1ALPHA|TCF7L3","Two-hybrid","physical","Yasumoto K (2002)",12032083,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9812,4286,10401,110432,115673,"-","-","MITF","PIAS3","CMM8|MI|WS2|WS2A|bHLHe32","ZMIZ5","Two-hybrid","physical","Levy C (2002)",11709556,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9815,4286,23598,110432,117133,"-","-","MITF","PATZ1","CMM8|MI|WS2|WS2A|bHLHe32","MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23","Two-hybrid","physical","Morii E (2002)",11751862,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9819,4286,7329,110432,113177,"-","LA16c-358B7.1","MITF","UBE2I","CMM8|MI|WS2|WS2A|bHLHe32","C358B7.1|P18|UBC9","Two-hybrid","physical","Xu W (2000)",10694430,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
9960,4176,8317,110344,113914,"-","-","MCM7","CDC7","CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104","CDC7L1|HsCDC7|Hsk1|huCDC7","Two-hybrid","physical","Kneissl M (2003)",12614612,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
10025,4297,23645,110443,117172,"hCG_1732268","-","KMT2A","PPP1R15A","ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS","GADD34","Two-hybrid","physical","Adler HT (1999)",10490642,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10561,1326,4790,107719,110857,"RP11-449I17.8","-","MAP3K8","NFKB1","COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT","EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50","Two-hybrid","physical","Belich MP (1999)",9950430,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10618,5970,2353,111902,108636,"-","-","RELA","FOS","NFKB3|p65","AP-1|C-FOS|p55","Two-hybrid","physical","Yang X (1999)",10488148,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10710,5970,10848,111902,116059,"-","-","RELA","PPP1R13L","NFKB3|p65","IASPP|NKIP1|RAI|RAI4","Two-hybrid","physical","Yang JP (1999)",10336463,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10720,3178,2237,109420,108528,"-","-","HNRNPA1","FEN1","ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1","FEN-1|MF1|RAD2","Two-hybrid","physical","Chai Q (2003)",14690413,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
10916,2114,8558,108415,114128,"-","-","ETS2","CDK10","ETS2IT1","PISSLRE","Two-hybrid","physical","Kasten M (2001)",11313931,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
11162,22938,6497,116597,112388,"-","-","SNW1","SKI","Bx42|NCOA-62|PRPF45|Prp45|SKIIP|SKIP","SGS|SKV","Two-hybrid","physical","Prathapam T (2001)",11522815,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
11367,7409,2146,113252,108446,"-","-","VAV1","EZH2","VAV","ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2","Two-hybrid","physical","Hobert O (1996)",8649418,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
11828,4641,867,110725,107315,"-","-","MYO1C","CBL","MMI-beta|MMIb|NMI|myr2","C-CBL|CBL2|FRA11B|NSLL|RNF55","Two-hybrid","physical","Robertson H (1997)",9367879,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
11911,5147,388,111173,106881,"-","-","PDE6D","RHOB","JBTS22|PDED","ARH6|ARHB|MST081|MSTP081|RHOH6","Two-hybrid","physical","Nancy V (2002)",11786539,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
11973,5147,387,111173,106880,"-","-","PDE6D","RHOA","JBTS22|PDED","ARH12|ARHA|RHO12|RHOH12","Two-hybrid","physical","Nancy V (2002)",11786539,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13594,22927,10399,116587,115671,"RP11-172F4.4","HLC7","HABP4","GNB2L1","IHABP-4|IHABP4|Ki-1/57|SERBP1L","Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","Two-hybrid","physical","Nery FC (2004)",14699138,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13597,8439,10399,114019,115671,"-","HLC7","NSMAF","GNB2L1","FAN","Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","Two-hybrid","physical","Tcherkasowa AE (2002)",12391233,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13627,10399,22927,115671,116587,"HLC7","RP11-172F4.4","GNB2L1","HABP4","Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","IHABP-4|IHABP4|Ki-1/57|SERBP1L","Two-hybrid","physical","Nery FC (2004)",14699138,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13646,5170,5590,111196,111576,"-","RP11-181G12.1","PDPK1","PRKCZ","PDK1|PDPK2|PDPK2P|PRO0461","PKC-ZETA|PKC2","Two-hybrid","physical","Balendran A (2000)",10764742,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13730,2033,4094,108347,110269,"RP1-85F18.1","-","EP300","MAF","KAT3B|RSTS2|p300","CCA4|c-MAF","Two-hybrid","physical","Chen Q (2002)",11943779,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13910,5147,5906,111173,111841,"-","-","PDE6D","RAP1A","JBTS22|PDED","C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21","Two-hybrid","physical","Nancy V (2002)",11786539,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13952,5147,5912,111173,111847,"-","-","PDE6D","RAP2B","JBTS22|PDED","-","Two-hybrid","physical","Nancy V (2002)",11786539,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
13975,149371,5898,127206,111834,"-","-","EXOC8","RALA","EXO84|Exo84p|SEC84","RAL","Two-hybrid","physical","Moskalenko S (2003)",14525976,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14055,675,5888,107142,111825,"RP11-298P3.4","-","BRCA2","RAD51","BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11","BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA","Two-hybrid","physical","Sharan SK (1997)",9126738,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14782,6662,2516,112545,108792,"-","RP11-101K10.1","SOX9","NR5A1","CMD1|CMPD1|SRA1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","Two-hybrid","physical","De Santa Barbara P (1998)",9774680,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14788,2516,8204,108792,113843,"RP11-101K10.1","-","NR5A1","NRIP1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","RIP140","Two-hybrid","physical","Mellgren G (2003)",12782406,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14789,2516,8204,108792,113843,"RP11-101K10.1","-","NR5A1","NRIP1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","RIP140","Two-hybrid","physical","Sugawara T (2001)",11459805,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14817,1191,1191,107603,107603,"AAG4","AAG4","CLU","CLU","APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2","APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2","Two-hybrid","physical","Leskov KS (2003)",12551933,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
14821,1191,7048,107603,112906,"AAG4","-","CLU","TGFBR2","APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2","AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII","Two-hybrid","physical","Reddy KB (1996)",8555189,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
15335,8557,7273,114127,113124,"-","-","TCAP","TTN","CMD1N|LGMD2G|T-cap|TELE|telethonin","CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD","Two-hybrid","physical","Gregorio CC (1998)",9817758,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
15341,322,7024,106819,112882,"-","-","APBB1","TFCP2","FE65|MGC:9072|RIR","LBP1C|LSF|LSF1D|SEF|TFCP2C","Two-hybrid","physical","Zambrano N (1998)",9685356,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
15453,6935,10589,112796,115838,"RP11-472N13.4","-","ZEB1","DRAP1","AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A","NC2-alpha","Two-hybrid","physical","Ikeda K (1998)",9418848,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
15454,6935,10524,112796,115779,"RP11-472N13.4","-","ZEB1","KAT5","AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A","ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2","Two-hybrid","physical","Hlubek F (2001)",11275565,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
15882,6714,2048,112592,108362,"RP5-823N20.1","-","SRC","EPHB2","ASV|SRC1|c-SRC|p60-Src","CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5","Two-hybrid","physical","Zisch AH (1998)",9632142,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16154,7134,7138,112988,112992,"-","-","TNNC1","TNNT1","CMD1Z|CMH13|TN-C|TNC|TNNC","ANM|NEM5|STNT|TNT|TNTS","Two-hybrid","physical","Stefancsik R (1998)",9448267,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16305,7157,51741,113010,119707,"-","-","TP53","WWOX","BCC7|LFS1|P53|TRP53","D16S432E|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1","Two-hybrid","physical","Chang NS (2001)",11058590,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16334,7157,8556,113010,114126,"-","-","TP53","CDC14A","BCC7|LFS1|P53|TRP53","cdc14|hCDC14","Two-hybrid","physical","Li L (2000)",10644693,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16618,999,1500,107434,107881,"-","-","CDH1","CTNND1","Arc-1|CD324|CDHE|ECAD|LCAM|UVO","CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)","Two-hybrid","physical","Daniel JM (1995)",7651399,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16637,999,79872,107434,122960,"-","-","CDH1","CBLL1","Arc-1|CD324|CDHE|ECAD|LCAM|UVO","HAKAI|RNF188","Two-hybrid","physical","Fujita Y (2002)",11836526,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16797,7428,2316,113269,108605,"-","XX-FW83128A1.1","VHL","FLNA","HRCA1|RCA1|VHL1|pVHL","ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD","Two-hybrid","physical","Tsuchiya H (1996)",8674032,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16798,7428,2316,113269,108605,"-","XX-FW83128A1.1","VHL","FLNA","HRCA1|RCA1|VHL1|pVHL","ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD","Two-hybrid","physical","Zhou MI (2002)",12169691,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
16834,7515,3980,113349,110168,"-","-","XRCC1","LIG3","RCC","LIG2","Two-hybrid","physical","Whitehouse CJ (2001)",11163244,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
