Id,Type
Familial Partial Lipodystrophy Type 2,Disease
Female infertility,Disease
Influenza A virus (A/New York/392/2004(H3N2)) neuraminidase (gene: NA),Pathogen
Norovirus Hu/GII/BG1C0270/2011/BGD capsid protein VP1 (gene: VP1),Pathogen
Peripheral demyelinating neuropathy,Disease
Kyphoscoliosis deformity of spine,Disease
Congenital cataract-severe neonatal hepatopathy-global developmental delay syndrome ORPHA:521432,Disease
Gastro-esophageal reflux disease with esophagitis,Disease
SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome ORPHA:157965,Disease
HNF1B-related autosomal dominant tubulointerstitial kidney disease ORPHA:93111,Disease
X-linked intellectual disability Porteous type ORPHA:93945,Disease
Hereditary thrombocytopenia with early-onset myelofibrosis ORPHA:480851,Disease
Burning Mouth Syndrome,Disease
Freeman-Sheldon syndrome ORPHA:2053,Disease
Primary lateral sclerosis ORPHA:35689,Disease
Cystinuria type A ORPHA:93612,Disease
Neurofibromatosis 1,Disease
Human adenovirus 31 fiber protein (gene: FIber),Pathogen
Paroxysmal nocturnal hemoglobinuria ORPHA:447,Disease
Acute Myeloid Leukemia (AML-M2),Disease
Diffusely thickened skin,Disease
Alveolitis,Disease
Human metapneumovirus fusion glycoprotein precursor (gene: F),Pathogen
Japanese encephalitis virus hypothetical protein,Pathogen
CDKN2D,Gene
Hypoplastic tibiae-postaxial polydactyly syndrome ORPHA:3332,Disease
Epithelial tumor of ovary,Disease
Marburg virus - Musoke Kenya 1980 glycoprotein (gene: GP),Pathogen
Lethal hydranencephaly-diaphragmatic hernia syndrome ORPHA:480528,Disease
THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome ORPHA:363444,Disease
Hepatitis Alcoholic,Disease
Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression ORPHA:391316,Disease
Primary malignant neoplasm of lung,Disease
Adult polyglucosan body disease ORPHA:206583,Disease
PLEC-related intermediate epidermolysis bullosa simplex without extracutaneous involvement ORPHA:79401,Disease
Vaccinia virus kelch-like protein (gene: A55R),Pathogen
NON RARE IN EUROPE: Hypodontia ORPHA:2227,Disease
Male infertility due to large-headed multiflagellar polyploid spermatozoa ORPHA:137893,Disease
Squamous cell carcinoma of esophagus,Disease
Hypotrichosis Simplex,Disease
Cerebral Amyloid Angiopathy,Disease
Norovirus Hu/GII.12/HS210/2010/USA capsid protein VP1,Pathogen
KCNQ2-related epileptic encephalopathy ORPHA:439218,Disease
Colorectal Adenoma,Disease
IGA Glomerulonephritis,Disease
Condition Preneoplastic,Disease
Catel-Manzke syndrome ORPHA:1388,Disease
Norovirus Hu/GII/20469/2010/VNM protein p48 (gene: POL),Pathogen
Human gammaherpesvirus 8 ORF64 (gene: ORF64),Pathogen
Peg-shaped teeth,Disease
B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome ORPHA:75496,Disease
Familial progressive hyperpigmentation ORPHA:79146,Disease
Horsepox virus HSPV011b (ankyrin repeats),Pathogen
Idiopathic pulmonary fibrosis ORPHA:2032,Disease
MAFB,Gene
Influenza A virus (A/New York/392/2004(H3N2)) HA2 (gene: HA),Pathogen
Cowpox virus CPXV194 protein (gene: CPXV194 CDS),Pathogen
Malignant neoplasm of aortic body and other paraganglia,Disease
Influenza A virus (A/New York/602/1996(H3N2)) polymerase PB1 (gene: PB1),Pathogen
Telethonin-related  limb-girdle muscular dystrophy R7 ORPHA:34514,Disease
Relative macrocephaly,Disease
Disruptive Impulse Control and Conduct Disorders,Disease
NAE1,Gene
Biconcave vertebral bodies,Disease
Niemann-Pick disease type C severe perinatal form ORPHA:216972,Disease
Presynaptic congenital myasthenic syndromes ORPHA:98914,Disease
Titi monkey adenovirus ECC-2011 IVa2,Pathogen
Idiopathic Pulmonary Fibrosis,Disease
Periodic Hypokalemic Paresis,Disease
Mucolipidosis type III gamma ORPHA:423470,Disease
Systemic Mastocytosis,Disease
Renal glomerular disease,Disease
Palmoplantar keratoderma Nagashima type ORPHA:140966,Disease
Autosomal dominant Alport syndrome ORPHA:88918,Disease
Periodontitis Juvenile,Disease
Yunis-Varon syndrome ORPHA:3472,Disease
DIXDC1,Gene
Kyphosis deformity of spine,Disease
Influenza A virus (A/New York/599/1996(H3N2)) HA1 (gene: HA),Pathogen
Cerebral autosomal recessive arteriopathy-subcortical infarcts-leukoencephalopathy ORPHA:199354,Disease
DPAGT1-CDG ORPHA:86309,Disease
Cone-shaped epiphysis,Disease
Autism spectrum disorder due to AUTS2 deficiency ORPHA:352490,Disease
Symptomatic form of hemophilia B in female carriers ORPHA:177929,Disease
Giant Cell Glioblastoma,Disease
Infantile-onset X-linked spinal muscular atrophy ORPHA:1145,Disease
Mild cognitive disorder,Disease
Acanthosis Nigricans,Disease
Chorioretinal Atrophy,Disease
Human adenovirus 18 IVa2 protein (gene: IVa2),Pathogen
Influenza A virus (A/Northern Territory/60/1968(H3N2)) hemagglutinin (gene: HA),Pathogen
Malignant Head and Neck Neoplasm,Disease
Intracranial Astrocytoma,Disease
Classic Hodgkin lymphoma nodular sclerosis type ORPHA:98843,Disease
Traditional Serrated Adenoma,Disease
Polyarteritis Nodosa,Disease
Noonan syndrome-like disorder with juvenile myelomonocytic leukemia ORPHA:363972,Disease
Cowden syndrome ORPHA:201,Disease
Middle East respiratory syndrome-related coronavirus nsp12 protein (gene: orf1ab),Pathogen
Cowpox virus CPXV039 (gene: CPXV039 CDS),Pathogen
Autosomal dominant non-syndromic intellectual disability ORPHA:178469,Disease
Molluscum contagiosum virus subtype 1 MC152R (gene: MC152R),Pathogen
Horsepox virus HSPV014b (ankyrin repeats),Pathogen
Blood Pressure,Disease
AMYOTROPHIC LATERAL SCLEROSIS 1,Disease
Language Delay,Disease
Benign recurrent intrahepatic cholestasis type 2 ORPHA:99961,Disease
CCND3,Gene
Hyperglycemia,Disease
TLCD1,Gene
Xeroderma pigmentosum ORPHA:910,Disease
Vaccinia virus ankyrin-like protein (gene: C9L),Pathogen
Familial pseudohyperkalemia ORPHA:90044,Disease
Hyperalgesia Thermal,Disease
Nasal Type Extranodal NK/T-Cell Lymphoma,Disease
CCNB1,Gene
Pelizaeus-Merzbacher-like disease due to AIMP1 mutation ORPHA:280293,Disease
FBXO44,Gene
TMEM70-related mitochondrial encephalo-cardio-myopathy ORPHA:1194,Disease
CDH15,Gene
Rhinovirus A P2-C polypeptide,Pathogen
Thrombus,Disease
Pseudohypoparathyroidism type 1A ORPHA:79443,Disease
Human adenovirus 49 fiber,Pathogen
TCFL5,Gene
Yaba-like disease virus 34L protein (gene: 34L),Pathogen
Endometrial adenocarcinoma,Disease
Human rhinovirus QCE 2C,Pathogen
Attenuated Chediak-Higashi syndrome ORPHA:352723,Disease
Oculocerebrorenal syndrome of Lowe ORPHA:534,Disease
Familial porencephaly ORPHA:99810,Disease
Brain dopamine-serotonin vesicular transport disease ORPHA:352649,Disease
Autosomal recessive cerebelloparenchymal disorder type 3 ORPHA:1170,Disease
PRUNE1-related neurological syndrome ORPHA:544469,Disease
Large bregma sutures,Disease
TNFSF9,Gene
PPARG-related familial partial lipodystrophy ORPHA:79083,Disease
Gonadal Dysgenesis 45X,Disease
Lethal congenital contracture syndrome type 2 ORPHA:137776,Disease
Muscle Weakness,Disease
Idiopathic central precocious puberty ORPHA:169615,Disease
Melanocytic Nevus,Disease
Mucoepidermoid Carcinoma,Disease
Chuvash erythrocytosis ORPHA:238557,Disease
Hypospadias,Disease
Cubitus Valgus,Disease
Barber-Say syndrome ORPHA:1231,Disease
Abnormality of macular pigmentation,Disease
Narrow iliac wings,Disease
Dyspnea on exertion,Disease
Middle East respiratory syndrome-related coronavirus nsp1 protein (gene: orf1ab),Pathogen
Charcot-Marie-Tooth disease type 1E ORPHA:90658,Disease
Nodular Sclerosis Classical Hodgkin Lymphoma,Disease
Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome ORPHA:544488,Disease
Charcot-Marie-Tooth disease type 2S ORPHA:443073,Disease
CLU,Gene
Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088,Disease
X-linked myopathy with excessive autophagy ORPHA:25980,Disease
Carcinoma of bladder,Disease
Human adenovirus 52 IVa2 (gene: IVa2),Pathogen
Brain Ischemia,Disease
Gestational Diabetes,Disease
Aortic Valve Insufficiency,Disease
AApoAI amyloidosis ORPHA:93560,Disease
Ataxia,Disease
Malan overgrowth syndrome ORPHA:420179,Disease
Curvature of spine,Disease
Acquired Hypogammaglobulinemia,Disease
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584,Disease
Systemic arterial pressure,Disease
Clinodactyly,Disease
Persistent Mullerian duct syndrome ORPHA:2856,Disease
5q-syndrome,Disease
Malignant mesothelioma,Disease
Anxiety,Disease
Intrauterine retardation,Disease
Brugada Syndrome,Disease
Human adenovirus 64 IVa2 protein,Pathogen
Metachromatic leukodystrophy late infantile form ORPHA:309256,Disease
Ectromelia virus ERPV RNA helicase,Pathogen
Classic multiminicore myopathy ORPHA:324604,Disease
Liver diseases,Disease
Neoplasms,Disease
Murray Valley encephalitis virus NS5,Pathogen
Ischemic cardiomyopathy,Disease
Coloboma of eyelid ORPHA:98946,Disease
Male infertility due to globozoospermia ORPHA:171709,Disease
Congenital hypoplasia,Disease
Yaba monkey tumor virus MHC-like TNF binding protein,Pathogen
NON RARE IN EUROPE: Barrett esophagus ORPHA:1232,Disease
HBV genotype B preC/C protein (gene: preC/C),Pathogen
Human mastadenovirus F membrane glycoprotein E3 CR1-beta (gene: E3A),Pathogen
Human T-cell lymphotrophic virus type I [HTLV-I],Disease
Carcinoma Papillary,Disease
Distal arthrogryposis type 1 ORPHA:1146,Disease
Malignant Testicular Germ Cell Tumor,Disease
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289,Disease
Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Disease
FASTKD2-related infantile mitochondrial encephalomyopathy ORPHA:166105,Disease
Calf muscle hypertrophy,Disease
Liver Carcinoma,Disease
Mild Mental Retardation,Disease
ANP32B,Gene
Anaphylaxis (non medication),Disease
Primary central nervous system lymphoma,Disease
Yaba monkey tumor virus DNA polymerase,Pathogen
Colitis,Disease
Monkeypox virus Zaire-96-I-16 Kelch-like protein (gene: C9L),Pathogen
Neoplastic Syndromes Hereditary,Disease
Orf virus ORF026 putative IMV redox protein,Pathogen
Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Disease
Hepatitis B virus capsid protein (gene: C),Pathogen
Anaplastic Oligodendroglioma,Disease
Familial Nonmedullary Thyroid Gland Carcinoma,Disease
Autosomal recessive bestrophinopathy ORPHA:139455,Disease
PERIODONTITIS LOCALIZED AGGRESSIVE,Disease
Localized epidermolysis bullosa simplex ORPHA:79400,Disease
Osteoporosis Postmenopausal,Disease
Wooly hair,Disease
Familial cerebral saccular aneurysm ORPHA:231160,Disease
TSPAN5,Gene
Gastric Adenocarcinoma,Disease
Congenital pectus carinatum,Disease
Oral Cavity Carcinoma,Disease
Iron deficiency,Disease
Xeroderma pigmentosum-Cockayne syndrome complex ORPHA:220295,Disease
Human alphaherpesvirus 2 DNA replication origin-binding helicase (gene: UL9),Pathogen
Anaplastic large B-cell lymphoma,Disease
Low posterior hairline,Disease
Vascular occlusion,Disease
Heart Failure,Disease
Venous Engorgement,Disease
Familial generalized lipodystrophy,Disease
Rotting teeth,Disease
Encephalitis,Disease
NES,Gene
Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency ORPHA:319569,Disease
neurofibroma,Disease
Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism ORPHA:100034,Disease
Congenital Exomphalos,Disease
Hyper-IgM syndrome type 3 ORPHA:101090,Disease
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,Disease
Horsepox virus HSPV035 (ankyrin repeats),Pathogen
Warsaw breakage syndrome ORPHA:280558,Disease
Aromatase deficiency ORPHA:91,Disease
Human betaherpesvirus 6 U85 OX-2 homologue (gene: U85),Pathogen
Granular corneal dystrophy type I ORPHA:98962,Disease
Norovirus Hu/GII.4/NIHIC1.16/2012/USA capsid protein VP1 (gene: VP1),Pathogen
King-Denborough syndrome ORPHA:99741,Disease
Neurilemmoma,Disease
Hereditary hyperferritinemia-cataract syndrome ORPHA:163,Disease
Sotos syndrome ORPHA:821,Disease
Atypical chronic myeloid leukemia ORPHA:98824,Disease
Congenital bile acid synthesis defect type 2 ORPHA:79303,Disease
Perlman syndrome ORPHA:2849,Disease
Peutz-Jeghers syndrome ORPHA:2869,Disease
Low Grade Lymphoma (neoplasm),Disease
LATE-ONSET RETINAL DEGENERATION (disorder),Disease
Hyperlipidemia due to hepatic triacylglycerol lipase deficiency ORPHA:140905,Disease
Norovirus Hu/Norwalk/20142/2009/VNM capsid protein VP1 (gene: VP1),Pathogen
46XY gonadal dysgenesis-motor and sensory neuropathy syndrome ORPHA:168563,Disease
METTL18,Gene
Menkes disease ORPHA:565,Disease
Cleft Lip With Or Without Cleft Palate,Disease
Small adrenal gland,Disease
Hypoplasia of corpus callosum,Disease
Spinocerebellar ataxia type 15/16 ORPHA:98769,Disease
Premature coronary artery disease,Disease
ATP13A2-related juvenile neuronal ceroid lipofuscinosis ORPHA:314632,Disease
Early-onset autosomal dominant Alzheimer disease ORPHA:1020,Disease
Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome ORPHA:95433,Disease
Aphthous Ulcer,Disease
3)(q21,Disease
Human adenovirus 21a 100 kDa hexon-assembly associated protein (gene: L4),Pathogen
Drug-Induced Stevens Johnson Syndrome,Disease
Focal glomerulosclerosis,Disease
Extraskeletal Ewing sarcoma ORPHA:370334,Disease
Plasmacytoma,Disease
Congenital hypoplasia of radius,Disease
Norovirus Hu/Norwalk/10223/2009/VNM capsid protein VP1 (gene: VP1),Pathogen
Dengue virus 3 membrane glycoprotein M (gene: flavivirus polyprotein),Pathogen
Pemphigoid Benign Mucous Membrane,Disease
M5b Acute differentiated monocytic leukemia,Disease
Dermatopathia pigmentosa reticularis ORPHA:86920,Disease
SNX29,Gene
Knee joint valgus deformity,Disease
Mitochondrial encephalopathy,Disease
Variola virus hypothetical protein (gene: F8L),Pathogen
Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome ORPHA:228012,Disease
Aneurysm Dissecting,Disease
Diabetes Mellitus Non-Insulin-Dependent,Disease
Lupus Erythematosus Discoid,Disease
Pituitary gigantism ORPHA:99725,Disease
Contracture of joint,Disease
Extrahepatic Cholangiocarcinoma,Disease
TCAP,Gene
Hereditary neuroendocrine tumor of small intestine ORPHA:456333,Disease
Broad foot,Disease
Nodular glomerulosclerosis,Disease
Fair hair,Disease
Spina Bifida,Disease
Melorheostosis with osteopoikilosis ORPHA:1879,Disease
Multiple pulmonary infections,Disease
Eczema,Disease
Mitochondrial non-syndromic sensorineural deafness ORPHA:90641,Disease
Extrapyramidal sign,Disease
Gout,Disease
Platyspondyly,Disease
Norovirus Hu/GII.4/Jiangsu1/2011/CHN major capsid protein,Pathogen
Chronic Lymphocytic Leukemia,Disease
Norovirus Hu/GII.4/Guangzhou/GZ2010-L91/CHN/2011 major viral capsid protein,Pathogen
MYO5B-related progressive familial intrahepatic cholestasis ORPHA:480491,Disease
Charcot-Marie-Tooth disease type 2H ORPHA:101102,Disease
Mal de Meleda ORPHA:87503,Disease
Papiine alphaherpesvirus 2 helicase-primase helicase subunit (gene: UL5),Pathogen
Lymphoma Small Noncleaved-Cell,Disease
CTCF,Gene
Adenoma,Disease
Irritation - emotion,Disease
Ovarian Cancer,Disease
3C syndrome ORPHA:7,Disease
Involuntary dystonic or choreiform movements,Disease
Central blindness,Disease
Marginal Zone B-Cell Lymphoma,Disease
Tatton-Brown-Rahman syndrome ORPHA:404443,Disease
Paroxysmal nocturnal hemoglobinuria,Disease
Sezary syndrome ORPHA:3162,Disease
Reynolds syndrome ORPHA:779,Disease
FXR2,Gene
Acute Undifferentiated Leukemia,Disease
Human adenovirus 22 DNA binding protein (gene: E2A),Pathogen
Hereditary site-specific ovarian cancer syndrome ORPHA:213524,Disease
Monilethrix ORPHA:573,Disease
Norovirus Hu/GII/BG1C0066/2011/BGD capsid protein VP1 (gene: VP1),Pathogen
Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome ORPHA:440354,Disease
SARS coronavirus nsp13-pp1ab (ZD NTPase/HEL,Pathogen
Hypoplasia Of Optic Disc,Disease
Neuroepithelial Perineurial and Schwann Cell Neoplasm,Disease
NON RARE IN EUROPE: Specific language impairment ORPHA:458713,Disease
Papiine alphaherpesvirus 2 tegument protein VP22 (gene: UL49),Pathogen
Congenital Pectus Carinatum,Disease
Hemoglobin low,Disease
MRPL19,Gene
Neuroectodermal Tumor Primitive,Disease
Classic mycosis fungoides ORPHA:2584,Disease
Endometrioma,Disease
aggressive cancer,Disease
Chronic granulomatous disease,Disease
Congenital muscular dystrophy due to LMNA mutation ORPHA:157973,Disease
Low Tension Glaucoma,Disease
Atherosclerosis,Disease
Myotonia fluctuans ORPHA:99734,Disease
Hereditary breast cancer ORPHA:227535,Disease
Gastric Polyposis,Disease
Oculomotor apraxia,Disease
Abnormally small eyeball,Disease
Human adenovirus 2 IVa2,Pathogen
Shprintzen-Goldberg syndrome ORPHA:2462,Disease
Hypersensitive syndrome,Disease
Abnormality of vision,Disease
Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome ORPHA:444463,Disease
Spinocerebellar ataxia type 17 ORPHA:98759,Disease
Neoplasms Neuroepithelial,Disease
Progressive myoclonic epilepsy type 3 ORPHA:263516,Disease
Cerebellar vermis hypoplasia,Disease
Histiocytoid Cardiomyopathy,Disease
Anemia Diamond-Blackfan,Disease
RERE-related neurodevelopmental syndrome ORPHA:494344,Disease
Night Blindness,Disease
Thymoma,Disease
Cerebellar-facial-dental syndrome ORPHA:444072,Disease
Congenital dyserythropoietic anemia,Disease
Female sterility,Disease
Hyperimmunoglobulinemia D with periodic fever ORPHA:343,Disease
Human alphaherpesvirus 2 tegument protein VP22 (gene: UL49),Pathogen
Cleft hard palate ORPHA:101023,Disease
Chorioretinal atrophy,Disease
Atypical teratoid rhabdoid tumor ORPHA:99966,Disease
C2CD2L,Gene
