Gene,Disease
ARL2BP,Stomach Carcinoma
BBC3,"Colorectal Carcinoma, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Hematopoietic Neoplasms, Epithelial ovarian cancer, Esophagus Neoplasm"
BMF,"Colorectal Carcinoma, Colorectal Cancer, Lymphocytic Leukemia"
C1QL1,"Breast Carcinoma, Malignant neoplasm of breast"
CA11,"Breast Carcinoma, Stomach Carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
CA2,"Breast Carcinoma, melanoma, Adenocarcinoma, Malignant neoplasm of stomach, Esophagus Neoplasm"
CASP7,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Breast Cancer"
CCND1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Pre B-cell acute lymphoblastic leukemia, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Carcinoma, Urologic Neoplasms, Hematopoietic Neoplasms, Epithelial ovarian cancer, Brain Tumor, Skin carcinoma, Cancer of Urinary Tract, Esophagus Neoplasm, Urinary Tract Cancer, Anaplastic Carcinoma, Breast Cancer, Lymphocytic Leukemia, Chondrosarcoma ORPHA:55880, Hereditary papillary renal cell carcinoma ORPHA:47044, Dermatofibrosarcoma protuberans ORPHA:31112, Pediatric hepatocellular carcinoma ORPHA:33402"
CEACAM19,"Breast Carcinoma, Malignant neoplasm of breast"
CENPE,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, melanoma, Malignant neoplasm of breast, Hereditary breast cancer ORPHA:227535, Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
CHST11,"Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Tumor Progression, Malignant neoplasm of breast, Malignant neoplasm of ovary"
CLSPN,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Malignant neoplasm of breast, Breast Cancer, Hereditary breast cancer ORPHA:227535, Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
CNTNAP1,"Breast Carcinoma, Pre B-cell acute lymphoblastic leukemia"
COL12A1,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Malignant neoplasm of breast, Chondrosarcoma ORPHA:55880, Papillary renal cell carcinoma ORPHA:319298, Hereditary papillary renal cell carcinoma ORPHA:47044, Dermatofibrosarcoma protuberans ORPHA:31112, Pediatric hepatocellular carcinoma ORPHA:33402"
COL5A2,"Colorectal Carcinoma, Colorectal Cancer, Chondrosarcoma ORPHA:55880, Dermatofibrosarcoma protuberans ORPHA:31112"
CORO1A,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of ovary, Carcinoma, Anaplastic Carcinoma"
CPEB4,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Adenocarcinoma, Malignant neoplasm of breast"
CTSD,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary"
CYP24A1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, melanoma, Adenocarcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Breast Cancer"
CYP4F2,"Ovarian Carcinoma, Malignant neoplasm of ovary"
DEPDC1B,"Hereditary breast cancer ORPHA:227535, Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
DOCK11,Breast Carcinoma
E2F7,"Breast Carcinoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
EFR3B,Breast Carcinoma
EHF,"Ovarian Carcinoma, Tumor Progression, Stomach Carcinoma, Malignant neoplasm of stomach, Epithelial ovarian cancer"
ENC1,"Colorectal Carcinoma, Mammary Neoplasms"
ENG,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Carcinoma, Epithelial ovarian cancer"
ESCO2,"Stomach Carcinoma, Malignant neoplasm of stomach, Hereditary breast cancer ORPHA:227535"
FGF19,"Breast Carcinoma, Tumor Progression, Squamous cell carcinoma, Malignant neoplasm of breast"
FHIT,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Carcinoma, Urologic Neoplasms, Hematopoietic Neoplasms, Epithelial ovarian cancer, Brain Tumor, Skin carcinoma, Cancer of Urinary Tract, Urinary Tract Cancer, Anaplastic Carcinoma"
FRAT2,"Stomach Carcinoma, Malignant neoplasm of stomach"
FZD1,"Breast Carcinoma, Invasive carcinoma of breast, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of esophagus"
GAL,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Squamous cell carcinoma, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach"
GLI2,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive Ductal Breast Carcinoma, Tumor Progression, Stomach Carcinoma, melanoma, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Skin carcinoma"
GPNMB,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Tumor Progression, melanoma, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of ovary, Breast Cancer"
GPR37,"melanoma, Lymphocytic Leukemia"
GRAMD1B,"Breast Carcinoma, Lymphocytic Leukemia"
H2AX,"Breast Carcinoma, Mammary Neoplasms, Breast Cancer"
HPSE,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Epithelial ovarian cancer, Breast Cancer"
HS3ST1,Tumor Progression
HTATIP2,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, melanoma, Squamous cell carcinoma, Malignant neoplasm of breast"
HYAL1,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Tumor Progression, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of ovary, Epithelial ovarian cancer"
ICA1,"Colorectal Carcinoma, Colorectal Cancer"
ID2,"Ovarian Carcinoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of ovary"
IL22RA1,"Colorectal Carcinoma, Colorectal Cancer"
IQGAP2,"Ovarian Carcinoma, Stomach Carcinoma, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Brain Tumor"
ISL1,"Breast Carcinoma, Stomach Carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
ITGA2,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Hereditary papillary renal cell carcinoma ORPHA:47044, Pediatric hepatocellular carcinoma ORPHA:33402"
KAT2B,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Stomach Carcinoma, Pre B-cell acute lymphoblastic leukemia, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary"
KBTBD8,"Malignant neoplasm of breast, Breast Cancer"
KCNN4,Breast Carcinoma
KITLG,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Carcinoma, Anaplastic Carcinoma, Papillary renal cell carcinoma ORPHA:319298, Hereditary papillary renal cell carcinoma ORPHA:47044, Pediatric hepatocellular carcinoma ORPHA:33402"
KRT13,"Breast Carcinoma, Tumor Progression, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Esophagus Neoplasm"
KRT23,"Colorectal Carcinoma, Colorectal Cancer, Adenocarcinoma"
LAMA3,"Mammary Neoplasms, Ovarian Carcinoma, Stomach Carcinoma, Adenocarcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Epithelial ovarian cancer, Papillary renal cell carcinoma ORPHA:319298, Hereditary papillary renal cell carcinoma ORPHA:47044"
LAMP3,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Epithelial ovarian cancer"
LIFR,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
LPAR5,"melanoma, Fibrosarcoma"
LRIG1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of ovary"
LZTS1,"Colorectal Carcinoma, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Esophagus Neoplasm"
ME1,"Breast Carcinoma, Colorectal Cancer, Epithelial ovarian cancer, Papillary renal cell carcinoma ORPHA:319298"
MICB,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Malignant neoplasm of breast"
MIR100HG,"Breast Carcinoma, Malignant neoplasm of breast"
MIR17HG,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Hematopoietic Neoplasms"
MKNK2,"Breast Carcinoma, Malignant neoplasm of breast"
MT1E,"Mammary Neoplasms, Breast Carcinoma, Invasive Ductal Breast Carcinoma, Malignant neoplasm of breast"
NEU1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, melanoma, Adenocarcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Epithelial ovarian cancer"
NGFR,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Epithelial ovarian cancer"
NOLC1,"Colorectal Carcinoma, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Epithelial ovarian cancer"
NR4A2,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
NRIP1,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Adenocarcinoma, Malignant neoplasm of breast, Malignant neoplasm of ovary, Breast Cancer"
OGFR,"Ovarian Carcinoma, Tumor Progression, Malignant neoplasm of ovary"
OIP5,"Breast Carcinoma, Stomach Carcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus"
P2RX7,"Mammary Neoplasms, Breast Carcinoma, Colorectal Cancer, Tumor Progression, melanoma, Adenocarcinoma, Malignant neoplasm of breast, Hematopoietic Neoplasms, Lymphocytic Leukemia"
P3H2,"Breast Carcinoma, melanoma, Malignant neoplasm of breast, Breast Cancer"
PADI3,"Malignant neoplasm of breast, Breast Cancer"
PBX1,"Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Stomach Carcinoma, melanoma, Squamous cell carcinoma, Pre B-cell acute lymphoblastic leukemia, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of ovary, Hematopoietic Neoplasms"
PDE4B,"Colorectal Carcinoma, Colorectal Cancer"
PDGFB,"Mammary Neoplasms, Breast Carcinoma, melanoma, ovarian neoplasm, Fibrosarcoma, Skin carcinoma, Dermatofibrosarcoma protuberans ORPHA:31112"
PIR,melanoma
PLEKHD1,"Breast Carcinoma, Mammary Neoplasms, Breast Cancer"
PLK2,"Ovarian Carcinoma, Tumor Progression, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of ovary, Carcinoma, Epithelial ovarian cancer, Anaplastic Carcinoma, Chondrosarcoma ORPHA:55880, Pediatric hepatocellular carcinoma ORPHA:33402"
PLSCR4,Papillary renal cell carcinoma ORPHA:319298
PPP1R14B,melanoma
PRMT6,"Mammary Neoplasms, Breast Carcinoma, Tumor Progression, melanoma, Malignant neoplasm of breast"
PRR15,"Colorectal Carcinoma, Colorectal Cancer"
PRSS23,"Breast Carcinoma, Tumor Progression, melanoma, Malignant neoplasm of breast"
PSMB9,"melanoma, ovarian neoplasm"
PURPL,"Colorectal Carcinoma, Colorectal Cancer"
RGL1,"Malignant neoplasm of breast, Breast Cancer"
RGS6,"Mammary Neoplasms, Breast Carcinoma, Tumor Progression, Malignant neoplasm of breast"
RHOBTB3,Tumor Progression
RHOU,"Mammary Neoplasms, Stomach Carcinoma, Malignant neoplasm of stomach, Lymphocytic Leukemia"
RPSAP52,"Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
RTKN2,Breast Carcinoma
S100A14,"Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Tumor Progression, Stomach Carcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary"
SCG2,"melanoma, Adenocarcinoma"
SETD7,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Stomach Carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
SHCBP1,"Tumor Progression, melanoma, Hereditary breast cancer ORPHA:227535, Dedifferentiated liposarcoma ORPHA:99970, Well-differentiated liposarcoma ORPHA:99971"
SIX2,"Breast Carcinoma, Malignant neoplasm of breast"
SKAP1,"Ovarian Carcinoma, ovarian neoplasm, Malignant neoplasm of ovary, Epithelial ovarian cancer"
SKIL,"melanoma, Squamous cell carcinoma"
SLC22A18,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of esophagus, Breast Cancer, Hereditary breast cancer ORPHA:227535"
SMAD6,"Ovarian Carcinoma, Squamous cell carcinoma, Malignant neoplasm of ovary"
SMAD7,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Squamous cell carcinoma, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Epithelial ovarian cancer"
SNAI2,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Epithelial ovarian cancer, Skin carcinoma, Esophagus Neoplasm, Breast Cancer, Chondrosarcoma ORPHA:55880, Papillary renal cell carcinoma ORPHA:319298"
SNCG,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Carcinoma, Epithelial ovarian cancer, Anaplastic Carcinoma, Breast Cancer"
SORBS1,"Colorectal Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Malignant neoplasm of breast, Epithelial ovarian cancer, Breast Cancer"
SORL1,"Colorectal Cancer, Malignant neoplasm of breast, Breast Cancer"
SORT1,"Colorectal Carcinoma, Breast Carcinoma, Colorectal Cancer, Malignant neoplasm of breast"
SPC25,Hereditary breast cancer ORPHA:227535
STN1,"Colorectal Carcinoma, Colorectal Cancer, melanoma, Epithelial ovarian cancer"
SULT1A1,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Urologic Neoplasms, Brain Tumor, Cancer of Urinary Tract, Urinary Tract Cancer, Breast Cancer"
SUSD4,"Breast Carcinoma, Tumor Progression, Malignant neoplasm of breast"
TET1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Hematopoietic Neoplasms, Epithelial ovarian cancer"
TFAP4,"Colorectal Carcinoma, Colorectal Cancer"
TGM2,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Epithelial ovarian cancer, Brain Tumor, Esophagus Neoplasm, Breast Cancer"
THBS1,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Invasive Ductal Breast Carcinoma, Colorectal Cancer, Tumor Progression, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of ovary, Epithelial ovarian cancer, Skin carcinoma, Cancer of Urinary Tract, Breast Cancer, Chondrosarcoma ORPHA:55880"
TIMP2,"Colorectal Carcinoma, Mammary Neoplasms, Ovarian Carcinoma, Breast Carcinoma, Invasive carcinoma of breast, Colorectal Cancer, Stomach Carcinoma, melanoma, Adenocarcinoma, Squamous cell carcinoma, Esophageal Neoplasms, ovarian neoplasm, Malignant neoplasm of breast, Fibrosarcoma, Malignant neoplasm of stomach, Malignant neoplasm of esophagus, Malignant neoplasm of ovary, Epithelial ovarian cancer"
TNFSF9,"Colorectal Carcinoma, Ovarian Carcinoma, Colorectal Cancer, Adenocarcinoma, Malignant neoplasm of stomach, Epithelial ovarian cancer"
TPM4,"Invasive Ductal Breast Carcinoma, Esophageal Neoplasms, Malignant neoplasm of breast, Malignant neoplasm of esophagus, Esophagus Neoplasm, Breast Cancer"
TRAK2,Breast Carcinoma
TRIB3,"Colorectal Carcinoma, Mammary Neoplasms, Breast Carcinoma, Colorectal Cancer, Stomach Carcinoma, Malignant neoplasm of breast, Malignant neoplasm of stomach"
TSC22D1,"Mammary Neoplasms, Carcinoma, Anaplastic Carcinoma"
UQCC1,"Malignant neoplasm of breast, Breast Cancer"
VGLL3,"Ovarian Carcinoma, Breast Carcinoma, Malignant neoplasm of ovary, Epithelial ovarian cancer"
WNT16,"Mammary Neoplasms, Colorectal Cancer"
WNT9A,Mammary Neoplasms
ZCCHC12,Esophagus Neoplasm
ZNF703,"Mammary Neoplasms, Breast Carcinoma, Malignant neoplasm of breast"
