Gene,Disease,Category
LAMA3,Adenocarcinoma,Cancer
LAMA3,Malignant neoplasm of breast,Cancer
LAMA3,Malignant neoplasm of stomach,Cancer
LAMA3,Epithelial ovarian cancer,Cancer
LAMA3,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
LAMA3,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
LAMA3,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
LAMA3,Papillary renal cell carcinoma ORPHA:319298,Cancer
LAMA3,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
LAMA3,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
LAMA3,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
PLK2,Ovarian Carcinoma,Cancer
PLK2,Tumor Progression,Cancer
PLK2,Adenocarcinoma,Cancer
PLK2,Squamous cell carcinoma,Cancer
PLK2,Malignant neoplasm of ovary,Cancer
PLK2,Carcinoma,Cancer
PLK2,Epithelial ovarian cancer,Cancer
PLK2,Anaplastic Carcinoma,Cancer
PLK2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
PLK2,Chondrosarcoma ORPHA:55880,Cancer
PLK2,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
PRSS23,Breast Carcinoma,Cancer
PRSS23,Tumor Progression,Cancer
PRSS23,melanoma,Cancer
PRSS23,Malignant neoplasm of breast,Cancer
PRSS23,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
PRSS23,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
PRSS23,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
S100A14,Ovarian Carcinoma,Cancer
S100A14,Breast Carcinoma,Cancer
S100A14,Invasive carcinoma of breast,Cancer
S100A14,Tumor Progression,Cancer
S100A14,Stomach Carcinoma,Cancer
S100A14,Squamous cell carcinoma,Cancer
S100A14,Esophageal Neoplasms,Cancer
S100A14,ovarian neoplasm,Cancer
S100A14,Malignant neoplasm of breast,Cancer
S100A14,Malignant neoplasm of stomach,Cancer
S100A14,Malignant neoplasm of esophagus,Cancer
S100A14,Malignant neoplasm of ovary,Cancer
S100A14,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
S100A14,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
S100A14,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
SNAI2,Colorectal Carcinoma,Cancer
SNAI2,Mammary Neoplasms,Cancer
SNAI2,Ovarian Carcinoma,Cancer
SNAI2,Breast Carcinoma,Cancer
SNAI2,Colorectal Cancer,Cancer
SNAI2,Tumor Progression,Cancer
SNAI2,Stomach Carcinoma,Cancer
SNAI2,melanoma,Cancer
SNAI2,Adenocarcinoma,Cancer
SNAI2,Squamous cell carcinoma,Cancer
SNAI2,Esophageal Neoplasms,Cancer
SNAI2,Malignant neoplasm of breast,Cancer
SNAI2,Malignant neoplasm of stomach,Cancer
SNAI2,Malignant neoplasm of esophagus,Cancer
SNAI2,Malignant neoplasm of ovary,Cancer
SNAI2,Epithelial ovarian cancer,Cancer
SNAI2,Skin carcinoma,Cancer
SNAI2,Breast Carcinoma,Cancer
SNAI2,Esophagus Neoplasm,Cancer
SNAI2,Mammary Neoplasms,Cancer
SNAI2,Breast Cancer,Cancer
SNAI2,Chondrosarcoma ORPHA:55880,Cancer
SNAI2,Papillary renal cell carcinoma ORPHA:319298,Cancer
SNAI2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
SNAI2,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
SNAI2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
SNAI2,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
THBS1,Colorectal Carcinoma,Cancer
THBS1,Mammary Neoplasms,Cancer
THBS1,Ovarian Carcinoma,Cancer
THBS1,Breast Carcinoma,Cancer
THBS1,Invasive carcinoma of breast,Cancer
THBS1,Invasive Ductal Breast Carcinoma,Cancer
THBS1,Colorectal Cancer,Cancer
THBS1,Tumor Progression,Cancer
THBS1,Stomach Carcinoma,Cancer
THBS1,melanoma,Cancer
THBS1,Adenocarcinoma,Cancer
THBS1,Squamous cell carcinoma,Cancer
THBS1,Malignant neoplasm of breast,Cancer
THBS1,Fibrosarcoma,Cancer
THBS1,Malignant neoplasm of stomach,Cancer
THBS1,Malignant neoplasm of ovary,Cancer
THBS1,Epithelial ovarian cancer,Cancer
THBS1,Skin carcinoma,Cancer
THBS1,Cancer of Urinary Tract,Cancer
THBS1,Breast Carcinoma,Cancer
THBS1,Mammary Neoplasms,Cancer
THBS1,Breast Cancer,Cancer
THBS1,Chondrosarcoma ORPHA:55880,Cancer
THBS1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
AMOTL2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
AMOTL2,Chondrosarcoma ORPHA:55880,Cancer
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
AMOTL2,Papillary renal cell carcinoma ORPHA:319298,Cancer
AMOTL2,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
AMOTL2,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
AMOTL2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
AMOTL2,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
AMOTL2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
AMOTL2,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
AMOTL2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
AMOTL2,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL12A1,Colorectal Carcinoma,Cancer
COL12A1,Breast Carcinoma,Cancer
COL12A1,Colorectal Cancer,Cancer
COL12A1,Malignant neoplasm of breast,Cancer
COL12A1,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
COL12A1,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
COL12A1,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
COL12A1,Chondrosarcoma ORPHA:55880,Cancer
COL12A1,Papillary renal cell carcinoma ORPHA:319298,Cancer
COL12A1,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
COL12A1,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
COL12A1,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
COL12A1,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL12A1,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
COL12A1,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL12A1,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
COL12A1,Familial primary localized cutaneous amyloidosis ORPHA:353220,Rare Diseases
COL12A1,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
COL12A1,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
COL5A2,Colorectal Carcinoma,Cancer
COL5A2,Colorectal Cancer,Cancer
COL5A2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
COL5A2,Chondrosarcoma ORPHA:55880,Cancer
COL5A2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
COL5A2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
COL5A2,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
COL5A2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
LIFR,Colorectal Carcinoma,Cancer
LIFR,Mammary Neoplasms,Cancer
LIFR,Ovarian Carcinoma,Cancer
LIFR,Breast Carcinoma,Cancer
LIFR,Colorectal Cancer,Cancer
LIFR,Stomach Carcinoma,Cancer
LIFR,melanoma,Cancer
LIFR,Malignant neoplasm of breast,Cancer
LIFR,Malignant neoplasm of stomach,Cancer
LIFR,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
LIFR,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
LIFR,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
LIFR,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
LIFR,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
LIFR,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
PCDH7,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
PLSCR4,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
PLSCR4,Papillary renal cell carcinoma ORPHA:319298,Cancer
PLSCR4,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
PLSCR4,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
PLSCR4,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
AANAT,Colorectal Carcinoma,Cancer
AANAT,Breast Carcinoma,Cancer
AANAT,Colorectal Cancer,Cancer
AANAT,melanoma,Cancer
AANAT,Malignant neoplasm of breast,Cancer
ABCB1,Colorectal Carcinoma,Cancer
ABCB1,Mammary Neoplasms,Cancer
ABCB1,Ovarian Carcinoma,Cancer
ABCB1,Breast Carcinoma,Cancer
ABCB1,Invasive carcinoma of breast,Cancer
ABCB1,Colorectal Cancer,Cancer
ABCB1,Tumor Progression,Cancer
ABCB1,Stomach Carcinoma,Cancer
ABCB1,melanoma,Cancer
ABCB1,Adenocarcinoma,Cancer
ABCB1,Squamous cell carcinoma,Cancer
ABCB1,Esophageal Neoplasms,Cancer
ABCB1,ovarian neoplasm,Cancer
ABCB1,Malignant neoplasm of breast,Cancer
ABCB1,Fibrosarcoma,Cancer
ABCB1,Malignant neoplasm of stomach,Cancer
ABCB1,Malignant neoplasm of esophagus,Cancer
ABCB1,Malignant neoplasm of ovary,Cancer
ABCB1,Carcinoma,Cancer
ABCB1,Hematopoietic Neoplasms,Cancer
ABCB1,Epithelial ovarian cancer,Cancer
ABCB1,Brain Tumor,Cancer
ABCB1,Breast Carcinoma,Cancer
ABCB1,Esophagus Neoplasm,Cancer
ABCB1,Mammary Neoplasms,Cancer
ABCB1,Anaplastic Carcinoma,Cancer
ABCB1,Breast Cancer,Cancer
ABCC2,Colorectal Carcinoma,Cancer
ABCC2,Mammary Neoplasms,Cancer
ABCC2,Ovarian Carcinoma,Cancer
ABCC2,Breast Carcinoma,Cancer
ABCC2,Colorectal Cancer,Cancer
ABCC2,Stomach Carcinoma,Cancer
ABCC2,melanoma,Cancer
ABCC2,Adenocarcinoma,Cancer
ABCC2,Squamous cell carcinoma,Cancer
ABCC2,Malignant neoplasm of breast,Cancer
ABCC2,Fibrosarcoma,Cancer
ABCC2,Malignant neoplasm of ovary,Cancer
ABCC2,Hematopoietic Neoplasms,Cancer
ABCC2,Epithelial ovarian cancer,Cancer
ABCC2,Esophagus Neoplasm,Cancer
ACSL5,Colorectal Carcinoma,Cancer
ACSL5,Colorectal Cancer,Cancer
ACSL5,Adenocarcinoma,Cancer
ACTA2,Mammary Neoplasms,Cancer
ACTA2,Breast Carcinoma,Cancer
ACTA2,Adenocarcinoma,Cancer
ACTA2,Malignant neoplasm of breast,Cancer
ACTA2,Breast Carcinoma,Cancer
ACTA2,Mammary Neoplasms,Cancer
ACTA2,Breast Cancer,Cancer
ACTA2,Lymphocytic Leukemia,Cancer
ADAM15,Colorectal Carcinoma,Cancer
ADAM15,Mammary Neoplasms,Cancer
ADAM15,Breast Carcinoma,Cancer
ADAM15,Tumor Progression,Cancer
ADAM15,Stomach Carcinoma,Cancer
ADAM15,melanoma,Cancer
ADAM15,Adenocarcinoma,Cancer
ADAM15,Squamous cell carcinoma,Cancer
ADAM15,ovarian neoplasm,Cancer
ADAM15,Malignant neoplasm of breast,Cancer
ADAM15,Malignant neoplasm of stomach,Cancer
ADAMTS14,Colorectal Carcinoma,Cancer
ADAMTS14,Colorectal Cancer,Cancer
ADAMTS15,Colorectal Carcinoma,Cancer
ADAMTS15,Breast Carcinoma,Cancer
ADAMTS15,Colorectal Cancer,Cancer
ADAMTS15,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
AFAP1L2,Colorectal Carcinoma,Cancer
AFAP1L2,Colorectal Cancer,Cancer
AFAP1L2,Stomach Carcinoma,Cancer
AFAP1L2,melanoma,Cancer
AFAP1L2,Malignant neoplasm of stomach,Cancer
AMOTL2,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504,Rare Diseases
AMOTL2,Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118,Associated with Dysbiosis
AMOTL2,Severe generalized junctional epidermolysis bullosa ORPHA:79404,Rare Diseases
AMOTL2,Chondrosarcoma ORPHA:55880,Cancer
AMOTL2,Kindler epidermolysis bullosa ORPHA:2908,Rare Diseases
AMOTL2,Papillary renal cell carcinoma ORPHA:319298,Cancer
AMOTL2,Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1A ORPHA:101081,Rare Diseases
AMOTL2,Charcot-Marie-Tooth disease type 1E ORPHA:90658,Rare Diseases
AMOTL2,Hereditary papillary renal cell carcinoma ORPHA:47044,Cancer
AMOTL2,Myopathic Ehlers-Danlos syndrome ORPHA:536516,Rare Diseases
AMOTL2,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255,Associated with Dysbiosis
AMOTL2,Autosomal recessive generalized dystrophic epidermolysis bullosa,Rare Diseases
AMOTL2,Dermatofibrosarcoma protuberans ORPHA:31112,Cancer
AMOTL2,Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Rare Diseases
AMOTL2,Pediatric hepatocellular carcinoma ORPHA:33402,Cancer
AMOTL2,Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Neurological Diseases
APOBEC3B,Mammary Neoplasms,Cancer
APOBEC3B,Ovarian Carcinoma,Cancer
APOBEC3B,Breast Carcinoma,Cancer
APOBEC3B,Stomach Carcinoma,Cancer
APOBEC3B,melanoma,Cancer
APOBEC3B,Adenocarcinoma,Cancer
APOBEC3B,Squamous cell carcinoma,Cancer
APOBEC3B,Malignant neoplasm of breast,Cancer
APOBEC3B,Malignant neoplasm of stomach,Cancer
APOBEC3B,Malignant neoplasm of ovary,Cancer
APOBEC3B,Epithelial ovarian cancer,Cancer
APOBEC3B,Breast Carcinoma,Cancer
APOBEC3B,Mammary Neoplasms,Cancer
APOBEC3B,Breast Cancer,Cancer
APOLD1,Adenocarcinoma,Cancer
ARL2BP,Stomach Carcinoma,Cancer
BBC3,Colorectal Carcinoma,Cancer
BBC3,Ovarian Carcinoma,Cancer
BBC3,Breast Carcinoma,Cancer
BBC3,Colorectal Cancer,Cancer
BBC3,Tumor Progression,Cancer
BBC3,Stomach Carcinoma,Cancer
BBC3,melanoma,Cancer
BBC3,Adenocarcinoma,Cancer
BBC3,Squamous cell carcinoma,Cancer
BBC3,Esophageal Neoplasms,Cancer
BBC3,Malignant neoplasm of breast,Cancer
BBC3,Malignant neoplasm of stomach,Cancer
BBC3,Malignant neoplasm of esophagus,Cancer
BBC3,Malignant neoplasm of ovary,Cancer
BBC3,Hematopoietic Neoplasms,Cancer
BBC3,Epithelial ovarian cancer,Cancer
BBC3,Esophagus Neoplasm,Cancer
BMF,Colorectal Carcinoma,Cancer
BMF,Colorectal Cancer,Cancer
BMF,Lymphocytic Leukemia,Cancer
C1QL1,Breast Carcinoma,Cancer
C1QL1,Malignant neoplasm of breast,Cancer
CA11,Breast Carcinoma,Cancer
CA11,Stomach Carcinoma,Cancer
CA11,Malignant neoplasm of breast,Cancer
CA11,Malignant neoplasm of stomach,Cancer
CA2,Breast Carcinoma,Cancer
CA2,melanoma,Cancer
CA2,Adenocarcinoma,Cancer
CA2,Malignant neoplasm of stomach,Cancer
CA2,Esophagus Neoplasm,Cancer
CASP7,Colorectal Carcinoma,Cancer
CASP7,Mammary Neoplasms,Cancer
CASP7,Breast Carcinoma,Cancer
CASP7,Colorectal Cancer,Cancer
CASP7,Stomach Carcinoma,Cancer
CASP7,melanoma,Cancer
CASP7,Malignant neoplasm of breast,Cancer
CASP7,Malignant neoplasm of stomach,Cancer
CASP7,Breast Carcinoma,Cancer
CASP7,Mammary Neoplasms,Cancer
CASP7,Breast Cancer,Cancer
CCND1,Colorectal Carcinoma,Cancer
CCND1,Mammary Neoplasms,Cancer
CCND1,Ovarian Carcinoma,Cancer
CCND1,Breast Carcinoma,Cancer
CCND1,Invasive carcinoma of breast,Cancer
