Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
APOBEC3B,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Stomach Carcinoma; Retroviridae Infections; melanoma; Adenocarcinoma; Squamous cell carcinoma; Malignant mesothelioma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0387439397151409,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,,,,
APOLD1,Adenocarcinoma,0.0155921563748247,,,,,,,,,,
ARL2BP,Stomach Carcinoma; Carcinogenesis,0.0149315928814189; 0.0228075668512991,,,,,,,yeasx,0.56,Homo sapiens,Homo sapiens
ARRDC4,,,,,Familial multiple nevi flammei ORPHA:624; Sturge-Weber syndrome ORPHA:3205,0.0180064224283883; 0.0180064224283883,,,,,,
B3GLCT,,,Anomalous Pulmonary Artery,0.0075861267486594,,,,,,,,
BBC3,Colorectal Carcinoma; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Hematopoietic Neoplasms; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0334891258932371; 0.0387439397151409,Esophagus Neoplasm,0.0102679590519094,,,,,,,,
BFSP1,,,,,"Early-onset nuclear cataract ORPHA:98991; Craniosynostosis, Boston type ORPHA:1541; Parietal foramina with clavicular hypoplasia ORPHA:251290",0.0179885731122231; 0.0180064224283883; 0.0180064224283883,,,,,,
BMF,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,Lymphocytic Leukemia,0.0487679768343083,,,,,,,,
C1QL1,Breast Carcinoma; Malignant neoplasm of breast,0.0042545616049287; 0.0191435238361999,,,,,,,Homo sapiens A549 lung carcinoma cell,0.35,Human SARS coronavirus;SARS-CoV-2,Homo sapiens
CA11,Breast Carcinoma; Stomach Carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis,0.0042545616049287; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
CA2,Breast Carcinoma; melanoma; Adenocarcinoma; Malignant neoplasm of stomach,0.0042545616049287; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999,Esophagus Neoplasm,0.0102679590519094,,,,,yeasx,0.37,Homo sapiens,coxbu
CASP7,Colorectal Carcinoma; Mammary Neoplasms; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,In vitro,0.4;0.44,Homo sapiens;chemical synthesis,Homo sapiens
CCND1,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Retroviridae Infections; melanoma; Adenocarcinoma; Proliferative vitreoretinopathy; Squamous cell carcinoma; Esophageal Neoplasms; Malignant mesothelioma; Pre B-cell acute lymphoblastic leukemia; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Urologic Neoplasms; Hematopoietic Neoplasms; Medulloblastoma; Epithelial ovarian cancer; Brain Tumor, Primary; Skin carcinoma; Cancer of Urinary Tract",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0189794808441368; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0308703957553632; 0.0314665934969085; 0.0334891258932371; 0.0354767239335874; 0.0387439397151409; 0.044151975756427; 0.0482468351695405; 0.0492766532827251,Breast Carcinoma; Esophagus Neoplasm; Urinary Tract Cancer; Marfan Syndrome; Mammary Neoplasms; Anaplastic Carcinoma; Breast Cancer; Lymphocytic Leukemia,0.0075861267486594; 0.0102679590519094; 0.0102679590519094; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764; 0.0402286636010764; 0.0487679768343083,"Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Auriculocondylar syndrome ORPHA:137888; Chondrosarcoma ORPHA:55880; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Isolated hyperchlorhidrosis ORPHA:542657; Kindler epidermolysis bullosa ORPHA:2908; Ulnar-mammary syndrome ORPHA:3138; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Rieger anomaly ORPHA:91483; Unverricht-Lundborg disease ORPHA:308; Early-onset nuclear cataract ORPHA:98991; Bruck syndrome ORPHA:2771; CHST3-related skeletal dysplasia ORPHA:263463; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Craniosynostosis, Boston type ORPHA:1541; Hereditary papillary renal cell carcinoma ORPHA:47044; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Osteofibrous dysplasia ORPHA:488265; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Parietal foramina with clavicular hypoplasia ORPHA:251290; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; X-linked osteoporosis with fractures ORPHA:391330; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Dermatofibrosarcoma protuberans ORPHA:31112; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402; BOR syndrome ORPHA:107",0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111,,,,,,
CEACAM19,Breast Carcinoma; Malignant neoplasm of breast,0.0042545616049287; 0.0191435238361999,,,,,,,,,,
CENPE,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; melanoma; Malignant neoplasm of breast; Carcinogenesis,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Roberts syndrome ORPHA:3103; Stromme syndrome ORPHA:506307; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.0083045131203191; 0.0106988445340883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,,,,
CHST11,Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Tumor Progression; Malignant neoplasm of breast; Malignant neoplasm of ovary,0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0191435238361999; 0.0277695594716545,,,,,,,,,,
CLSPN,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Malignant neoplasm of breast; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0191435238361999; 0.0228075668512991,Breast Cancer,0.0402286636010764,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Roberts syndrome ORPHA:3103; Stromme syndrome ORPHA:506307; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.0083045131203191; 0.0106988445340883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,,,,
CNTNAP1,Breast Carcinoma; Pre B-cell acute lymphoblastic leukemia; Carcinogenesis,0.0042545616049287; 0.0189794808441368; 0.0228075668512991,Breast Carcinoma,0.0075861267486594,,,,,Homo sapiens,0.35,Human papillomavirus type 11;Human papillomavirus type 6b;ebvb9,Homo sapiens
