Id,Type
Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135,Disease
WNT9A,Gene
Tibial hemimelia ORPHA:93322,Disease
HPSE,Gene
STN1,Gene
MIR100HG,Gene
Marfan Syndrome,Disease
KRT13,Gene
Isolated hyperchlorhidrosis ORPHA:542657,Disease
Myelodysplastic syndrome ORPHA:52688,Disease
KRT23,Gene
Urologic Neoplasms,Disease
Congenital short bowel syndrome ORPHA:2301,Disease
ENG,Gene
PRSS23,Gene
TIMP2,Gene
Osteofibrous dysplasia ORPHA:488265,Disease
Skin carcinoma,Disease
Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945,Disease
Tetralogy of Fallot ORPHA:3303,Disease
RHOU,Gene
Myopathic Ehlers-Danlos syndrome ORPHA:536516,Disease
P2RX7,Gene
CASP7,Gene
Malignant mesothelioma,Disease
NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819,Disease
ICA1,Gene
Spondyloepimetaphyseal dysplasia PAPSS2 type ORPHA:93282,Disease
Esophagus Neoplasm,Disease
Unverricht-Lundborg disease ORPHA:308,Disease
TRAK2,Gene
HS3ST1,Gene
Steel syndrome ORPHA:438117,Disease
NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681,Disease
Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686,Disease
C1QL1,Gene
Pre B-cell acute lymphoblastic leukemia,Disease
FRAT2,Gene
Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959,Disease
Arnold-Chiari malformation type I ORPHA:268882,Disease
P3H2,Gene
Tumor Progression,Disease
DEPDC1B,Gene
AFAP1L2,Gene
Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988,Disease
20p12.3 microdeletion syndrome ORPHA:261295,Disease
FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451,Disease
Matthew-Wood syndrome ORPHA:2470,Disease
IL22RA1,Gene
SORL1,Gene
SETD7,Gene
ESCO2,Gene
SCML2,Gene
MT1E,Gene
TET1,Gene
DOCK11,Gene
DMBX1,Gene
FAM111B,Gene
Branchiootic syndrome ORPHA:52429,Disease
Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303,Disease
Proliferative vitreoretinopathy,Disease
PRR15,Gene
CYP24A1,Gene
HTATIP2,Gene
Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181,Disease
PURPL,Gene
CA2,Gene
GPR37,Gene
Brain Tumor Primary,Disease
LRIG1,Gene
X-linked osteoporosis with fractures ORPHA:391330,Disease
HANAC syndrome ORPHA:73229,Disease
Malignant neoplasm of esophagus,Disease
H2AX,Gene
COL12A1,Gene
Hereditary neuropathy with liability to pressure palsies ORPHA:640,Disease
PPARG-related familial partial lipodystrophy ORPHA:79083,Disease
Sensorineural deafness with dilated cardiomyopathy ORPHA:217622,Disease
ABCC2,Gene
ARRDC4,Gene
SLC22A18,Gene
ABCB1,Gene
ADAMTS14,Gene
NRIP1,Gene
LZTS1,Gene
ID2,Gene
Dedifferentiated liposarcoma ORPHA:99970,Disease
RBM24,Gene
Colorectal Carcinoma,Disease
Severe generalized junctional epidermolysis bullosa ORPHA:79404,Disease
Mandibulofacial dysostosis with alopecia ORPHA:443995,Disease
Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584,Disease
MIR17HG,Gene
Medulloblastoma,Disease
APOBEC3B,Gene
COL5A2,Gene
Autosomal recessive spastic paraplegia type 66 ORPHA:401815,Disease
COL4A1-related familial vascular leukoencephalopathy ORPHA:36383,Disease
B3GLCT,Gene
Familial porencephaly ORPHA:99810,Disease
Malignant neoplasm of stomach,Disease
Anomalous Pulmonary Artery,Disease
GPNMB,Gene
Ovarian Carcinoma,Disease
BBC3,Gene
ACSL5,Gene
PRMT6,Gene
ZNF703,Gene
Autosomal recessive brachyolmia ORPHA:448242,Disease
WNT16,Gene
Bamforth-Lazarus syndrome ORPHA:1226,Disease
Congenital Anomalies Of Kidney And Urinary Tract,Disease
ZBTB18,Gene
KITLG,Gene
Autosomal recessive generalized dystrophic epidermolysis bullosa severe form ORPHA:79408,Disease
Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473,Disease
Autosomal recessive nail dysplasia ORPHA:280654,Disease
UQCC1,Gene
Greig cephalopolysyndactyly syndrome ORPHA:380,Disease
TGM2,Gene
CHST3-related skeletal dysplasia ORPHA:263463,Disease
Peters anomaly ORPHA:708,Disease
Well-differentiated liposarcoma ORPHA:99971,Disease
Rieger anomaly ORPHA:91483,Disease
PIR,Gene
SORBS1,Gene
Bruck syndrome ORPHA:2771,Disease
TNFSF9,Gene
CYP4F2,Gene
Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721,Disease
Esophageal Neoplasms,Disease
LPAR5,Gene
Colorectal Cancer,Disease
SIX2-related frontonasal dysplasia ORPHA:488437,Disease
Nance-Horan syndrome ORPHA:627,Disease
Synpolydactyly type 2 ORPHA:295197,Disease
TFAP4,Gene
Axenfeld-Rieger syndrome ORPHA:782,Disease
SORT1,Gene
Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043,Disease
ZBED2,Gene
SCHIP1,Gene
Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925,Disease
RHOBTB3,Gene
Congenital cataract microcornea with corneal opacity ORPHA:289499,Disease
Familial multiple nevi flammei ORPHA:624,Disease
Carcinogenesis,Disease
SHCBP1,Gene
Oculocutaneous albinism type 3 ORPHA:79433,Disease
Urinary Tract Cancer,Disease
KBTBD8,Gene
VGLL3,Gene
Familial primary localized cutaneous amyloidosis ORPHA:353220,Disease
Early-onset nuclear cataract ORPHA:98991,Disease
GAPO syndrome ORPHA:2067,Disease
Atrial septal defect ostium secundum type ORPHA:99103,Disease
NGFR,Gene
S100A14,Gene
Charcot-Marie-Tooth disease type 1A ORPHA:101081,Disease
Hypoplastic left heart syndrome ORPHA:2248,Disease
Hereditary arterial and articular multiple calcification syndrome ORPHA:289601,Disease
THBS1,Gene
Retroviridae Infections,Disease
Auriculocondylar syndrome ORPHA:137888,Disease
E2F7,Gene
Sturge-Weber syndrome ORPHA:3205,Disease
ARL2BP,Gene
SCG2,Gene
Squamous cell carcinoma,Disease
Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Disease
Piebaldism ORPHA:2884,Disease
CORO1A,Gene
MKNK2,Gene
SULT1A1,Gene
Primary CD59 deficiency ORPHA:169464,Disease
Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960,Disease
ADAMTS15,Gene
CHST11,Gene
TSC22D1,Gene
Posterior hypospadias ORPHA:95706,Disease
Schopf-Schulz-Passarge syndrome ORPHA:50944,Disease
Kindler epidermolysis bullosa ORPHA:2908,Disease
Diaphanospondylodysostosis ORPHA:66637,Disease
Lymphocytic Leukemia,Disease
Ischiovertebral syndrome ORPHA:85200,Disease
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289,Disease
PBX1,Gene
Malignant neoplasm of breast,Disease
CNTNAP1,Gene
Roberts syndrome ORPHA:3103,Disease
OGFR,Gene
Familial drusen ORPHA:75376,Disease
RPSAP52,Gene
KAT2B,Gene
NCEH1,Gene
Pallister-Hall syndrome ORPHA:672,Disease
Hereditary papillary renal cell carcinoma ORPHA:47044,Disease
CLSPN,Gene
CTSD,Gene
Parietal foramina with clavicular hypoplasia ORPHA:251290,Disease
Polysyndactyly ORPHA:93338,Disease
Laryngo-onycho-cutaneous syndrome ORPHA:2407,Disease
Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465,Disease
MICB,Gene
Papillary renal cell carcinoma ORPHA:319298,Disease
