Genes,Term
CSF2,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CSF2,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743)
CSF2,Regulation Of Podosome Assembly (GO:0071801)
CSF2,Myeloid Leukocyte Differentiation (GO:0002573)
CSF2,Positive Regulation Of Cellular Process (GO:0048522)
CSF2,Positive Regulation Of Leukocyte Proliferation (GO:0070665)
CSF2,Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744)
CSF2,Positive Regulation Of Organelle Assembly (GO:1902117)
CSF2,Regulation Of Gene Expression (GO:0010468)
CSF2,Negative Regulation Of DNA-templated Transcription (GO:0045892)
CSF3,Cytokine-Mediated Signaling Pathway (GO:0019221)
CSF3,Cellular Response To Cytokine Stimulus (GO:0071345)
CSF3,Regulation Of Cell Population Proliferation (GO:0042127)
CSF3,Cellular Response To Organic Substance (GO:0071310)
CSF3,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
CSF3,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639)
CSF3,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)
CSF3,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CSF3,Regulation Of Myeloid Cell Differentiation (GO:0045637)
CSF3,Myeloid Leukocyte Differentiation (GO:0002573)
CSF3,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)
CSF3,Positive Regulation Of Cellular Process (GO:0048522)
CSF3,Granulocyte Differentiation (GO:0030851)
CSF3,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)
CSF3,Positive Regulation Of Protein Kinase B Signaling (GO:0051897)
CSF3,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
CSF3,Positive Regulation Of DNA-templated Transcription (GO:0045893)
CXCL8,Inflammatory Response (GO:0006954)
CXCL8,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL8,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL8,Cellular Response To Chemokine (GO:1990869)
CXCL8,Neutrophil Chemotaxis (GO:0030593)
CXCL8,Granulocyte Chemotaxis (GO:0071621)
CXCL8,Neutrophil Migration (GO:1990266)
CXCL8,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL8,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL8,Cellular Response To Lipid (GO:0071396)
CXCL8,Response To Lipopolysaccharide (GO:0032496)
CXCL8,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CXCL8,Cellular Response To Cytokine Stimulus (GO:0071345)
CXCL8,Regulation Of Cell Population Proliferation (GO:0042127)
CXCL8,Cellular Response To Interleukin-1 (GO:0071347)
CXCL8,Response To Interleukin-1 (GO:0070555)
CXCL8,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL8,Response To Tumor Necrosis Factor (GO:0034612)
CXCL8,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL8,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
CXCL8,Antimicrobial Humoral Response (GO:0019730)
CXCL8,Negative Regulation Of Cell Population Proliferation (GO:0008285)
CXCL8,Negative Regulation Of Signal Transduction (GO:0009968)
CXCL8,Positive Regulation Of Gene Expression (GO:0010628)
CXCL8,Positive Regulation Of Vasculature Development (GO:1904018)
CXCL8,Regulation Of Angiogenesis (GO:0045765)
CXCL8,Positive Regulation Of Angiogenesis (GO:0045766)
CXCL8,Negative Regulation Of Cellular Process (GO:0048523)
CXCL8,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)
CXCL8,Regulation Of Cell Adhesion Molecule Production (GO:0060353)
CXCL8,Regulation Of RNA Biosynthetic Process (GO:2001141)
CXCL8,Response To Molecule Of Bacterial Origin (GO:0002237)
CXCL8,Digestive Tract Development (GO:0048565)
CXCL8,Granulocyte Activation (GO:0036230)
CXCL8,Regulation Of Cell Adhesion (GO:0030155)
CXCL8,Neutrophil Activation (GO:0042119)
CXCL8,Positive Regulation Of Cellular Metabolic Process (GO:0031325)
CXCL8,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)
CXCL8,Response To Fibroblast Growth Factor (GO:0071774)
CXCL8,Negative Regulation Of Gene Expression (GO:0010629)
CXCL8,Regulation Of Gene Expression (GO:0010468)
CXCL8,Regulation Of Viral Genome Replication (GO:0045069)
CXCL10,Inflammatory Response (GO:0006954)
CXCL10,Cytokine-Mediated Signaling Pathway (GO:0019221)
CXCL10,Chemokine-Mediated Signaling Pathway (GO:0070098)
CXCL10,Cellular Response To Chemokine (GO:1990869)
CXCL10,Neutrophil Chemotaxis (GO:0030593)
CXCL10,Granulocyte Chemotaxis (GO:0071621)
CXCL10,Neutrophil Migration (GO:1990266)
CXCL10,Cellular Response To Lipopolysaccharide (GO:0071222)
CXCL10,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
CXCL10,Lymphocyte Chemotaxis (GO:0048247)
CXCL10,Cellular Response To Lipid (GO:0071396)
CXCL10,Response To Lipopolysaccharide (GO:0032496)
CXCL10,Regulation Of Cell Population Proliferation (GO:0042127)
CXCL10,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)
CXCL10,Cellular Response To Oxygen-Containing Compound (GO:1901701)
CXCL10,Antimicrobial Humoral Response (GO:0019730)
CXCL10,Regulation Of Angiogenesis (GO:0045765)
CXCL10,Positive Regulation Of Lymphocyte Migration (GO:2000403)
CXCL10,Regulation Of T Cell Migration (GO:2000404)
CXCL10,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)
CXCL10,Positive Regulation Of T Cell Migration (GO:2000406)
CXCL10,Positive Regulation Of Mononuclear Cell Migration (GO:0071677)
CXCL10,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)
CXCL10,T Cell Chemotaxis (GO:0010818)
CXCL10,Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)
CXCL10,Regulation Of Apoptotic Process (GO:0042981)
CXCL10,Regulation Of T Cell Chemotaxis (GO:0010819)
CXCL10,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
CXCL10,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)
CXCL10,T Cell Migration (GO:0072678)
CXCL10,Positive Regulation Of Monocyte Chemotaxis (GO:0090026)
CXCL10,Positive Regulation Of DNA-templated Transcription (GO:0045893)
CCL5,Inflammatory Response (GO:0006954)
CCL5,Cytokine-Mediated Signaling Pathway (GO:0019221)
CCL5,Chemokine-Mediated Signaling Pathway (GO:0070098)
CCL5,Cellular Response To Chemokine (GO:1990869)
CCL5,Neutrophil Chemotaxis (GO:0030593)
CCL5,Granulocyte Chemotaxis (GO:0071621)
CCL5,Neutrophil Migration (GO:1990266)
CCL5,Cellular Response To Lipopolysaccharide (GO:0071222)
CCL5,Lymphocyte Chemotaxis (GO:0048247)
CCL5,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CCL5,Cellular Response To Cytokine Stimulus (GO:0071345)
CCL5,Cellular Response To Interleukin-1 (GO:0071347)
CCL5,Cellular Response To Organic Substance (GO:0071310)
CCL5,Positive Regulation Of Response To External Stimulus (GO:0032103)
CCL5,Response To Interleukin-1 (GO:0070555)
CCL5,Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)
CCL5,Cellular Response To Type II Interferon (GO:0071346)
CCL5,Lymphocyte Migration (GO:0072676)
CCL5,Monocyte Chemotaxis (GO:0002548)
CCL5,Eosinophil Chemotaxis (GO:0048245)
CCL5,Eosinophil Migration (GO:0072677)
CCL5,Response To Tumor Necrosis Factor (GO:0034612)
CCL5,Cellular Response To Organic Cyclic Compound (GO:0071407)
CCL5,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)
CCL5,Positive Regulation Of Defense Response (GO:0031349)
CCL5,Response To Organic Cyclic Compound (GO:0014070)
CCL5,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
CCL5,Positive Regulation Of Macrophage Migration (GO:1905523)
CCL5,Regulation Of Inflammatory Response (GO:0050727)
CCL5,Positive Regulation Of MAPK Cascade (GO:0043410)
CCL5,Regulation Of Mononuclear Cell Migration (GO:0071675)
CCL5,Positive Regulation Of Cell-Cell Adhesion (GO:0022409)
CCL5,Negative Regulation Of Signal Transduction (GO:0009968)
CCL5,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)
CCL5,Response To Type II Interferon (GO:0034341)
CCL5,Protein Kinase B Signaling (GO:0043491)
CCL5,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CCL5,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)
CCL5,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CCL5,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)
CCL5,Positive Regulation Of Macrophage Chemotaxis (GO:0010759)
CCL5,Positive Regulation Of Lymphocyte Migration (GO:2000403)
CCL5,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)
CCL5,Regulation Of Granulocyte Chemotaxis (GO:0071622)
CCL5,Regulation Of Macrophage Chemotaxis (GO:0010758)
CCL5,Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)
CCL5,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CCL5,Regulation Of T Cell Migration (GO:2000404)
CCL5,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)
CCL5,Positive Regulation Of T Cell Migration (GO:2000406)
CCL5,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501)
CCL5,Positive Regulation Of Activation Of Janus Kinase Activity (GO:0010536)
CCL5,Regulation Of Activation Of Janus Kinase Activity (GO:0010533)
CCL5,Positive Regulation Of Calcium Ion Transport (GO:0051928)
CCL5,Positive Regulation Of GTPase Activity (GO:0043547)
CCL5,Positive Regulation Of Mononuclear Cell Migration (GO:0071677)
CCL5,Positive Regulation Of Hydrolase Activity (GO:0051345)
CCL5,Regulation Of T Cell Proliferation (GO:0042129)
CCL5,Regulation Of Innate Immune Response (GO:0045088)
CCL5,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)
CCL5,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)
CCL5,Macrophage Chemotaxis (GO:0048246)
CCL5,Positive Regulation Of Cellular Process (GO:0048522)
CCL5,Granulocyte Activation (GO:0036230)
CCL5,Macrophage Migration (GO:1905517)
CCL5,Negative Regulation By Host Of Viral Transcription (GO:0043922)
CCL5,Regulation Of Cell Migration (GO:0030334)
CCL5,Positive Regulation Of Cell Adhesion (GO:0045785)
CCL5,Regulation Of Cell Adhesion (GO:0030155)
CCL5,Regulation Of T Cell Chemotaxis (GO:0010819)
CCL5,Regulation Of GTPase Activity (GO:0043087)
CCL5,Positive Regulation Of Cell Motility (GO:2000147)
CCL5,MAPK Cascade (GO:0000165)
CCL5,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911)
CCL5,Regulation Of Protein Secretion (GO:0050708)
CCL5,Regulation Of Peptide Hormone Secretion (GO:0090276)
CCL5,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)
CCL5,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630)
CCL5,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)
CCL5,Positive Regulation Of T Cell Activation (GO:0050870)
CCL5,Neutrophil Activation (GO:0042119)
CCL5,Positive Regulation Of Monocyte Chemotaxis (GO:0090026)
CCL5,Positive Regulation Of Cellular Metabolic Process (GO:0031325)
CCL5,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)
CCL5,Regulation Of Smooth Muscle Cell Migration (GO:0014910)
CCL5,Response To Fibroblast Growth Factor (GO:0071774)
CCL5,Positive Regulation Of T Cell Proliferation (GO:0042102)
CCL5,Regulation Of Viral Genome Replication (GO:0045069)
TNF,Inflammatory Response (GO:0006954)
TNF,Cytokine-Mediated Signaling Pathway (GO:0019221)
TNF,Cellular Response To Lipopolysaccharide (GO:0071222)
TNF,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)
TNF,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001240)
TNF,Negative Regulation Of Signal Transduction In Absence Of Ligand (GO:1901099)
TNF,Cellular Response To Tumor Necrosis Factor (GO:0071356)
TNF,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239)
TNF,Cellular Response To Organic Substance (GO:0071310)
TNF,Positive Regulation Of Response To External Stimulus (GO:0032103)
TNF,Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)
TNF,Cellular Response To Organic Cyclic Compound (GO:0071407)
TNF,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)
TNF,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)
TNF,Positive Regulation Of Defense Response (GO:0031349)
TNF,Response To Organic Cyclic Compound (GO:0014070)
TNF,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
TNF,Regulation Of Inflammatory Response (GO:0050727)
TNF,Positive Regulation Of Inflammatory Response (GO:0050729)
TNF,Positive Regulation Of MAPK Cascade (GO:0043410)
TNF,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)
TNF,Positive Regulation Of Cytokine Production (GO:0001819)
TNF,Regulation Of Mononuclear Cell Migration (GO:0071675)
TNF,Positive Regulation Of Cell-Cell Adhesion (GO:0022409)
TNF,Negative Regulation Of Signal Transduction (GO:0009968)
TNF,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)
TNF,Protein Kinase B Signaling (GO:0043491)
TNF,Positive Regulation Of Gene Expression (GO:0010628)
TNF,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
TNF,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)
TNF,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
TNF,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238)
TNF,Positive Regulation Of Protein Metabolic Process (GO:0051247)
TNF,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)
TNF,Negative Regulation Of Interleukin-6 Production (GO:0032715)
TNF,Negative Regulation Of Apoptotic Process (GO:0043066)
TNF,Regulation Of Interleukin-6 Production (GO:0032675)
TNF,Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)
TNF,Regulation Of Osteoclast Differentiation (GO:0045670)
TNF,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
TNF,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)
TNF,Positive Regulation Of Osteoclast Differentiation (GO:0045672)
TNF,Regulation Of NIK/NF-kappaB Signaling (GO:1901222)
TNF,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)
TNF,Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)
TNF,Positive Regulation Of Podosome Assembly (GO:0071803)
TNF,Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558)
TNF,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)
TNF,Positive Regulation Of Cell Population Proliferation (GO:0008284)
TNF,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)
TNF,Negative Regulation Of Cell Junction Assembly (GO:1901889)
TNF,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)
TNF,Regulation Of I-kappaB Phosphorylation (GO:1903719)
TNF,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)
TNF,Positive Regulation Of Interleukin-8 Production (GO:0032757)
TNF,Regulation Of Nitric-Oxide Synthase Activity (GO:0050999)
TNF,Regulation Of Vascular Wound Healing (GO:0061043)
TNF,Positive Regulation Of Leukocyte Migration (GO:0002687)
TNF,Positive Regulation Of Mononuclear Cell Migration (GO:0071677)
TNF,Regulation Of Endothelial Cell Development (GO:1901550)
TNF,Regulation Of Glial Cell Proliferation (GO:0060251)
TNF,Regulation Of Podosome Assembly (GO:0071801)
TNF,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
TNF,Negative Regulation Of Cytokine Production (GO:0001818)
TNF,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)
TNF,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)
TNF,Negative Regulation Of Lipid Localization (GO:1905953)
TNF,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)
TNF,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)
TNF,Positive Regulation Of Catabolic Process (GO:0009896)
TNF,Negative Regulation Of Cellular Component Organization (GO:0051129)
TNF,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)
TNF,Regulation Of Interleukin-8 Production (GO:0032677)
TNF,Digestive Tract Development (GO:0048565)
TNF,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)
TNF,Positive Regulation Of Cellular Process (GO:0048522)
TNF,Positive Regulation Of Neuroinflammatory Response (GO:0150078)
TNF,Positive Regulation Of Cell Adhesion (GO:0045785)
TNF,Regulation Of Cell Adhesion (GO:0030155)
TNF,Positive Regulation Of miRNA Transcription (GO:1902895)
TNF,Positive Regulation Of Cellular Catabolic Process (GO:0031331)
TNF,Regulation Of Apoptotic Process (GO:0042981)
TNF,Positive Regulation Of MAP Kinase Activity (GO:0043406)
TNF,Positive Regulation Of Protein Catabolic Process (GO:0045732)
TNF,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)
TNF,Positive Regulation Of Protein Kinase B Signaling (GO:0051897)
TNF,Positive Regulation Of Acute Inflammatory Response (GO:0002675)
TNF,Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)
TNF,Positive Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051044)
TNF,Positive Regulation Of miRNA Metabolic Process (GO:2000630)
TNF,MAPK Cascade (GO:0000165)
TNF,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)
TNF,Negative Regulation Of Multicellular Organismal Process (GO:0051241)
TNF,Regulation Of Establishment Of Endothelial Barrier (GO:1903140)
TNF,Regulation Of Protein Secretion (GO:0050708)
TNF,Regulation Of Peptide Hormone Secretion (GO:0090276)
TNF,Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)
TNF,Regulation Of Neuron Apoptotic Process (GO:0043523)
TNF,Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996)
TNF,Regulation Of Synaptic Transmission
TNF,Glutamatergic (GO:0051966)
TNF,Negative Regulation Of Lipid Catabolic Process (GO:0050995)
TNF,Negative Regulation Of Lipid Storage (GO:0010888)
TNF,Negative Regulation Of Nervous System Development (GO:0051961)
TNF,Positive Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900017)
TNF,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)
TNF,Regulation Of Neuroinflammatory Response (GO:0150077)
TNF,Regulation Of miRNA Transcription (GO:1902893)
TNF,Regulation Of MAP Kinase Activity (GO:0043405)
TNF,Positive Regulation Of Phagocytosis (GO:0050766)
TNF,Microglial Cell Activation (GO:0001774)
TNF,Positive Regulation Of Organelle Assembly (GO:1902117)
TNF,Negative Regulation Of Gene Expression (GO:0010629)
TNF,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)
TNF,Regulation Of Lipid Storage (GO:0010883)
TNF,Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043)
TNF,Negative Regulation Of Cell Development (GO:0010721)
TNF,Modulation Of Chemical Synaptic Transmission (GO:0050804)
TNF,Regulation Of Gene Expression (GO:0010468)
TNF,Negative Regulation Of DNA-templated Transcription (GO:0045892)
TNF,Regulation Of Lipid Catabolic Process (GO:0050994)
TNF,Regulation Of Neurogenesis (GO:0050767)
TNF,Regulation Of Viral Genome Replication (GO:0045069)
TNF,Positive Regulation Of DNA-templated Transcription (GO:0045893)
PLAU,Positive Regulation Of Response To External Stimulus (GO:0032103)
PLAU,Regulation Of Cell-Matrix Adhesion (GO:0001952)
PLAU,Negative Regulation Of Protein Processing (GO:0010955)
PLAU,Negative Regulation Of Plasminogen Activation (GO:0010757)
PLAU,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)
PLAU,Negative Regulation Of Fibrinolysis (GO:0051918)
PLAU,Regulation Of Cell Migration (GO:0030334)
PLAU,Regulation Of Cell Adhesion (GO:0030155)
PLAU,Positive Regulation Of Cell Motility (GO:2000147)
PLAU,Regulation Of Fibrinolysis (GO:0051917)
PLAU,Regulation Of Plasminogen Activation (GO:0010755)
PLAU,Regulation Of Smooth Muscle Cell Migration (GO:0014910)
PLAU,Positive Regulation Of Blood Coagulation (GO:0030194)
LTB,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
LTB,Positive Regulation Of Cytokine Production (GO:0001819)
LTB,Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238)
LTB,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
LTB,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)
LTB,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
LTB,Regulation Of Interleukin-12 Production (GO:0032655)
LTB,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)
CX3CL1,Inflammatory Response (GO:0006954)
CX3CL1,Cytokine-Mediated Signaling Pathway (GO:0019221)
CX3CL1,Chemokine-Mediated Signaling Pathway (GO:0070098)
CX3CL1,Cellular Response To Chemokine (GO:1990869)
CX3CL1,Neutrophil Chemotaxis (GO:0030593)
CX3CL1,Granulocyte Chemotaxis (GO:0071621)
CX3CL1,Neutrophil Migration (GO:1990266)
CX3CL1,Lymphocyte Chemotaxis (GO:0048247)
CX3CL1,Cellular Response To Tumor Necrosis Factor (GO:0071356)
CX3CL1,Cellular Response To Cytokine Stimulus (GO:0071345)
CX3CL1,Regulation Of Cell Population Proliferation (GO:0042127)
CX3CL1,Cellular Response To Interleukin-1 (GO:0071347)
CX3CL1,Positive Regulation Of Response To External Stimulus (GO:0032103)
CX3CL1,Response To Interleukin-1 (GO:0070555)
CX3CL1,Cellular Response To Type II Interferon (GO:0071346)
CX3CL1,Lymphocyte Migration (GO:0072676)
CX3CL1,Monocyte Chemotaxis (GO:0002548)
CX3CL1,Eosinophil Chemotaxis (GO:0048245)
CX3CL1,Eosinophil Migration (GO:0072677)
CX3CL1,Response To Tumor Necrosis Factor (GO:0034612)
CX3CL1,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)
CX3CL1,Positive Regulation Of Defense Response (GO:0031349)
CX3CL1,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
CX3CL1,Positive Regulation Of Macrophage Migration (GO:1905523)
CX3CL1,Regulation Of Inflammatory Response (GO:0050727)
CX3CL1,Positive Regulation Of Inflammatory Response (GO:0050729)
CX3CL1,Positive Regulation Of MAPK Cascade (GO:0043410)
CX3CL1,Positive Regulation Of Cell-Cell Adhesion (GO:0022409)
CX3CL1,Negative Regulation Of Signal Transduction (GO:0009968)
CX3CL1,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)
CX3CL1,Response To Type II Interferon (GO:0034341)
CX3CL1,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
CX3CL1,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
CX3CL1,Regulation Of Cell-Matrix Adhesion (GO:0001952)
CX3CL1,Negative Regulation Of Interleukin-6 Production (GO:0032715)
CX3CL1,Negative Regulation Of Apoptotic Process (GO:0043066)
CX3CL1,Regulation Of Interleukin-6 Production (GO:0032675)
CX3CL1,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)
CX3CL1,Cell Junction Disassembly (GO:0150146)
CX3CL1,Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)
CX3CL1,Positive Regulation Of Microglial Cell Migration (GO:1904141)
CX3CL1,Positive Regulation Of Cell Population Proliferation (GO:0008284)
CX3CL1,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)
CX3CL1,Regulation Of Microglial Cell Migration (GO:1904139)
CX3CL1,Regulation Of I-kappaB Phosphorylation (GO:1903719)
CX3CL1,Positive Regulation Of Glial Cell Migration (GO:1903977)
CX3CL1,Positive Regulation Of GTPase Activity (GO:0043547)
CX3CL1,Regulation Of Response To Biotic Stimulus (GO:0002831)
CX3CL1,Negative Regulation Of Programmed Cell Death (GO:0043069)
CX3CL1,Synapse Pruning (GO:0098883)
CX3CL1,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)
CX3CL1,Positive Regulation Of Hydrolase Activity (GO:0051345)
CX3CL1,Negative Regulation Of Cytokine Production (GO:0001818)
CX3CL1,Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)
CX3CL1,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)
