Source,Target,Interaction,Taxid interactor A,Taxid interactor B
CXCL8,TNF,pp,Homo sapiens,Homo sapiens
CXCL8,CCL20,pp,Homo sapiens,Homo sapiens
CXCL8,CXCL1,pp,Homo sapiens,Homo sapiens
CXCL8,CCL5,pp,Homo sapiens,Homo sapiens
CXCL10,CCL22,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL1,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL10,CCL5,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL10,IL1B,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL10,CCL4,pp,Homo sapiens,Homo sapiens
CXCL10,IL1A,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL3,pp,Homo sapiens,Homo sapiens
CXCL10,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL10,CX3CL1,pp,Homo sapiens,Homo sapiens
CXCL10,CCL20,pp,Homo sapiens,Homo sapiens
CXCL10,TNF,pp,Homo sapiens,Homo sapiens
CXCL10,CCL2,pp,Homo sapiens,Homo sapiens
CXCL10,CSF2,pp,Homo sapiens,Homo sapiens
CXCL10,CSF3,pp,Homo sapiens,Homo sapiens
CCL5,CXCL1,pp,Homo sapiens,Homo sapiens
CCL5,CCL5,pp,Homo sapiens,Homo sapiens
CCL5,CCL22,pp,Homo sapiens,Homo sapiens
CCL5,CXCL11,pp,Homo sapiens,Homo sapiens
CCL5,CX3CL1,pp,Homo sapiens,Homo sapiens
CCL5,CSF3,pp,Homo sapiens,Homo sapiens
CCL5,CCL2,pp,Homo sapiens,Homo sapiens
CCL5,IL1A,pp,Homo sapiens,Homo sapiens
CCL5,IL1B,pp,Homo sapiens,Homo sapiens
CCL5,CXCL2,pp,Homo sapiens,Homo sapiens
CCL5,TNF,pp,Homo sapiens,Homo sapiens
CCL5,CCL4,pp,Homo sapiens,Homo sapiens
CCL5,CSF2,pp,Homo sapiens,Homo sapiens
CCL5,CXCL10,pp,Homo sapiens,Homo sapiens
CCL5,CXCL8,pp,Homo sapiens,Homo sapiens
CCL5,CCL20,pp,Homo sapiens,Homo sapiens
CCL5,CXCL5,pp,Homo sapiens,Homo sapiens
TNF,CXCL8,pp,Homo sapiens,Homo sapiens
TNF,TNF,pp,Homo sapiens,Homo sapiens
TNF,TNFAIP3,pp,Homo sapiens,Homo sapiens
TNF,ICAM1,pp,Homo sapiens,Homo sapiens
TNF,BIRC3,pp,Homo sapiens,Homo sapiens
TNF,CCL2,pp,Homo sapiens,Homo sapiens
TNF,IL1B,pp,Homo sapiens,Homo sapiens
TNF,IL1A,pp,Homo sapiens,Homo sapiens
TNF,CCL4,pp,Homo sapiens,Homo sapiens
TNF,CSF3,pp,Homo sapiens,Homo sapiens
TNF,NFKBIA,pp,Homo sapiens,Homo sapiens
TNF,CXCL2,pp,Homo sapiens,Homo sapiens
TNF,CXCL1,pp,Homo sapiens,Homo sapiens
TNF,CXCL10,pp,Homo sapiens,Homo sapiens
TNF,CSF2,pp,Homo sapiens,Homo sapiens
TNF,CD83,pp,Homo sapiens,Homo sapiens
TNF,CCL5,pp,Homo sapiens,Homo sapiens
TNF,CCL20,pp,Homo sapiens,Homo sapiens
CX3CL1,CCL4,pp,Homo sapiens,Homo sapiens
CX3CL1,CX3CL1,pp,Homo sapiens,Homo sapiens
CX3CL1,CSF2,pp,Homo sapiens,Homo sapiens
CX3CL1,CSF3,pp,Homo sapiens,Homo sapiens
CX3CL1,CCL5,pp,Homo sapiens,Homo sapiens
CX3CL1,CXCL10,pp,Homo sapiens,Homo sapiens
CX3CL1,CXCL1,pp,Homo sapiens,Homo sapiens
CX3CL1,CCL20,pp,Homo sapiens,Homo sapiens
CXCL2,CCL5,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL3,pp,Homo sapiens,Homo sapiens
CXCL2,IL1B,pp,Homo sapiens,Homo sapiens
CXCL2,IL1A,pp,Homo sapiens,Homo sapiens
CXCL2,CCL20,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL1,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL2,TNF,pp,Homo sapiens,Homo sapiens
CXCL2,CCL2,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL2,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL5,CCL20,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL5,CCL5,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL3,pp,Homo sapiens,Homo sapiens
CXCL5,CXCL1,pp,Homo sapiens,Homo sapiens
CSF1,CSF1,pp,Homo sapiens,Homo sapiens
CSF1,CSF3,pp,Homo sapiens,Homo sapiens
CSF1,CSF2,pp,Homo sapiens,Homo sapiens
CXCL11,CCL4,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL11,CCL5,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL1,pp,Homo sapiens,Homo sapiens
CXCL11,CCL20,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL3,pp,Homo sapiens,Homo sapiens
CXCL11,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL1,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL2,pp,Homo sapiens,Homo sapiens
CXCL1,CCL5,pp,Homo sapiens,Homo sapiens
CXCL1,IL1A,pp,Homo sapiens,Homo sapiens
CXCL1,TNF,pp,Homo sapiens,Homo sapiens
CXCL1,CCL4,pp,Homo sapiens,Homo sapiens
CXCL1,CCL20,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL11,pp,Homo sapiens,Homo sapiens
CXCL1,CSF2,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL8,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL10,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL5,pp,Homo sapiens,Homo sapiens
CXCL1,CCL2,pp,Homo sapiens,Homo sapiens
CXCL1,CXCL3,pp,Homo sapiens,Homo sapiens
CXCL1,CCL22,pp,Homo sapiens,Homo sapiens
CXCL1,IL1B,pp,Homo sapiens,Homo sapiens
CXCL1,CX3CL1,pp,Homo sapiens,Homo sapiens
CXCL1,CSF3,pp,Homo sapiens,Homo sapiens
CYP1B1,CYP1B1,pp,Homo sapiens,Homo sapiens
CYP1B1,CYP1A1,pp,Homo sapiens,Homo sapiens
CCL2,CCL20,pp,Homo sapiens,Homo sapiens
CCL2,CCL2,pp,Homo sapiens,Homo sapiens
CCL2,CCL5,pp,Homo sapiens,Homo sapiens
CCL2,CCL22,pp,Homo sapiens,Homo sapiens
CCL2,CSF3,pp,Homo sapiens,Homo sapiens
CCL2,ICAM1,pp,Homo sapiens,Homo sapiens
CCL2,CXCL2,pp,Homo sapiens,Homo sapiens
CCL2,CSF2,pp,Homo sapiens,Homo sapiens
CCL2,IL1A,pp,Homo sapiens,Homo sapiens
CCL2,CXCL10,pp,Homo sapiens,Homo sapiens
CCL2,CXCL1,pp,Homo sapiens,Homo sapiens
CCL2,IL1B,pp,Homo sapiens,Homo sapiens
CCL2,TNF,pp,Homo sapiens,Homo sapiens
CCL2,CXCL8,pp,Homo sapiens,Homo sapiens
BIRC3,TNFAIP3,pp,Homo sapiens,Homo sapiens
BIRC3,BIRC3,pp,Homo sapiens,Homo sapiens
BIRC3,TNF,pp,Homo sapiens,Homo sapiens
CCL22,CCL22,pp,Homo sapiens,Homo sapiens
CCL22,CCL5,pp,Homo sapiens,Homo sapiens
CCL22,CXCL8,pp,Homo sapiens,Homo sapiens
CCL22,CCL2,pp,Homo sapiens,Homo sapiens
CCL22,CXCL1,pp,Homo sapiens,Homo sapiens
CCL22,CXCL10,pp,Homo sapiens,Homo sapiens
TNFAIP3,TNF,pp,Homo sapiens,Homo sapiens
TNFAIP3,TNFAIP3,pp,Homo sapiens,Homo sapiens
TNFAIP3,BIRC3,pp,Homo sapiens,Homo sapiens
TNF,TNFRSF1A,pp,Homo sapiens,Homo sapiens
TNFAIP3,TNIP1,pp,Homo sapiens,Homo sapiens
