"BioGRID Interaction ID","Entrez Gene ID for Interactor A","Entrez Gene ID for Interactor B","BioGRID ID for Interactor A","BioGRID ID for Interactor B","Systematic name for Interactor A","Systematic name for Interactor B","Official symbol for Interactor A","Official symbol for Interactor B","Synonyms/Aliases for Interactor A","Synonyms/Aliases for Interactor B","Experimental System Name","Experimental System Type","First author surname of the publication","Pubmed ID","Organism ID for Interactor A","Organism ID for Interactor B","Interaction Throughput","Quantitative Score","Post Translational Modification","Phenotypes","Qualifications","Tags","Source Database"
21422,5174,1244,111200,107647,"-","RP11-114F7.2","PDZK1","ABCC2","CAP70|CLAMP|NHERF-3|NHERF3|PDZD1","ABC30|CMOAT|DJS|MRP2|cMRP","Two-hybrid","physical","Kocher O (1999)",10496535,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
24542,8204,190,113843,106695,"-","-","NRIP1","NR0B1","RIP140","AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2","Two-hybrid","physical","Sugawara T (2001)",11459805,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
25240,2533,8631,108809,114184,"-","-","FYB","SKAP1","ADAP|PRO0823|SLAP-130|SLAP130","HEL-S-81p|SCAP1|SKAP55","Two-hybrid","physical","Marie-Cardine A (1998)",9748251,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
25644,51588,4092,119624,110267,"-","-","PIAS4","SMAD7","PIASY|Piasg|ZMIZ6","CRCS3|MADH7|MADH8","Two-hybrid","physical","Imoto S (2003)",12815042,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
26935,9628,55929,114987,121004,"-","RP5-891H21.2","RGS6","DMAP1","GAP","DNMAP1|DNMTAP1|EAF2|MEAF2|SWC4","Two-hybrid","physical","Liu Z (2004)",14734556,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
28041,51429,8751,119535,114287,"RP11-266C7.10-001","RP11-540D14.1","SNX9","ADAM15","SDP1|SH3PX1|SH3PXD3A|WISP","MDC15","Two-hybrid","physical","Howard L (1999)",10531379,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
28494,28962,26575,118788,117744,"HSPC019","-","OSTM1","RGS17","GIPN|GL|OPTB5","RGS-17|RGSZ2|hRGS17","Two-hybrid","physical","Fischer T (2003)",12826607,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
28498,28962,8601,118788,114161,"HSPC019","-","OSTM1","RGS20","GIPN|GL|OPTB5","RGSZ1|ZGAP1|g(z)GAP|gz-GAP","Two-hybrid","physical","Fischer T (2003)",12826607,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
28796,57761,468,121756,106958,"RP5-1103G7.7","-","TRIB3","ATF4","C20orf97|NIPK|SINK|SKIP3|TRB3","CREB-2|CREB2|TAXREB67|TXREB","Two-hybrid","physical","Bowers AJ (2003)",12743605,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
29820,6272,23062,112180,116697,"-","-","SORT1","GGA2","Gp95|LDLCQ6|NT3","VEAR","Two-hybrid","physical","Nielsen MS (2001)",11331584,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
117103,4092,66894,110267,211793,"-","-","SMAD7","Wwp2","CRCS3|MADH7|MADH8","1300010O06Rik|AA690238|AIP2|AW554328","Affinity Capture-Luminescence","physical","Barrios-Rodiles M (2005)",15761153,"Homo sapiens","Mus musculus","High Throughput","-","-","-","-","-","BIOGRID"
119614,2272,2272,108563,108563,"-","-","FHIT","FHIT","AP3Aase|FRA3B","AP3Aase|FRA3B","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119844,30008,57088,119026,121357,"UNQ200/PRO226","GIG43","EFEMP2","PLSCR4","ARCL1B|FBLN4|MBP1|UPH1","TRA1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119907,10534,80022,115788,123076,"-","-","SSSCA1","MYO15B","p27","MYO15BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120008,79801,221302,122898,128708,"-","RP3-412I7.3","SHCBP1","ZUFSP","PAL","C6orf113|dJ412I7.3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120343,8204,23641,113843,117169,"-","-","NRIP1","LDOC1","RIP140","BCUR1|Mar7|Mart7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120413,4354,51421,110494,119530,"-","-","MPP1","AMOTL2","AAG12|DXS552E|EMP55|MRG1|PEMP","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120450,27229,79991,118078,123054,"-","RP11-541N10.2","TUBGCP4","OBFC1","76P|GCP-4|GCP4|Grip76","AAF-44|AAF44|RPA-32|STN1|bA541N10.2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120543,51421,79571,119530,122718,"-","-","AMOTL2","GCC1","LCCP","GCC1P|GCC88","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120719,9319,57088,114730,121357,"-","GIG43","TRIP13","PLSCR4","16E1BP","TRA1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120720,2810,8534,109072,114104,"-","-","SFN","CHST1","YWHAS","C6ST|GST-1|KS6ST|KSGal6ST|KSST","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120750,8204,56159,113843,121093,"-","RP11-291O7.2","NRIP1","TEX11","RIP140","TGC1|TSGA3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120778,5359,57088,111373,121357,"-","GIG43","PLSCR1","PLSCR4","MMTRA1B","TRA1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120813,10513,170261,115769,127997,"-","-","APPBP2","ZCCHC12","APP-BP2|HS.84084|PAT1","PNMA7A|SIZN|SIZN1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120854,25788,80022,117321,123076,"hCG_2009220","-","RAD54B","MYO15B","RDH54","MYO15BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120968,8751,9319,114287,114730,"RP11-540D14.1","-","ADAM15","TRIP13","MDC15","16E1BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121112,55191,80022,120488,123076,"-","-","NADSYN1","MYO15B","-","MYO15BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121139,83988,113878,123839,125266,"-","-","NCALD","DTX2","-","RNF58","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121142,57088,83755,121357,123756,"GIG43","-","PLSCR4","KRTAP4-12","TRA1","KAP4.12|KRTAP4.12","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121167,2791,51421,109053,119530,"-","-","GNG11","AMOTL2","GNGT11","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121238,51421,54474,119530,119979,"-","-","AMOTL2","KRT20","LCCP","CD20|CK-20|CK20|K20|KRT21","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121370,8204,80321,113843,123234,"-","-","NRIP1","CEP70","RIP140","BITE","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121378,51421,55110,119530,120420,"-","-","AMOTL2","MAGOHB","LCCP","MGN2|mago|magoh","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121452,1488,8204,107870,113843,"RP11-59C5.2","-","CTBP2","NRIP1","-","RIP140","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121505,2670,80022,108938,123076,"-","-","GFAP","MYO15B","-","MYO15BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121524,9513,51421,114890,119530,"-","-","FXR2","AMOTL2","FMR1L2|FXR2P","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121586,51421,51421,119530,119530,"-","-","AMOTL2","AMOTL2","LCCP","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121619,7186,8204,113038,113843,"-","-","TRAF2","NRIP1","MGC:45012|TRAP|TRAP3","RIP140","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121708,10403,51421,115675,119530,"-","-","NDC80","AMOTL2","HEC|HEC1|HsHec1|KNTC2|TID3|hsNDC80","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121719,8379,51421,113971,119530,"-","-","MAD1L1","AMOTL2","MAD1|PIG9|TP53I9|TXBP181","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121737,3866,51421,110064,119530,"-","-","KRT15","AMOTL2","CK15|K15|K1CO","LCCP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121945,57402,140576,121504,126627,"-","AAG13","S100A14","S100A16","BCMP84|S100A15","DT1P1A7|S100F","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
121958,8204,11007,113843,116198,"-","-","NRIP1","CCDC85B","RIP140","DIPA","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
122064,23650,80022,117177,123076,"-","-","TRIM29","MYO15B","ATDC","MYO15BP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
126251,60,83988,106575,123839,"-","-","ACTB","NCALD","BRWS1|PS1TP5BP1","-","Affinity Capture-Western","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
196627,80022,653121,123076,575543,"-","-","MYO15B","ZBTB8A","MYO15BP","BOZF1|ZBTB8|ZNF916A","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
202320,66008,3759,122452,109961,"-","-","TRAK2","KCNJ2","ALS2CR3|CALS-C|GRIF-1|GRIF1|MILT2|OIP98","ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3","Affinity Capture-Western","physical","Grishin A (2006)",16895905,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
202321,66008,3759,122452,109961,"-","-","TRAK2","KCNJ2","ALS2CR3|CALS-C|GRIF-1|GRIF1|MILT2|OIP98","ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3","Two-hybrid","physical","Grishin A (2006)",16895905,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240087,4170,90427,110338,124716,"-","-","MCL1","BMF","BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT","-","Protein-peptide","physical","Chen L (2005)",15694340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240092,597,90427,107069,124716,"-","-","BCL2A1","BMF","ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1","-","Protein-peptide","physical","Chen L (2005)",15694340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240100,27113,596,118009,107068,"-","-","BBC3","BCL2","JFY-1|JFY1|PUMA","Bcl-2|PPP1R50","Affinity Capture-Western","physical","Chen L (2005)",15694340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240101,27113,598,118009,107070,"-","RP5-857M17.3","BBC3","BCL2L1","JFY-1|JFY1|PUMA","BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS","Affinity Capture-Western","physical","Chen L (2005)",15694340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240102,27113,4170,118009,110338,"-","-","BBC3","MCL1","JFY-1|JFY1|PUMA","BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT","Affinity Capture-Western","physical","Chen L (2005)",15694340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
240200,79003,57405,122474,121507,"-","AD024","MIS12","SPC25","2510025F08Rik|KNTC2AP|MTW1|hMis12","SPBC25|hSpc25","Affinity Capture-MS","physical","Cheeseman IM (2004)",15371340,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
241392,10915,7171,116120,113024,"-","-","TCERG1","TPM4","CA150|TAF2S|Urn1","HEL-S-108","Affinity Capture-MS","physical","Lin KT (2004)",15456888,"Homo sapiens","Homo sapiens","Low Throughput","-","-","-","-","-","BIOGRID"
241606,409,9221,106902,114654,"-","-","ARRB2","NOLC1","ARB2|ARR2|BARR2","NOPP130|NOPP140|NS5ATP13|P130","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.514","-","-","Exogenous expression of bait","-","BIOGRID"
241619,22943,11151,116599,116322,"UNQ492/PRO1008","-","DKK1","CORO1A","DKK-1|SK","CLABP|CLIPINA|HCORO1|IMD8|TACO|p57","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.507","-","-","Exogenous expression of bait","-","BIOGRID"
241694,8848,373156,114374,131875,"RP11-269C23.2","HDCMD47P","TSC22D1","GSTK1","Ptg-2|TGFB1I4|TSC22","GST|GST 13-13|GST13|GST13-13|GSTK1-1|hGSTK1","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.475","-","-","Exogenous expression of bait","-","BIOGRID"
241695,408,9221,106901,114654,"-","-","ARRB1","NOLC1","ARB1|ARR1","NOPP130|NOPP140|NS5ATP13|P130","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.473","-","-","Exogenous expression of bait","-","BIOGRID"
241711,3382,8576,109609,114144,"-","-","ICA1","STK16","ICA69|ICAp69","KRCT|MPSK|PKL12|TSF1","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.466","-","-","Exogenous expression of bait","-","BIOGRID"
241787,3382,1270,109609,107670,"-","-","ICA1","CNTF","ICA69|ICAp69","HCNTF","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.443","-","-","Exogenous expression of bait","-","BIOGRID"
241829,8848,1778,114374,108117,"RP11-269C23.2","-","TSC22D1","DYNC1H1","Ptg-2|TGFB1I4|TSC22","DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.435","-","-","Exogenous expression of bait","-","BIOGRID"
241833,3172,6623,109414,112507,"RP5-1013A22.1","-","HNF4A","SNCG","FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14","BCSG1|SR","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.434","-","-","Exogenous expression of bait","-","BIOGRID"
241868,8848,83481,114374,123666,"RP11-269C23.2","-","TSC22D1","EPPK1","Ptg-2|TGFB1I4|TSC22","EPIPL|EPIPL1","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.427","-","-","Exogenous expression of bait","-","BIOGRID"
241972,8848,7917,114374,113647,"RP11-269C23.2","DADB-70P7.10-021","TSC22D1","BAG6","Ptg-2|TGFB1I4|TSC22","BAG-6|BAT3|D6S52E|G3","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.41","-","-","Exogenous expression of bait","-","BIOGRID"
242027,7532,79801,113364,122898,"-","-","YWHAG","SHCBP1","14-3-3GAMMA|PPP1R170","PAL","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.402","-","-","Exogenous expression of bait","-","BIOGRID"
242080,3382,3884,109609,110082,"-","-","ICA1","KRT33B","ICA69|ICAp69","HA3II|Ha-3II|K33B|KRTHA3A|KRTHA3B|hHa3-II","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.395","-","-","Exogenous expression of bait","-","BIOGRID"
242118,2167,6623,108465,112507,"-","-","FABP4","SNCG","A-FABP|AFABP|ALBP|HEL-S-104|aP2","BCSG1|SR","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.39","-","-","Exogenous expression of bait","-","BIOGRID"
242155,1999,23193,108314,116802,"RP11-510N19.1","-","ELF3","GANAB","EPR-1|ERT|ESE-1|ESX","G2AN|GLUII","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.387","-","-","Exogenous expression of bait","-","BIOGRID"
242169,1999,26298,108314,117675,"RP11-510N19.1","-","ELF3","EHF","EPR-1|ERT|ESE-1|ESX","ESE3|ESE3B|ESEJ","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.386","-","-","Exogenous expression of bait","-","BIOGRID"
242202,10422,10788,115691,116004,"RP11-432J22.3","-","UBAC1","IQGAP2","GBDR1|UBADC1","-","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.384","-","-","Exogenous expression of bait","-","BIOGRID"
242208,3382,8195,109609,113837,"-","-","ICA1","MKKS","ICA69|ICAp69","BBS6|HMCS|KMS|MKS","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.383","-","-","Exogenous expression of bait","-","BIOGRID"
242236,8848,4548,114374,110642,"RP11-269C23.2","-","TSC22D1","MTR","Ptg-2|TGFB1I4|TSC22","HMAG|MS|cblG","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.38","-","-","Exogenous expression of bait","-","BIOGRID"
242252,7077,6623,112933,112507,"-","-","TIMP2","SNCG","CSC-21K|DDC8|KIAA1731NL","BCSG1|SR","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.379","-","-","Exogenous expression of bait","-","BIOGRID"
242392,6623,8655,112507,114206,"-","-","SNCG","DYNLL1","BCSG1|SR","DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.368","-","-","Exogenous expression of bait","-","BIOGRID"
242410,8607,144455,114166,126855,"-","-","RUVBL1","E2F7","ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A","-","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.367","-","-","Exogenous expression of bait","-","BIOGRID"
242425,8848,54919,114374,120260,"RP11-269C23.2","-","TSC22D1","DNAAF5","Ptg-2|TGFB1I4|TSC22","CILD18|HEATR2","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.366","-","-","Exogenous expression of bait","-","BIOGRID"
242494,8848,10985,114374,116181,"RP11-269C23.2","-","TSC22D1","GCN1L1","Ptg-2|TGFB1I4|TSC22","GCN1|GCN1L|PRIC295","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.361","-","-","Exogenous expression of bait","-","BIOGRID"
242495,8848,4704,114374,110784,"RP11-269C23.2","-","TSC22D1","NDUFA9","Ptg-2|TGFB1I4|TSC22","CC6|CI-39k|CI39k|NDUFS2L|SDR22E1","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.361","-","-","Exogenous expression of bait","-","BIOGRID"
242497,7189,23193,113041,116802,"-","-","TRAF6","GANAB","MGC:3310|RNF85","G2AN|GLUII","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.361","-","-","Exogenous expression of bait","-","BIOGRID"
242572,1017,6272,107452,112180,"-","-","CDK2","SORT1","CDKN2|p33(CDK2)","Gp95|LDLCQ6|NT3","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.354","-","-","Exogenous expression of bait","-","BIOGRID"
242681,8848,3376,114374,109605,"RP11-269C23.2","RP11-62C3.1","TSC22D1","IARS","Ptg-2|TGFB1I4|TSC22","IARS1|ILERS|ILRS|IRS|PRO0785","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.346","-","-","Exogenous expression of bait","-","BIOGRID"
242697,8848,29959,114374,118995,"RP11-269C23.2","-","TSC22D1","NRBP1","Ptg-2|TGFB1I4|TSC22","BCON3|MADM|MUDPNP|NRBP","Affinity Capture-MS","physical","Ewing RM (2007)",17353931,"Homo sapiens","Homo sapiens","High Throughput","0.345","-","-","Exogenous expression of bait","-","BIOGRID"
