Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
B3GALT4,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,0.0155394890951578; 0.0155394890951578,,,,,,
BAIAP2,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,Escherichia coli;In vitro,0.44;0.72;0.74,Homo sapiens;chemical synthesis;eco57,Homo sapiens
BRSK2,,,,,Paroxysmal exertion-induced dyskinesia ORPHA:98811; Oculocutaneous albinism type 2 ORPHA:79432; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0414176838632111; 0.0473879273649914,,,,,,
C11ORF52,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,,,,
C2CD2L,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,0.0081550609410495; 0.0155394890951578,,,,,,
CAMK2N2,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Spinocerebellar ataxia type 21 ORPHA:98773; Paroxysmal exertion-induced dyskinesia ORPHA:98811; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0473879273649914,,,,,,
CCNA2,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Filippi syndrome ORPHA:3255; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Citrullinemia type II ORPHA:247585; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
CCNB1,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Currarino syndrome ORPHA:1552; Filippi syndrome ORPHA:3255; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Citrullinemia type II ORPHA:247585; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
CCNB2,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Currarino syndrome ORPHA:1552; Filippi syndrome ORPHA:3255; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Citrullinemia type II ORPHA:247585; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
CCND3,,,,,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Incontinentia pigmenti ORPHA:464; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612,0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
CCNE1,,,,,Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Large congenital melanocytic nevus ORPHA:626,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111,,,,,,
CD52,,,,,Familial isolated pituitary adenoma ORPHA:314777,0.0414176838632111,,,,,,
CDA,,,,,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960,0.0414176838632111,,,,,,
CDC25C,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Currarino syndrome ORPHA:1552; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Citrullinemia type II ORPHA:247585; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
CDC34,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993,0.0144185025972157,,,In vitro,0.68,Homo sapiens,Homo sapiens
CDC42BPB,,,,,NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0429491792829903,,,,,,
CDH1,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,In vitro,0.88,Homo sapiens,Homo sapiens
CDH3,,,,,Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583,0.0155394890951578; 0.0155394890951578; 0.0155394890951578,,,,,,
CDKN1A,,,,,Multiple endocrine neoplasia type 1 ORPHA:652,0.0473879273649914,,,In vitro,0.44,Homo sapiens,Homo sapiens;chemical synthesis
CDKN2B,,,,,Multiple endocrine neoplasia type 1 ORPHA:652,0.0473879273649914,,,,,,
CEBPB,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105; Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960",0.0155394890951578; 0.0414176838632111,,,In vitro,0.44,Homo sapiens,Homo sapiens
CENPA,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Currarino syndrome ORPHA:1552; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
CKB,,,,,Paroxysmal exertion-induced dyskinesia ORPHA:98811; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0473879273649914,,,,,,
CLK3,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,0.0081550609410495; 0.0155394890951578,,,,,,
CLSTN3,,,,,Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; 1p36 deletion syndrome ORPHA:1606,0.0155394890951578; 0.0155394890951578; 0.0184072076199886,,,,,,
CORO1A,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533; Familial isolated pituitary adenoma ORPHA:314777,0.0155394890951578; 0.0414176838632111; 0.0414176838632111,,,,,,
CTIF,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0429491792829903,,,,,,
DAZAP2,,,,,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,0.0155394890951578; 0.0155394890951578,,,,,,
DDX17,,,,,Lymphangioleiomyomatosis ORPHA:538; Tuberous sclerosis complex ORPHA:805,0.0414176838632111; 0.0414176838632111,,,In vitro,0.44,Homo sapiens,Homo sapiens
DEAF1,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066,0.0155394890951578,,,,,,
DRAP1,,,,,Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031,0.0144185025972157; 0.0144185025972157,,,,,,
DYRK1B,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Familial lipase maturation factor 1 deficiency ORPHA:535453; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0036432528126817; 0.0155394890951578; 0.0155394890951578; 0.0429491792829903,,,,,,
EHD1,,,,,Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Incontinentia pigmenti ORPHA:464; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Intermediate osteopetrosis ORPHA:210110,0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
ENTPD2,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,,,,
EVI5L,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031; Otospondylomegaepiphyseal dysplasia ORPHA:1427; Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427,0.0144185025972157; 0.0144185025972157; 0.0144185025972157; 0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
FGD3,,,,,Familial isolated pituitary adenoma ORPHA:314777,0.0414176838632111,,,,,,
FRY,,,,,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,0.0155394890951578,,,,,,
FSTL3,,,,,Crisponi syndrome ORPHA:1545; Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0155394890951578; 0.0414176838632111,,,,,,
FXR2,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031,0.0144185025972157; 0.0144185025972157; 0.0144185025972157,,,In vitro,0.69,Homo sapiens,Homo sapiens
GAS2L1,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031; Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0144185025972157; 0.0144185025972157; 0.0144185025972157; 0.0414176838632111,,,,,,
GPRIN1,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Oculocutaneous albinism type 2 ORPHA:79432; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0414176838632111; 0.0473879273649914,,,,,,
HERC1,,,,,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530,0.0155394890951578,,,,,,
HS6ST1,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,,,,
IER3,,,,,Crisponi syndrome ORPHA:1545,0.0155394890951578,,,,,,
IFI44,,,,,Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,0.0155394890951578,,,,,,
IGSF8,,,,,Familial lipase maturation factor 1 deficiency ORPHA:535453,0.0155394890951578,,,,,,
IQSEC1,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; 1p36 deletion syndrome ORPHA:1606,0.0036432528126817; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886,,,,,,
ISG15,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,0.0155394890951578; 0.0155394890951578,,,In vitro,0.44;0.72,Homo sapiens;Human SARS coronavirus,Homo sapiens;Human SARS coronavirus;cvemc
ITPRIP,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105; Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960",0.0155394890951578; 0.0414176838632111,,,,,,
KATNB1,,,,,Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031; PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066,0.0144185025972157; 0.0144185025972157; 0.0155394890951578,,,,,,
KIAA0513,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530,0.0081550609410495; 0.0155394890951578; 0.0155394890951578,,,,,,
