Id,Type
VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,Disease
SH2B2,Gene
ACOT7,Gene
Adult-onset dystonia-parkinsonism ORPHA:199351,Disease
TAOK2,Gene
CDH1,Gene
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,Disease
OSBPL7,Gene
TSPAN5,Gene
Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395,Disease
Charcot-Marie-Tooth disease type 4G ORPHA:99953,Disease
Otospondylomegaepiphyseal dysplasia ORPHA:1427,Disease
CCNB2,Gene
DEAF1,Gene
Atrial septal defect sinus venosus type ORPHA:99105,Disease
CD52,Gene
STARD3,Gene
EHD1,Gene
SYNGR3,Gene
NXPH4,Gene
STK11IP,Gene
TMED1,Gene
Multiple endocrine neoplasia type 1 ORPHA:652,Disease
Familial isolated pituitary adenoma ORPHA:314777,Disease
CCNE1,Gene
C11ORF52,Gene
Citrullinemia type II ORPHA:247585,Disease
RPUSD1,Gene
Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960,Disease
Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231,Disease
REC8,Gene
Congenital dyserythropoietic anemia type III ORPHA:98870,Disease
TREX1,Gene
Filippi syndrome ORPHA:3255,Disease
Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641,Disease
GPRIN1,Gene
PAN2,Gene
RGS11,Gene
Megaconial congenital muscular dystrophy ORPHA:280671,Disease
NOL3,Gene
CLK3,Gene
Charcot-Marie-Tooth disease type 2P ORPHA:300319,Disease
Ear-patella-short stature syndrome ORPHA:2554,Disease
IGSF8,Gene
Proximal myopathy with focal depletion of mitochondria ORPHA:521305,Disease
PLIN3,Gene
Mosaic variegated aneuploidy syndrome ORPHA:1052,Disease
CDKN1A,Gene
KIAA0513,Gene
SNX29,Gene
B3GALT4,Gene
PPP1R13L,Gene
Intermediate osteopetrosis ORPHA:210110,Disease
PGS1,Gene
IFI44,Gene
HS6ST1,Gene
PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066,Disease
KATNB1,Gene
PLK4,Gene
BAIAP2,Gene
Classic glucose transporter type 1 deficiency syndrome ORPHA:71277,Disease
ABCA7,Gene
FRY,Gene
Tuberous sclerosis complex ORPHA:805,Disease
Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897,Disease
DYRK1B,Gene
Stromme syndrome ORPHA:506307,Disease
Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391,Disease
Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512,Disease
Small cell lung cancer ORPHA:70573,Disease
Microcephaly-micromelia syndrome ORPHA:572768,Disease
SYT7,Gene
Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526,Disease
Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533,Disease
Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598,Disease
PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134,Disease
Idiopathic CD4 lymphocytopenia ORPHA:228000,Disease
FSTL3,Gene
EVI5L,Gene
