Id,Type
Tuberculosis Pulmonary,Disease
Breast adenocarcinoma,Disease
Juvenile Paget disease ORPHA:2801,Disease
Allergic rhinitis (disorder),Disease
Peritonitis,Disease
Epilepsy,Disease
Atrial Fibrillation,Disease
Spondylarthritis,Disease
Thyroid Carcinoma,Disease
Hepatitis Alcoholic,Disease
EGR1,Gene
Ovarian Carcinoma,Disease
Ventricular Fibrillation,Disease
Temporomandibular Joint Dysfunction Syndrome,Disease
Tobacco Dependence,Disease
Thyroid associated opthalmopathies,Disease
Gastritis Atrophic,Disease
Encephalitis,Disease
Schizophrenia,Disease
Enterocolitis,Disease
Interstitial lung fibrosis,Disease
Developmental delay (disorder),Disease
Cleft lip/palate ORPHA:199306,Disease
Systemic-onset juvenile idiopathic arthritis ORPHA:85414,Disease
Hyperalgesia Primary,Disease
PACHYONYCHIA CONGENITA 3,Disease
Cytomegalovirus Infections,Disease
Angiomyolipoma,Disease
AIDS with Kaposi's sarcoma,Disease
precancerous lesions,Disease
Chronic cough,Disease
Syphilis,Disease
Adenoma,Disease
Adamantinous Craniopharyngioma,Disease
Acute Chest Syndrome,Disease
Atrichia with papular lesions ORPHA:86819,Disease
Vaginal Diseases,Disease
Squamous cell carcinoma of the head and neck,Disease
Malignant neoplasm of gastrointestinal tract,Disease
Leukemia Mast-Cell,Disease
Myeloid neoplasm,Disease
Conventional (Clear Cell) Renal Cell Carcinoma,Disease
Stromal Neoplasm,Disease
Coronary Artery Disease,Disease
Malignant tumor of cervix,Disease
Hypokalemic metabolic alkalosis,Disease
TNF receptor-associated periodic fever syndrome (TRAPS),Disease
Endometriosis of uterus,Disease
inflammatory joint disease,Disease
Benign Prostatic Hyperplasia,Disease
Duodenal Ulcer,Disease
Clostridium,Disease
invasive cancer,Disease
Niemann-Pick disease type C late infantile neurologic onset ORPHA:216978,Disease
Human gammaherpesvirus 8 K6 (gene: K6),Pathogen
Virus Diseases,Disease
Rhinitis Allergic Perennial,Disease
Central Diabetes Insipidus,Disease
Cerebral Ischemia,Disease
Isolated Microphthalmia-Anophthalmia-Coloboma,Disease
Glioblastoma IDH-Wildtype,Disease
Urothelial Carcinoma,Disease
Carcinoma Granular Cell,Disease
Nicotine Dependence,Disease
Nasopharyngeal carcinoma ORPHA:150,Disease
Prostate Cancer,Disease
Brain Ischemia,Disease
Human papillomavirus type 56 envelope protein (gene: E7),Pathogen
Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,Disease
Anophthalmos,Disease
Anxiety,Disease
Childhood Acute Lymphoblastic Leukemia,Disease
Angina Unstable,Disease
Osteoporosis,Disease
Alcoholic Intoxication,Disease
Melanocytic nevus,Disease
Non-Small Cell Lung Carcinoma,Disease
Hematopoetic Myelodysplasia,Disease
Hamartoma,Disease
Human papillomavirus type 13 E7 (gene: E7),Pathogen
Dermatitis,Disease
Bacterial keratitis,Disease
Adenocarcinoma,Disease
Hepatocarcinogenesis,Disease
Infection - suppurative,Disease
Anemia,Disease
Urinary tract infection,Disease
Proliferative vitreoretinopathy,Disease
Osteofibrous dysplasia ORPHA:488265,Disease
Congenital Abnormality,Disease
Essential Hypertension,Disease
Mycoses,Disease
Atherosclerosis,Disease
Apraxia Developmental Verbal,Disease
Crohn's disease of large bowel,Disease
Allergic asthma,Disease
Small cell carcinoma of lung,Disease
Human betaherpesvirus 5 chemokine vCXCL2 (gene: UL147),Pathogen
Experimental Organism Basal Cell Carcinoma,Disease
Vaccinia virus Ankara viral chemokine binding protein,Pathogen
Inflammatory dermatosis,Disease
Acute periodontitis,Disease
Vascular Diseases,Disease
Small Fiber Neuropathy,Disease
Basal cell carcinoma,Disease
Human papillomavirus type 108 early protein E7 (gene: E7),Pathogen
Chromosome 5 trisomy 5q,Disease
Prostatic Hyperplasia,Disease
Colorectal cancer metastatic,Disease
Huntington Disease,Disease
Visual seizure,Disease
Bullous pemphigoid,Disease
Malignant Glioma,Disease
Renal tubular disorder,Disease
Metabolic Alkalosis,Disease
Delirium,Disease
Thymic Lymphoma,Disease
Gastrointestinal Diseases,Disease
Carcinoma of lung,Disease
Uveal melanoma,Disease
Malignant ascites,Disease
Adenocarcinoma of prostate,Disease
Dermatomyositis Childhood Type,Disease
Anthrax disease,Disease
Squamous cell carcinoma of esophagus,Disease
Coprophilia (disorder),Disease
Renal carcinoma,Disease
Uterine Fibroids,Disease
Mental Depression,Disease
Vaccinia virus chemokine binding protein (gene: C23L),Pathogen
Branchio-oculo-facial syndrome ORPHA:1297,Disease
Parkinson Disease,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL5 (gene: UL146B),Pathogen
Hypokalemia,Disease
Multiple Myeloma,Disease
Neutrophilia (disorder),Disease
Brachydactyly type E ORPHA:93387,Disease
Hemorrhagic colitis,Disease
Little's Disease,Disease
Diabetic Retinopathy,Disease
Hyaline Membrane Disease,Disease
Aseptic Meningitis,Disease
Malignant neoplasm of pancreas,Disease
Malignant mesothelioma,Disease
Tumor Angiogenesis,Disease
Pituitary Neoplasms,Disease
Liver cyst,Disease
Hyperalgesia Thermal,Disease
Hepatitis A,Disease
CONSTRICTING BANDS CONGENITAL,Disease
Fibrosarcoma,Disease
Urinary Bladder Diseases,Disease
Osteopenia,Disease
Hypertension,Disease
Chronic Obstructive Pulmonary Disease,Disease
Bacterial Vaginosis,Disease
Skin Ulcer,Disease
Muscle damage,Disease
Juvenile arthritis,Disease
Still Disease,Disease
Arthritis,Disease
Thrombocythemia Essential,Disease
Acute appendicitis NOS (disorder),Disease
Tactile Allodynia,Disease
Pericytic Neoplasm,Disease
Pancreatitis Chronic,Disease
Hereditary pediatric Behcet-like disease ORPHA:476102,Disease
stage prostate cancer,Disease
Osteitis Deformans,Disease
Lip and Oral Cavity Carcinoma,Disease
Acute myelomonocytic leukemia,Disease
ovarian neoplasm,Disease
Hyperalgesia Secondary,Disease
Bronchitis,Disease
Multiple malignancy,Disease
Lupus Erythematosus Systemic,Disease
Tuberculosis Meningeal,Disease
Severe myopia,Disease
Subependymal Giant Cell Astrocytoma,Disease
Enterovirus 71 infection,Disease
Bronchiolitis Obliterans Organizing Pneumonia,Disease
Acute Promyelocytic Leukemia,Disease
Arthropathy,Disease
Malignant neoplasm of breast,Disease
Carcinoma Cribriform,Disease
Cystic Fibrosis,Disease
Drug-Induced Liver Disease,Disease
Uterine Corpus Cancer,Disease
Giant Cell Glioblastoma,Disease
Choriocarcinoma,Disease
Nicotine Use Disorder,Disease
Dermatitis Irritant,Disease
Neoplasm Metastasis,Disease
Stage III Colon Cancer AJCC v7,Disease
Barrett Esophagus,Disease
Epithelioma,Disease
Hematological Disease,Disease
Pterygium,Disease
Disseminated Malignant Neoplasm,Disease
Lymphoproliferative Disorder of the Skin,Disease
Endemic Cretinism,Disease
cardiac event,Disease
Cushing Syndrome,Disease
Ataxia Telangiectasia,Disease
Epidermolysis Bullosa Simplex,Disease
Human papillomavirus type 6 E5B (gene: E5B),Pathogen
Coronary Arteriosclerosis,Disease
Congenital laryngeal adductor palsy,Disease
Mesothelioma,Disease
Muscle Cramp,Disease
Hepatitis,Disease
Chronic active hepatitis C,Disease
Lymphocytic infiltration,Disease
Alveolitis,Disease
Dengue Fever,Disease
Leishmaniasis New World,Disease
Abnormal behavior,Disease
Toxic Shock Syndrome,Disease
Peripheral Vascular Diseases,Disease
Nasal Polyps,Disease
LEOPARD Syndrome,Disease
Tremor,Disease
Focal Seizures,Disease
Carcinoma of larynx,Disease
Intellectual Disability,Disease
Alcohol Use Disorder,Disease
Lung diseases,Disease
Lipoatrophy,Disease
Pyoderma Gangrenosum,Disease
Acute monocytic leukemia,Disease
Malaria,Disease
Rheumatoid Arthritis,Disease
Multiple Sclerosis,Disease
Vesico-Ureteral Reflux,Disease
Gastric ulcer,Disease
Arthralgia,Disease
Asthma,Disease
Metaphyseal anadysplasia ORPHA:1040,Disease
Gastritis,Disease
Carcinoma breast stage IV,Disease
Secondary malignant neoplasm of bone,Disease
Chiari malformation type II,Disease
Staphylococcal toxic shock syndrome,Disease
Cocaine Abuse,Disease
Thyroid Gland Follicular Adenoma,Disease
Polycystic Ovary Syndrome,Disease
American cutaneous leishmaniasis,Disease
Meningitis Bacterial,Disease
Exanthema,Disease
Amebic colitis,Disease
Lyme Arthritis,Disease
Diabetic Foot,Disease
Hypomagnesemia 2 renal,Disease
Leukoplakia Oral,Disease
Respiratory Distress Syndrome Adult,Disease
Amebiasis,Disease
Autoimmune Diseases,Disease
T-Cell Lymphoma,Disease
Abdominal obesity metabolic syndrome,Disease
Abscess,Disease
Cardiac Arrest,Disease
Generalized muscle weakness,Disease
Cholangiocarcinoma,Disease
Esophagitis,Disease
Tobacco Use Disorder,Disease
Dermatologic disorders,Disease
Trisomy 21,Disease
Acute myocardial infarction,Disease
stage ovarian epithelial cancer,Disease
Malignant Neoplasms,Disease
Bartter Disease,Disease
Pervasive Development Disorder,Disease
Peritoneal adhesion,Disease
melanoma,Disease
Raynaud Phenomenon,Disease
Down Syndrome Partial Trisomy 21,Disease
Hypofibrinogenemia,Disease
Coronary heart disease,Disease
Dry Eye Syndromes,Disease
Leukemia B-Cell,Disease
Rhinovirus infection,Disease
Seminoma,Disease
Trisomy 21 Mitotic Nondisjunction,Disease
Clostridium difficile infection,Disease
Helicobacter-associated gastritis,Disease
Inflammation,Disease
Bronchiolitis Obliterans,Disease
Chronic gastritis,Disease
Hyperalgesia,Disease
Malignant neoplasm of prostate,Disease
Childhood Osteosarcoma,Disease
Afibrinogenemia,Disease
Niemann-Pick Disease Type C,Disease
Polyuria,Disease
Renal tubular acidosis,Disease
MYELOPROLIFERATIVE DISORDER CHRONIC WITH EOSINOPHILIA,Disease
Amaurosis congenita of Leber type 1,Disease
Stomach Carcinoma,Disease
Laryngeal neoplasm,Disease
Renal cyst,Disease
Bright Disease,Disease
Nodular melanoma,Disease
Epithelial hyperplasia,Disease
Molluscum contagiosum virus subtype 1 MC148R (gene: MC148R),Pathogen
Papillary thyroid carcinoma,Disease
Endothelial dysfunction,Disease
Seizures,Disease
Glioma,Disease
Bullous keratopathy,Disease
Staphylococcal Infections,Disease
MYELOPROLIFERATIVE SYNDROME TRANSIENT,Disease
Complete atrioventricular block,Disease
Human papillomavirus type 144 transforming protein (gene: E7),Pathogen
Pericardial Effusion,Disease
Mucocutaneous leishmaniasis,Disease
Solitary fibrous tumor,Disease
Malignant neoplasm of esophagus,Disease
Infection caused by Helicobacter pylori,Disease
Cervical Intraepithelial Neoplasia,Disease
Pneumonitis,Disease
Respiratory Syncytial Virus Infections,Disease
Junctional Epidermolysis Bullosa,Disease
Skin Erosion,Disease
Dementia,Disease
Gonorrhea,Disease
Myositis,Disease
Cerebral Palsy,Disease
Paralysed,Disease
Arteriosclerosis,Disease
Cocaine Dependence,Disease
Isolated microphthalmia-anophthalmia-coloboma ORPHA:2542,Disease
Autism Spectrum Disorders,Disease
Hyperactive behavior,Disease
Alkalosis,Disease
Chondrosarcoma,Disease
Congenital Heart Defects,Disease
Age related macular degeneration,Disease
Dermatitis Atopic,Disease
Interstitial Cystitis,Disease
Keratosis Follicularis,Disease
Pancreatic Cancer,Disease
Juvenile Arthritis,Disease
MYELODYSPLASTIC SYNDROME,Disease
fertility disorders,Disease
Adenocarcinoma Oxyphilic,Disease
Oral Submucous Fibrosis,Disease
Sepsis,Disease
Allergic disposition,Disease
Rhabdomyosarcoma,Disease
Mental Retardation,Disease
Coughing,Disease
Pancreatic carcinoma,Disease
Hypercholesterolemia,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL10 (gene: UL146G),Pathogen
Cachexia,Disease
Refractory anemias,Disease
Mycoplasma Infections,Disease
Malignant hyperpyrexia due to anesthesia,Disease
Childhood Synovial Sarcoma,Disease
Myeloid Metaplasia,Disease
Bardet-Biedl Syndrome,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL2 (gene: UL147),Pathogen
Triple Negative Breast Neoplasms,Disease
Endometrial Neoplasms,Disease
Keratoconjunctivitis Sicca,Disease
Connective Tissue Diseases,Disease
Pneumocystis jiroveci pneumonia,Disease
Thyroid Neoplasm,Disease
Encephalopathies,Disease
Malignant tumor of colon,Disease
androgen independent prostate cancer,Disease
Pineal germinoma,Disease
Gitelman syndrome ORPHA:358,Disease
Kidney Disease,Disease
Human anaplasmosis due to Anaplasma phagocytophilum,Disease
Senile Plaques,Disease
Seronegative rheumatoid arthritis,Disease
Actinic keratosis,Disease
Alcoholic Intoxication Chronic,Disease
Chronic lung disease,Disease
Metastatic malignant neoplasm to brain,Disease
Depressed mood,Disease
Glycogen Storage Disease,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F),Pathogen
Hepatic Form of Wilson Disease,Disease
Cerebrovascular accident,Disease
Carcinoma Small Cell,Disease
Tetany,Disease
Pleomorphic Xanthoastrocytoma,Disease
Selenium deficiency,Disease
Hyperglycemia,Disease
Brain Neoplasms,Disease
Oropharyngeal Carcinoma,Disease
Global developmental delay,Disease
Ovarian Cysts,Disease
Glioblastoma Multiforme,Disease
Overweight,Disease
Cercopithecine betaherpesvirus 5 chemokine vCXCL6 (gene: UL146C),Pathogen
Aneurysm,Disease
Secondary malignant neoplasm of liver,Disease
Adult-Onset Still Disease,Disease
AICARDI-GOUTIERES SYNDROME 1,Disease
Retinal Diseases,Disease
Marfan Syndrome,Disease
Hypermagnesemia,Disease
Infant Premature,Disease
Acute type B viral hepatitis,Disease
Intestinal Neoplasms,Disease
Disorder of eye,Disease
Astrocytoma,Disease
Infarction Middle Cerebral Artery,Disease
Mitochondrial Encephalopathy,Disease
Hyperinsulinism,Disease
Hypomagnesemia,Disease
Heart Failure,Disease
Female Genital Diseases,Disease
Myeloid Leukemia Chronic,Disease
Thyroid carcinoma,Disease
Healing ulcer,Disease
Arthritis Gouty,Disease
Thrombocytopenia,Disease
Cutaneous Melanoma,Disease
SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME,Disease
Respiratory distress,Disease
Anemia Sickle Cell,Disease
Cardiovascular Diseases,Disease
Human betaherpesvirus 5 chemokine vCXCL1 (gene: UL146),Pathogen
Herpes Simplex Infections,Disease
psychosocial stressor,Disease
Hypocholesterolemia,Disease
Anaplastic thyroid carcinoma,Disease
Urban cutaneous leishmaniasis,Disease
Teratoma,Disease
Melanoma,Disease
cervical cancer,Disease
Nephroblastoma,Disease
leukemia,Disease
Adenocarcinoma Of Esophagus,Disease
Tuberculosis,Disease
Localized scleroderma,Disease
Tuberous Sclerosis,Disease
Pancreatic Ductal Adenocarcinoma,Disease
Gout,Disease
Chronic myeloproliferative disorder,Disease
Trisomy 21 Meiotic Nondisjunction,Disease
Secondary malignant neoplasm of lung,Disease
Retinoic acid syndrome,Disease
Encephalitis St. Louis,Disease
Lesion of brain,Disease
Bronchiolitis,Disease
Ovarian Neoplasm,Disease
Human papillomavirus type 96 E7,Pathogen
Acute GVH disease,Disease
Lyme Disease,Disease
Liver Cirrhosis,Disease
Mechanical Allodynia,Disease
Human papillomavirus type 163 E7 (gene: E7),Pathogen
Tumor Progression,Disease
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289,Disease
Fetid chronic bronchitis,Disease
Thymoma type C,Disease
Dryness of eye,Disease
Celiac Disease,Disease
Bartter syndrome type 3,Disease
Metabolic Diseases,Disease
Human papillomavirus 172 E7,Pathogen
Peritonsillar Abscess,Disease
Measles,Disease
Leprosy,Disease
Iron Deficiency Anemia,Disease
Upper Respiratory Infections,Disease
leiomyosarcoma,Disease
Osteosarcoma of bone,Disease
Pseudotumor Cerebri,Disease
Temporomandibular Joint Disorders,Disease
Hyperlipoproteinemia Type IIa,Disease
Fanconi Anemia,Disease
UMOD-related autosomal dominant tubulointerstitial kidney disease ORPHA:88950,Disease
Myelodysplastic Syndrome with Isolated del(5q),Disease
Zollinger-Ellison syndrome,Disease
Juvenile rheumatoid arthritis,Disease
Hypoxia,Disease
Promyelocytic leukemia,Disease
Intermediate generalized junctional epidermolysis bullosa ORPHA:79402,Disease
Hodgkin Disease,Disease
Pleural effusion disorder,Disease
Hamartoma Syndrome Multiple,Disease
Soft Tissue Infections,Disease
Skin Neoplasms,Disease
Cryptogenic multifocal ulcerous stenosing enteritis ORPHA:468635,Disease
Acute leukemia,Disease
Endometrial Carcinoma,Disease
Periodontitis Juvenile,Disease
Lymphoma,Disease
Leukocytosis,Disease
Lichen Planus Oral,Disease
Crohn Disease,Disease
Wheezing,Disease
Hematologic Neoplasms,Disease
Ulcerative colitis in remission,Disease
Idiopathic Pulmonary Fibrosis,Disease
Psoriasiform eczema,Disease
Eclampsia,Disease
Autism,Disease
Human papillomavirus type 82 E7,Pathogen
Leishmaniasis Cutaneous,Disease
Cortical Dysplasia,Disease
Recurrent urinary tract infection,Disease
CXCL8,Gene
Lung Carcinoma,Disease
Superinfection,Disease
Thymic Carcinoma,Disease
Amyloidosis,Disease
Kidney Neoplasm,Disease
Myelofibrosis,Disease
Lymphatic Metastasis,Disease
Ulcerative Colitis,Disease
Pelvic Inflammatory Disease,Disease
