Interactor A Genes,Interactor B Genes,Combined Score,Taxid interactor A,Taxid interactor B,Genes,Log2FoldChange,FoldChange,Regulation
SMARCE1,SMARCD3,0.999,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,DPF1,0.982,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,BCL7B,0.979,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,ARID2,0.963,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SS18,SMARCD3,0.985,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
ARID1B,SMARCD3,0.993,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
BCL7B,SMARCD3,0.979,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
ARID2,SMARCD3,0.963,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,ARID1B,0.993,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,SS18,0.985,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,SMARCE1,0.999,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
PBRM1,SMARCD3,0.997,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
SMARCD3,PHF10,0.978,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
DPF1,SMARCD3,0.982,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
PHF10,SMARCD3,0.978,Homo sapiens,Homo sapiens,SMARCD3,4.7212914776344,26.3785156137027,UpRegulated
KCNE3,KCNH2,0.95,Homo sapiens,Homo sapiens,KCNE3,-4.71613133819586,26.2843351542897,DownRegulated
KCNN4,KCNE3,0.947,Homo sapiens,Homo sapiens,KCNE3,-4.71613133819586,26.2843351542897,DownRegulated
KCNH2,KCNE3,0.95,Homo sapiens,Homo sapiens,KCNE3,-4.71613133819586,26.2843351542897,DownRegulated
KCNE3,KCNN4,0.947,Homo sapiens,Homo sapiens,KCNE3,-4.71613133819586,26.2843351542897,DownRegulated
EDN1,EDN2,0.95,Homo sapiens,Homo sapiens,EDN2,4.6444056225184,25.0095227571273,UpRegulated
EDN2,EDN1,0.95,Homo sapiens,Homo sapiens,EDN2,4.6444056225184,25.0095227571273,UpRegulated
MLXIPL,PPARGC1B,0.944,Homo sapiens,Homo sapiens,MLXIPL,4.62106070062838,24.6080886508167,UpRegulated
MLXIPL,LIPE,0.9,Homo sapiens,Homo sapiens,MLXIPL,4.62106070062838,24.6080886508167,UpRegulated
PPARGC1B,MLXIPL,0.944,Homo sapiens,Homo sapiens,MLXIPL,4.62106070062838,24.6080886508167,UpRegulated
LIPE,MLXIPL,0.9,Homo sapiens,Homo sapiens,MLXIPL,4.62106070062838,24.6080886508167,UpRegulated
TUBB2A,TUBB2B,0.933,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
GAK,CLTCL1,0.996,Homo sapiens,Homo sapiens,CLTCL1,4.55846065703241,23.5631523817826,UpRegulated
NDC80,TUBB2B,0.925,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
GABPB1,TUBB2B,0.911,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
TUBB2B,GABPB1,0.911,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
CLTCL1,AP2A1,0.98,Homo sapiens,Homo sapiens,CLTCL1,4.55846065703241,23.5631523817826,UpRegulated
TUBB2B,MAPRE3,0.948,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
CLTCL1,GAK,0.996,Homo sapiens,Homo sapiens,CLTCL1,4.55846065703241,23.5631523817826,UpRegulated
TUBB2B,NDC80,0.925,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
TUBB2B,DYNC1H1,0.984,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
TUBB2B,TUBB2A,0.933,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
AP2A1,CLTCL1,0.98,Homo sapiens,Homo sapiens,CLTCL1,4.55846065703241,23.5631523817826,UpRegulated
MAPRE3,TUBB2B,0.948,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
DYNC1H1,TUBB2B,0.984,Homo sapiens,Homo sapiens,TUBB2B,4.55846065703241,23.5631523817826,UpRegulated
VPS37D,VPS36,0.952,Homo sapiens,Homo sapiens,VPS37D,4.54615537596291,23.3630281959879,UpRegulated
VPS37D,CHMP1B,0.929,Homo sapiens,Homo sapiens,VPS37D,4.54615537596291,23.3630281959879,UpRegulated
CHMP1B,VPS37D,0.929,Homo sapiens,Homo sapiens,VPS37D,4.54615537596291,23.3630281959879,UpRegulated
VPS36,VPS37D,0.952,Homo sapiens,Homo sapiens,VPS37D,4.54615537596291,23.3630281959879,UpRegulated
JUN,IL1B,0.987,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
CASP8,IL1B,0.943,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
IL1B,NFKB1,0.996,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
IL1B,CASP8,0.943,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
IL1B,JUN,0.987,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
NFKB1,IL1B,0.996,Homo sapiens,Homo sapiens,IL1B,4.46195397500601,22.0384976566734,UpRegulated
PIP5K1B,PIP5KL1,0.934,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIK3CD,PIP5KL1,0.94,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PI4K2A,PIP5KL1,0.921,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5KL1,PIP5K1C,0.93,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5K1C,PIP5KL1,0.93,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5KL1,PI4KA,0.937,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PI4KA,PIP5KL1,0.937,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5KL1,PIP5K1B,0.934,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5KL1,PI4K2A,0.921,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
PIP5KL1,PIK3CD,0.94,Homo sapiens,Homo sapiens,PIP5KL1,4.30352067653237,19.7464400293199,UpRegulated
RBX1,CDKN1A,0.945,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,GADD45A,0.974,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,BCCIP,0.99,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CUL1,0.958,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,RBX1,0.945,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
EP300,CDKN1A,0.92,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CCNE1,CDKN1A,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CCNB2,0.927,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
GADD45A,CDKN1A,0.974,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CCNB2,CDKN1A,0.927,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CCND3,CDKN1A,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,TP53,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CCNB1,CDKN1A,0.977,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
MYC,CDKN1A,0.981,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
TP53,CDKN1A,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CCNB1,0.977,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CREBBP,CDKN1A,0.904,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
BCCIP,CDKN1A,0.99,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CCNE1,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CREBBP,0.904,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CCND3,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,MYC,0.981,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,EP300,0.92,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CDKN1A,CCNA2,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CCNA2,CDKN1A,0.999,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
CUL1,CDKN1A,0.958,Homo sapiens,Homo sapiens,CDKN1A,4.20553466867112,18.4498178597307,UpRegulated
NNMT,SIRT4,0.915,Homo sapiens,Homo sapiens,SIRT4,4.15896771844139,17.8638076689872,UpRegulated
SIRT4,NNMT,0.915,Homo sapiens,Homo sapiens,SIRT4,4.15896771844139,17.8638076689872,UpRegulated
F3,SERPINE1,0.902,Homo sapiens,Homo sapiens,SERPINE1,4.1589672657193,17.8638020632709,UpRegulated
PROC,SERPINE1,0.943,Homo sapiens,Homo sapiens,SERPINE1,4.1589672657193,17.8638020632709,UpRegulated
SERPINE1,F3,0.902,Homo sapiens,Homo sapiens,SERPINE1,4.1589672657193,17.8638020632709,UpRegulated
SERPINE1,PROC,0.943,Homo sapiens,Homo sapiens,SERPINE1,4.1589672657193,17.8638020632709,UpRegulated
GADD45B,CCNB1,0.97,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
CCNB2,GADD45B,0.926,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
TP53,GADD45B,0.964,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
CCNB1,GADD45B,0.97,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
GADD45A,GADD45B,0.965,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
GADD45B,GADD45A,0.965,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
GADD45B,TP53,0.964,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
GADD45B,CCNB2,0.926,Homo sapiens,Homo sapiens,GADD45B,4.14819773110107,17.7309475454499,UpRegulated
ULBP2,ULBP1,0.911,Homo sapiens,Homo sapiens,ULBP1,4.14043992024644,17.635858727405,UpRegulated
ULBP1,ULBP2,0.911,Homo sapiens,Homo sapiens,ULBP1,4.14043992024644,17.635858727405,UpRegulated
UBXN11,RND1,0.962,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
RHOD,RND1,0.942,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
RND1,PLXNA3,0.939,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
RND1,RHOD,0.942,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
RND1,UBXN11,0.962,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
PLXNA3,RND1,0.939,Homo sapiens,Homo sapiens,RND1,3.99714249247813,15.9683405913072,UpRegulated
SPATA13,APC2,0.903,Homo sapiens,Homo sapiens,APC2,3.95544296667464,15.5133995910791,UpRegulated
APC2,SPATA13,0.903,Homo sapiens,Homo sapiens,APC2,3.95544296667464,15.5133995910791,UpRegulated
EFNA3,EPHB2,0.921,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
FYN,EFNA3,0.926,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
EFNA3,EPHA2,0.997,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
EFNA3,FYN,0.926,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
EPHB2,EFNA3,0.921,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
EPHA2,EFNA3,0.997,Homo sapiens,Homo sapiens,EFNA3,3.94136593870713,15.362764438182,UpRegulated
GAS2L1,RASL10A,0.924,Homo sapiens,Homo sapiens,RASL10A,3.92335983363118,15.1722151886865,UpRegulated
RASL10A,GAS2L1,0.924,Homo sapiens,Homo sapiens,RASL10A,3.92335983363118,15.1722151886865,UpRegulated
DHDH,AKR1C4,0.929,Homo sapiens,Homo sapiens,DHDH,3.9105114452391,15.0376940077695,UpRegulated
AKR1C4,DHDH,0.929,Homo sapiens,Homo sapiens,DHDH,3.9105114452391,15.0376940077695,UpRegulated
FBXO44,CUL1,0.962,Homo sapiens,Homo sapiens,FBXO44,3.84369352528283,14.3571105757535,UpRegulated
CUL1,FBXO44,0.962,Homo sapiens,Homo sapiens,FBXO44,3.84369352528283,14.3571105757535,UpRegulated
DDIT3,MAPK11,0.928,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
DDIT3,PPP1R15A,0.949,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
PPP1R15A,DDIT3,0.949,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
DDIT3,CEBPB,0.994,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
DDIT3,FOS,0.905,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
BCL2L11,DDIT3,0.956,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
FOS,DDIT3,0.905,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
DDIT3,HSPA5,0.921,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
MAPK11,DDIT3,0.928,Homo sapiens,Homo sapiens,DDIT3,3.82631520032029,14.1852060354276,UpRegulated
